FNODE,TNODE,LENGTH,ROADSEGID,POSTID,POSTDATE,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,SHAPE_STLe
97563,97564,114.5215653,116819,fjessie,7/9/2020,40469,0,2/1/1989,M,D,F,F,0,1,SD,0,0,SD,0,0,N,N,N,0,0,1840398.048,6286564.55,60,92102,92102,SD,SD,1,,Y,2013,2010,4600,4600,514,514,6286564.55,1840398.048,6286621.514,1840396.033,6286679,1840394,1,1,20130,20100,,SR-94 EB,,SR-94 EB,,STATE ROUTE 94 EB,,,STATE ROUTE 94 EB,114.5215653
94904,94655,388.9506436,33851,fjessie,7/22/2020,8624,0,4/1/1980,M,D,S,B,0,3,SD,1900,2098,SD,1901,2099,N,N,N,1900,2099,1844497,6277755,35,92101,92101,SD,SD,3,,Y,1007,1008,5800,5800,527,527,6277755,1844497,6277720.077,1844687.687,6277660,1844873,1,1,10070,10080,,NORTH HARBOR,DR,NORTH HARBOR DR,,NORTH HARBOR,DR,,NORTH HARBOR DR,388.9506435
95069,94904,216.4280954,33852,fjessie,7/22/2020,8624,0,4/1/1980,M,D,4,B,0,3,SD,1800,1898,SD,1801,1899,N,N,N,1800,1899,1844281,6277765,35,92101,92101,SD,SD,3,,Y,1007,1014,5800,5800,527,527,6277765,1844281,6277764,1844388.971,6277755,1844497,1,1,10070,10140,,NORTH HARBOR,DR,NORTH HARBOR DR,,NORTH HARBOR,DR,,NORTH HARBOR DR,216.4280954
94804,94904,510.7680491,32488,fjessie,9/6/2018,8378,0,4/1/1980,M,D,C,T,0,4,SD,1001,1099,SD,1000,1098,N,N,N,1000,1099,1844677,6278233,25,92101,92101,SD,SD,4,,Y,1014,1008,5800,5800,527,527,6278233,1844677,6277994.359,1844587.135,6277755,1844497,1,1,10140,10080,W,GRAPE,ST,W GRAPE ST,W,GRAPE,ST,,W GRAPE ST,510.7680491
94737,94804,290.9986186,32490,fjessie,9/6/2018,8378,0,4/1/1980,M,D,C,T,0,4,SD,901,999,SD,900,998,N,N,N,900,999,1844775.001,6278507,25,92101,92101,SD,SD,4,,Y,1015,1016,5800,5800,527,527,6278507,1844775.001,6278370.47,1844726.169,6278233,1844677,1,1,10150,10160,W,GRAPE,ST,W GRAPE ST,W,GRAPE,ST,,W GRAPE ST,290.9986186
94991,94737,383.3435227,14592,fjessie,9/6/2018,4580,0,4/1/1980,M,D,L,T,0,5,SD,1800,1998,SD,1801,1999,N,N,N,1800,1999,1844415.119,6278639.05,10,92101,92101,SD,SD,5,,Y,1015,1032,5800,5800,527,527,6278639.05,1844415.119,6278572.912,1844595.368,6278507,1844775.001,1,1,10150,10320,,CALIFORNIA,ST,CALIFORNIA ST,,CALIFORNIA,ST,,CALIFORNIA ST,383.3435227
94972,94991,40.31678941,161662,fjessie,7/22/2020,7705,0,4/1/1980,R,D,P,B,0,P,SD,891,899,SD,890,898,N,N,N,890,899,1844428.707,6278677.008,0,92101,92101,SD,SD,P,,N,1031,1032,5800,5800,527,527,6278677.008,1844428.707,6278658.178,1844421.966,6278639.05,1844415.119,9,9,10310,10320,W,FIR,ST,W FIR ST,W,FIR,ST,,W FIR ST,40.31678941
94896,94972,234.6832914,29341,fjessie,7/22/2020,7705,0,4/1/1980,M,D,L,B,0,5,SD,801,889,SD,800,888,N,N,N,800,889,1844507.802,6278897.961,20,92101,92101,SD,SD,5,,Y,1031,1032,5800,5800,527,527,6278897.961,1844507.802,6278787.806,1844468.369,6278677.008,1844428.707,1,1,10310,10320,W,FIR,ST,W FIR ST,W,FIR,ST,,W FIR ST,234.6832914
95182,94991,334.0210079,162761,fjessie,7/22/2020,4580,0,,M,D,L,T,0,5,SD,1700,1798,SD,1701,1799,N,N,N,1700,1799,1844086.585,6278691.952,10,92101,92101,SD,SD,5,,Y,1030,1031,5800,5800,527,527,6278691.952,1844086.585,6278672.514,1844251.995,6278639.05,1844415.119,1,1,10300,10310,,CALIFORNIA,ST,CALIFORNIA ST,,CALIFORNIA,ST,,CALIFORNIA ST,334.0210079
92402,92145,347.5439878,37335,fjessie,9/4/2019,9326,76,4/1/1980,M,D,C,F,0,4,SD,2800,2898,SD,2801,2899,N,N,N,2800,2899,1847809,6278012,35,92103,92103,SD,SD,4,,Y,2012,2015,6100,6100,628,628,6278012,1847809,6277905.82,1847946.77,6277814,1848094,1,1,20120,20150,,INDIA,ST,INDIA ST,,INDIA,ST,,INDIA ST,347.5439877
