,trip_id,person_id,household_id,primary_purpose,trip_num,outbound,trip_count,destination,origin,tour_id,purpose,destination_logsum,depart,trip_mode,mode_choice_logsum,atap,btap,path_set
13,1893,5,3,school,1,False,1,96894,97637,236,home,,14.0,SHARED3FREE,0.9652227314166942,,,
337,34101,103,40,work,1,False,1,95659,97870,4262,home,,11.0,SHARED3FREE,3.202740596747076,,,
523,54677,166,62,othmaint,1,False,1,94586,95650,6834,home,,12.0,SHARED3FREE,1.3896533955564536,,,
561,57341,174,64,shopping,1,False,1,98307,97306,7167,home,,20.0,SHARED3FREE,0.1504406024762195,,,
665,71122,216,78,shopping,2,True,2,95741,97612,8890,shopping,,14.0,SHARED3FREE,0.6278773569568007,,,
748,78333,238,85,shopping,1,False,1,97533,96883,9791,home,,13.0,SHARED3FREE,1.3618030595958024,,,
938,101559,309,111,othdiscr,3,False,3,98128,96071,12694,home,,21.0,SHARED3FREE,0.2541931524700064,,,
1344,142013,432,157,work,1,False,1,96097,178487,17751,home,,19.0,SHARED3FREE,0.7051066530382362,,,
1373,145101,442,162,othdiscr,1,False,1,97418,95206,18137,home,,8.0,SHARED3FREE,-1.1210877994170758,,,
1456,156421,476,174,social,1,False,2,96055,176059,19552,othdiscr,17.607504333207242,20.0,SHARED3FREE,0.4491114856636225,,,
1776,189157,576,212,othmaint,1,False,1,99228,97400,23644,home,,18.0,SHARED3FREE,0.9252685514892566,,,
1908,203349,619,226,work,1,False,1,99359,97130,25418,home,,18.0,SHARED3FREE,1.1874078630750096,,,
1912,203957,621,227,shopping,1,False,2,98539,94804,25494,shopping,17.292208522089588,17.0,SHARED3FREE,0.9243376827935618,,,
2012,212469,647,236,school,1,False,1,178488,97132,26558,home,,11.0,SHARED3FREE,1.1037948619076834,,,
2036,214125,652,238,shopping,1,False,1,96183,95192,26765,home,,15.0,SHARED3FREE,0.8628844761077208,,,
2065,216797,660,240,work,1,False,1,96435,98882,27099,home,,18.0,SHARED3FREE,1.1948230378001,,,
2108,221522,675,247,othdiscr,2,True,2,95206,95252,27690,othdiscr,,16.0,SHARED3FREE,0.631861104101611,,,
2231,234629,715,263,eatout,1,False,1,97623,94987,29328,home,,14.0,SHARED3FREE,0.0118037535512714,,,
2238,236085,719,264,school,1,False,1,96886,98324,29510,home,,17.0,SHARED3FREE,1.0961082239018922,,,
2295,243365,741,270,work,1,False,2,99458,99358,30420,escort,17.699578646378907,21.0,SHARED3FREE,1.4255300146679943,,,
2568,273037,832,308,othmaint,1,False,1,93893,99359,34129,home,,15.0,SHARED3FREE,-0.193590823905712,,,
2827,299829,914,339,atwork,1,False,2,95194,95252,37478,othmaint,26.056327612394483,14.0,SHARED3FREE,4.355429795684395,,,
2845,301357,918,341,school,1,False,1,99128,97444,37669,home,,16.0,SHARED3FREE,0.7083468643503303,,,
2978,315194,960,355,work,2,True,2,99102,98297,39399,work,,9.0,SHARED3FREE,-0.2877871404644805,,,
2982,315437,961,355,othmaint,1,False,2,98260,98164,39429,othmaint,15.379286502720252,15.0,SHARED3FREE,0.3944148958642051,,,
3147,332821,1014,373,othmaint,1,False,1,99358,97860,41602,home,,18.0,SHARED3FREE,1.459813597096952,,,
3235,340778,1038,383,work,2,True,2,99052,97599,42597,work,,13.0,SHARED3FREE,1.081370616529648,,,
3262,343449,1047,386,atwork,1,True,1,96175,97409,42931,atwork,,11.0,SHARED3FREE,2.111336782265919,,,
3263,343453,1047,386,atwork,1,False,1,94182,97627,42931,work,,13.0,SHARED3FREE,1.5802965564210476,,,
3428,358822,1093,403,work,2,False,2,98656,97638,44852,home,,21.0,SHARED3FREE,1.234334288439369,,,
3434,359410,1095,404,univ,2,True,2,94995,96759,44926,univ,,18.0,SHARED3FREE,1.146468704223002,,,
3496,365053,1112,410,work,1,False,1,93002,95240,45631,home,,17.0,SHARED3FREE,0.9225712414659462,,,
