,household_id,origin,destination,depart,home_zone_id,income,emp_15min
0,50673,2358,2595,7,2358,132324,41004.225
1,50673,2595,2484,17,2358,132324,41004.225
2,50673,2484,2358,17,2358,132324,41004.225
3,50673,2358,2641,7,2358,132324,41004.225
4,50673,2641,2358,19,2358,132324,41004.225
5,50674,2358,2716,9,2358,26429,41004.225
6,50675,2358,2525,8,2358,98442,41004.225
7,50675,2525,2358,10,2358,98442,41004.225
8,50675,2525,2358,18,2358,98442,41004.225
9,50675,2358,2766,12,2358,98442,41004.225
10,50675,2766,2358,19,2358,98442,41004.225
11,50675,2358,2835,17,2358,98442,41004.225
12,50675,2835,2740,18,2358,98442,41004.225
13,50675,2740,2635,19,2358,98442,41004.225
14,50693,2593,2358,18,2358,54454,41004.225
15,50701,2740,2358,21,2358,16835,41004.225
16,50713,2358,2983,7,2358,36532,41004.225
17,50713,2983,2358,12,2358,36532,41004.225
18,50788,2586,2358,21,2358,80613,41004.225
19,50805,2358,2768,6,2358,20576,41004.225
20,50805,2768,2843,7,2358,20576,41004.225
21,50837,2748,2358,13,2358,186278,41004.225
22,50837,2487,2582,11,2358,186278,41004.225
23,50837,2582,2487,13,2358,186278,41004.225
24,50837,2358,2700,7,2358,186278,41004.225
25,50837,2700,2604,8,2358,186278,41004.225
26,50837,2604,2568,8,2358,186278,41004.225
27,50837,2568,2487,8,2358,186278,41004.225
28,50837,2487,2628,20,2358,186278,41004.225
29,50837,2628,2358,20,2358,186278,41004.225
30,50857,2358,2555,7,2358,5560,41004.225
31,50857,2705,2358,19,2358,5560,41004.225
32,50857,2740,2586,15,2358,5560,41004.225
33,50857,2586,2593,15,2358,5560,41004.225
34,50857,2593,2358,15,2358,5560,41004.225
35,50873,2358,2605,10,2358,19854,41004.225
36,50873,2605,2358,13,2358,19854,41004.225
37,50898,2358,2595,7,2358,51552,41004.225
38,50898,2604,2651,17,2358,51552,41004.225
39,50898,2651,2358,17,2358,51552,41004.225
40,50898,2740,2358,16,2358,51552,41004.225
41,50898,2358,2582,8,2358,51552,41004.225
42,50898,2582,2358,11,2358,51552,41004.225
43,50898,2544,2358,11,2358,51552,41004.225
44,50901,2358,2542,11,2358,41212,41004.225
45,50901,2542,2358,18,2358,41212,41004.225
46,50914,2358,2525,8,2358,82606,41004.225
47,50914,2525,2565,15,2358,82606,41004.225
48,50914,2565,2358,16,2358,82606,41004.225
49,50914,2358,2645,7,2358,82606,41004.225
50,50914,2645,2358,12,2358,82606,41004.225
51,50936,2358,2605,7,2358,10111,41004.225
52,50936,2605,2358,18,2358,10111,41004.225
53,50947,2358,2578,8,2358,108453,41004.225
54,50947,2578,2843,12,2358,108453,41004.225
55,50947,2843,2358,13,2358,108453,41004.225
56,50947,2358,2799,14,2358,108453,41004.225
57,50947,2799,2578,15,2358,108453,41004.225
58,50947,2578,2586,15,2358,108453,41004.225
59,50947,2586,2358,15,2358,108453,41004.225
60,50955,2586,2358,17,2358,211903,41004.225
61,50971,2703,2358,23,2358,20117,41004.225
62,449501,2358,2740,7,2358,84598,41004.225
63,449514,2358,2689,7,2358,42911,41004.225
64,449514,2689,2358,14,2358,42911,41004.225
65,449555,2358,2666,18,2358,23117,41004.225
66,449555,2666,2358,21,2358,23117,41004.225
67,449555,2358,2640,5,2358,23117,41004.225
68,449562,2358,2586,11,2358,30475,41004.225
69,449666,2595,2358,16,2358,23794,41004.225
70,449707,2358,2486,9,2358,21003,41004.225
71,449707,2486,2358,10,2358,21003,41004.225
72,449728,2358,2651,11,2358,65345,41004.225
73,449728,2651,2584,15,2358,65345,41004.225
74,449728,2584,2358,15,2358,65345,41004.225
75,449728,2358,2776,15,2358,65345,41004.225
76,595554,2358,2666,12,2358,2959,41004.225
77,595554,2666,2358,16,2358,2959,41004.225
78,595554,2586,2843,13,2358,2959,41004.225
79,595554,2843,2358,13,2358,2959,41004.225
80,595554,2358,2466,7,2358,2959,41004.225
81,595554,2466,2358,15,2358,2959,41004.225
82,606753,2358,2680,8,2358,49774,41004.225
83,606753,2680,2358,17,2358,49774,41004.225
84,613117,2358,2816,12,2358,25416,41004.225
85,613117,2816,2518,13,2358,25416,41004.225
86,613117,2518,2976,14,2358,25416,41004.225
87,613117,2976,2358,21,2358,25416,41004.225
88,613461,2358,2768,9,2358,148157,41004.225
89,613461,2768,2358,14,2358,148157,41004.225
90,635867,2358,2568,5,2358,45966,41004.225
91,652990,2358,2768,8,2358,167955,41004.225
92,652990,2768,2358,18,2358,167955,41004.225
93,652990,2358,2525,6,2358,167955,41004.225
94,652990,2525,2358,12,2358,167955,41004.225
95,652990,2358,2565,16,2358,167955,41004.225
96,652990,2565,2766,17,2358,167955,41004.225
97,652990,2766,2461,21,2358,167955,41004.225
98,652990,2461,2586,21,2358,167955,41004.225
99,652990,2586,2748,21,2358,167955,41004.225
100,652990,2748,2358,21,2358,167955,41004.225
101,652990,2358,2525,14,2358,167955,41004.225
102,652990,2525,2358,15,2358,167955,41004.225
103,652990,2358,2466,18,2358,167955,41004.225
104,652990,2466,2358,18,2358,167955,41004.225
105,652990,2358,2597,7,2358,167955,41004.225
106,652990,2597,2358,8,2358,167955,41004.225
107,666155,2716,2358,17,2358,68295,41004.225
108,666155,2577,2358,13,2358,68295,41004.225
109,712073,2358,2493,7,2358,249486,41004.225
110,712073,2493,2358,10,2358,249486,41004.225
111,712073,2358,2493,13,2358,249486,41004.225
112,712073,2493,2358,16,2358,249486,41004.225
113,718593,2358,2584,9,2358,95820,41004.225
114,718593,2584,2495,9,2358,95820,41004.225
115,718593,2495,2358,9,2358,95820,41004.225
116,718593,2541,2358,17,2358,95820,41004.225
117,733777,2358,2639,21,2358,273403,41004.225
118,737200,2358,2525,6,2358,27645,41004.225
119,737200,2525,2358,10,2358,27645,41004.225
120,737200,2358,2525,10,2358,27645,41004.225
121,737200,2591,2358,16,2358,27645,41004.225
122,737200,2358,2586,11,2358,27645,41004.225
123,737200,2586,2604,11,2358,27645,41004.225
124,737200,2604,2592,12,2358,27645,41004.225
125,737200,2592,2358,13,2358,27645,41004.225
126,748446,2556,2651,17,2358,58767,41004.225
127,748446,2651,2358,17,2358,58767,41004.225
128,748446,2358,2495,7,2358,58767,41004.225
129,748446,2495,2358,15,2358,58767,41004.225
130,748446,2602,2358,12,2358,58767,41004.225
131,760789,2358,2705,16,2358,29909,41004.225
132,760789,2358,2635,14,2358,29909,41004.225
133,760789,2635,2358,19,2358,29909,41004.225
134,821639,2565,2358,20,2358,268278,41004.225
135,821639,2358,2797,7,2358,268278,41004.225
136,821639,2797,2358,13,2358,268278,41004.225
137,821639,2559,2358,13,2358,268278,41004.225
138,891322,2358,2587,13,2358,7802,41004.225
139,891322,2587,2358,14,2358,7802,41004.225
140,946744,2358,2485,17,2358,23591,41004.225
141,946744,2358,2586,13,2358,23591,41004.225
142,946744,2586,2358,13,2358,23591,41004.225
143,946744,2490,2358,16,2358,23591,41004.225
144,946744,2358,2623,17,2358,23591,41004.225
145,946744,2623,2358,19,2358,23591,41004.225
146,946744,2358,2662,12,2358,23591,41004.225
147,946744,2662,2358,13,2358,23591,41004.225
148,952374,2358,2581,18,2358,163005,41004.225
149,952374,2581,2358,18,2358,163005,41004.225
150,952374,2358,2589,7,2358,163005,41004.225
151,1075203,2358,2623,7,2358,65668,41004.225
152,1075203,2623,2358,16,2358,65668,41004.225
153,1080699,2358,2596,9,2358,26226,41004.225
154,1080699,2596,2525,10,2358,26226,41004.225
155,1080699,2525,2358,16,2358,26226,41004.225
156,1112986,2706,2358,21,2358,88765,41004.225
157,1121281,2358,2495,8,2358,42571,41004.225
158,1131290,2358,2593,12,2358,44722,41004.225
159,1131290,2593,2358,12,2358,44722,41004.225
160,50676,2369,2592,8,2369,174553,21320.35
161,50676,2592,2369,8,2369,174553,21320.35
162,50676,2369,2740,15,2369,174553,21320.35
163,50676,2586,2586,18,2369,174553,21320.35
164,50676,2586,2490,18,2369,174553,21320.35
165,50676,2490,2369,18,2369,174553,21320.35
166,50679,2593,2369,16,2369,295612,21320.35
167,50679,2369,2495,8,2369,295612,21320.35
168,50679,2495,2610,9,2369,295612,21320.35
169,50679,2610,2369,10,2369,295612,21320.35
170,50679,2369,2768,17,2369,295612,21320.35
171,50679,2768,2369,17,2369,295612,21320.35
172,50681,2369,2593,8,2369,17525,21320.35
173,50681,2591,2525,19,2369,17525,21320.35
174,50681,2525,2666,19,2369,17525,21320.35
175,50681,2666,2369,19,2369,17525,21320.35
176,50681,2369,2821,8,2369,17525,21320.35
177,50684,2369,2577,12,2369,59521,21320.35
178,50684,2370,2369,13,2369,59521,21320.35
179,50684,2369,2740,7,2369,59521,21320.35
180,50684,2740,2601,9,2369,59521,21320.35
181,50684,2601,2369,10,2369,59521,21320.35
182,50691,2369,2487,8,2369,259736,21320.35
183,50691,2487,2369,15,2369,259736,21320.35
184,50708,2586,2369,15,2369,56179,21320.35
185,50740,2369,2586,18,2369,64374,21320.35
186,50740,2369,2565,9,2369,64374,21320.35
187,50740,2565,2586,9,2369,64374,21320.35
188,50740,2586,2593,16,2369,64374,21320.35
189,50740,2593,2369,17,2369,64374,21320.35
190,50744,2369,2626,11,2369,76990,21320.35
191,50744,2626,2369,15,2369,76990,21320.35
192,50744,2593,2694,15,2369,76990,21320.35
193,50744,2694,2369,15,2369,76990,21320.35
194,50747,2369,2584,7,2369,20018,21320.35
195,50747,2369,2597,8,2369,20018,21320.35
196,50747,2597,2369,18,2369,20018,21320.35
197,50762,2369,2804,7,2369,314403,21320.35
198,50762,2804,2369,17,2369,314403,21320.35
199,50763,2495,2369,14,2369,52398,21320.35
200,50763,2569,2369,18,2369,52398,21320.35
201,50785,2593,2369,16,2369,18247,21320.35
202,50785,2589,2369,18,2369,18247,21320.35
203,50785,2369,2616,6,2369,18247,21320.35
204,50785,2616,2369,6,2369,18247,21320.35
205,50796,2369,2593,8,2369,58012,21320.35
206,50796,2593,2740,8,2369,58012,21320.35
207,50796,2716,2495,16,2369,58012,21320.35
208,50796,2495,2541,16,2369,58012,21320.35
209,50796,2541,2369,17,2369,58012,21320.35
210,50798,2369,2556,12,2369,112506,21320.35
211,50798,2556,2369,23,2369,112506,21320.35
212,50814,2490,2369,17,2369,6995,21320.35
213,50814,2369,2666,10,2369,6995,21320.35
214,50814,2666,2369,11,2369,6995,21320.35
215,50828,2369,2544,7,2369,47404,21320.35
216,50828,2544,2369,18,2369,47404,21320.35
217,50836,2369,2704,13,2369,54777,21320.35
218,50836,2704,2369,13,2369,54777,21320.35
219,50887,2369,2591,12,2369,50875,21320.35
220,50887,2591,2369,16,2369,50875,21320.35
221,50887,2369,2490,5,2369,50875,21320.35
222,50893,2369,2593,5,2369,72280,21320.35
223,50893,2593,2369,17,2369,72280,21320.35
224,50893,2369,2732,8,2369,72280,21320.35
225,50893,2732,2369,13,2369,72280,21320.35
226,50911,2369,2553,8,2369,281944,21320.35
227,50911,2553,2369,16,2369,281944,21320.35
228,50950,2369,2606,7,2369,78983,21320.35
229,50950,2606,2369,22,2369,78983,21320.35
230,50950,2369,2640,8,2369,78983,21320.35
231,50950,2640,2369,15,2369,78983,21320.35
232,449477,2369,2718,18,2369,66207,21320.35
233,449477,2718,2369,22,2369,66207,21320.35
234,449510,2369,2475,9,2369,27267,21320.35
235,449510,2475,2586,13,2369,27267,21320.35
236,449510,2586,2593,13,2369,27267,21320.35
237,449510,2369,2651,19,2369,27267,21320.35
238,449510,2651,2369,22,2369,27267,21320.35
239,449510,2369,2802,13,2369,27267,21320.35
240,449510,2586,2369,16,2369,27267,21320.35
241,449536,2369,2881,15,2369,20216,21320.35
242,449536,2881,2369,18,2369,20216,21320.35
243,449549,2369,2740,8,2369,85323,21320.35
244,449561,2369,2640,9,2369,105831,21320.35
245,449561,2541,2369,18,2369,105831,21320.35
246,449586,2369,2525,18,2369,22283,21320.35
247,449586,2525,2369,19,2369,22283,21320.35
248,449632,2369,2651,18,2369,26024,21320.35
249,449633,2623,2565,23,2369,110360,21320.35
250,449633,2565,2369,23,2369,110360,21320.35
251,449633,2740,2614,17,2369,110360,21320.35
252,449633,2614,2593,17,2369,110360,21320.35
253,449633,2593,2369,17,2369,110360,21320.35
254,449757,2593,2369,19,2369,25145,21320.35
255,449771,2369,2558,13,2369,28117,21320.35
256,449771,2558,2373,13,2369,28117,21320.35
257,449783,2586,2369,16,2369,81881,21320.35
258,449783,2593,2369,13,2369,81881,21320.35
259,449793,2589,2369,18,2369,57688,21320.35
260,449806,2369,2525,7,2369,34419,21320.35
261,449806,2525,2369,11,2369,34419,21320.35
262,449810,2369,2495,7,2369,10953,21320.35
263,455441,2586,2369,10,2369,54007,21320.35
264,606324,2369,2626,7,2369,30098,21320.35
265,606324,2626,2369,17,2369,30098,21320.35
266,606324,2369,2640,5,2369,30098,21320.35
267,606324,2640,2369,13,2369,30098,21320.35
268,608414,2369,2466,7,2369,288778,21320.35
269,608414,2466,2369,12,2369,288778,21320.35
270,608414,2369,2586,12,2369,288778,21320.35
271,608414,2586,2369,14,2369,288778,21320.35
272,608414,2651,2369,20,2369,288778,21320.35
273,612469,2369,2525,9,2369,11375,21320.35
274,612469,2525,2369,13,2369,11375,21320.35
275,612469,2369,2378,7,2369,11375,21320.35
276,612469,2378,2369,18,2369,11375,21320.35
277,622604,2582,2369,21,2369,27456,21320.35
278,658067,2369,2715,9,2369,7982,21320.35
279,663201,2369,2717,8,2369,22545,21320.35
280,663201,2717,2369,17,2369,22545,21320.35
281,695627,2369,2790,7,2369,12428,21320.35
282,695734,2369,2694,13,2369,24131,21320.35
283,795122,2369,2525,9,2369,56610,21320.35
284,795122,2525,2558,13,2369,56610,21320.35
285,795122,2558,2488,13,2369,56610,21320.35
286,795122,2488,2476,13,2369,56610,21320.35
287,795122,2476,2369,13,2369,56610,21320.35
288,795122,2525,2369,17,2369,56610,21320.35
