,household_id,origin,destination,depart,home_zone_id,income,emp_15min
0,25920,1046.0,9290.0,9.0,1046,18681,771.5
1,25932,9417.0,9421.0,15.0,1046,79307,771.5
2,25932,9421.0,1046.0,15.0,1046,79307,771.5
3,25939,1046.0,9419.0,10.0,1046,47062,771.5
4,25972,1046.0,9246.0,21.0,1046,32195,771.5
5,25972,1288.0,1046.0,22.0,1046,32195,771.5
6,25972,9400.0,1046.0,17.0,1046,32195,771.5
7,25992,1046.0,9397.0,7.0,1046,23916,771.5
8,25992,9397.0,1046.0,11.0,1046,23916,771.5
9,26011,1046.0,9425.0,8.0,1046,22275,771.5
10,26011,9425.0,1046.0,15.0,1046,22275,771.5
11,26057,1046.0,9428.0,10.0,1046,83167,771.5
12,26057,9428.0,1046.0,16.0,1046,83167,771.5
13,26057,1046.0,1293.0,16.0,1046,83167,771.5
14,26070,1293.0,1046.0,9.0,1046,10190,771.5
15,26080,1046.0,1288.0,13.0,1046,40134,771.5
16,26108,1046.0,1293.0,7.0,1046,36777,771.5
17,26135,9413.0,1046.0,22.0,1046,20699,771.5
18,26136,1046.0,1293.0,6.0,1046,60521,771.5
19,26136,1293.0,1046.0,17.0,1046,60521,771.5
20,26136,9423.0,1046.0,11.0,1046,60521,771.5
21,26140,1046.0,9418.0,18.0,1046,14357,771.5
22,26140,9418.0,9246.0,18.0,1046,14357,771.5
23,26140,9246.0,9414.0,18.0,1046,14357,771.5
24,26142,948.0,1046.0,9.0,1046,8999,771.5
25,26142,1046.0,1293.0,16.0,1046,8999,771.5
26,26159,1046.0,9322.0,8.0,1046,19272,771.5
27,26159,9439.0,1046.0,9.0,1046,19272,771.5
28,26166,9421.0,1046.0,21.0,1046,10756,771.5
29,26168,9421.0,1046.0,21.0,1046,197512,771.5
30,26184,1046.0,9421.0,9.0,1046,31188,771.5
31,26184,9421.0,1046.0,14.0,1046,31188,771.5
32,26184,1046.0,1288.0,16.0,1046,31188,771.5
33,26184,1288.0,1291.0,16.0,1046,31188,771.5
34,26184,1291.0,1046.0,16.0,1046,31188,771.5
35,26209,1046.0,9373.0,7.0,1046,60297,771.5
36,26226,1046.0,9277.0,7.0,1046,50321,771.5
37,26226,9277.0,1046.0,7.0,1046,50321,771.5
38,26291,1046.0,9417.0,10.0,1046,45671,771.5
39,26291,9417.0,1046.0,13.0,1046,45671,771.5
40,426850,1046.0,9430.0,5.0,1046,31949,771.5
41,426850,9430.0,1046.0,17.0,1046,31949,771.5
42,441134,1046.0,1288.0,16.0,1046,54795,771.5
43,441169,1046.0,1288.0,14.0,1046,43269,771.5
44,441170,948.0,1046.0,16.0,1046,72002,771.5
45,441203,9402.0,1046.0,16.0,1046,10803,771.5
46,441337,1046.0,9414.0,7.0,1046,42669,771.5
47,591554,9421.0,1046.0,18.0,1046,57265,771.5
48,593833,1046.0,9421.0,11.0,1046,10520,771.5
49,593833,9421.0,1046.0,20.0,1046,10520,771.5
50,596419,1046.0,9414.0,9.0,1046,178804,771.5
51,596419,9414.0,1288.0,9.0,1046,178804,771.5
52,596419,1288.0,1046.0,19.0,1046,178804,771.5
53,606206,1046.0,9277.0,6.0,1046,74715,771.5
