rq_time,start,end,request_id,bt_c_0,bt_c_ivt,bt_c_gas,bt_t_0,bt_t_wk,bt_m_wt,bt_f_wt,bt_m_ivt,bt_f_ivt,bt_f_trfer,bt_t_fr,income,transit_15min_acc,transit_pass
18007,543,863,0,0,0.201557007,0.914657697,0.22745266,0.404662011,0.086978479,0.116571627,0.069138093,0.128635126,0.526895504,0.914657697,54932,618.9236111,0
18121,630,485,1,0,0.172864391,0.667919607,0.239120536,0.201560842,0.106854345,0.066472886,0.080444733,0.085095427,0.493077342,0.667919607,59953,1055.682143,0
18139,333,654,2,0,0.152442102,0.784071261,0.223516196,0.315605156,0.111469391,0.102355256,0.114968256,0.135964085,0.482864899,0.784071261,54465,253.0055556,0
18141,83,1042,3,0,0.219546218,1.160180863,0.242306021,0.240444871,0.102719717,0.068340566,0.099834406,0.101400279,0.462581429,1.160180863,31949,771.5,0
18157,115,116,4,0,0.232344467,0.464339692,0.280226631,0.158966749,0.136409878,0.071912554,0.100746443,0.128117922,0.497163071,0.464339692,98641,1020,0
18158,158,66,5,0,0.259812955,1.264196629,0.275984065,0.291059138,0.1246308,0.102587274,0.101050225,0.065164642,0.5154172,1.264196629,62335,2706.637302,0
18191,583,130,6,0,0.250393632,0.347860056,0.245653035,0.333704088,0.114663001,0.080220614,0.062626715,0.0830772,0.521932861,0.347860056,168177,189.1714286,0
18202,236,231,7,0,0.206272961,2.352242327,0.206136222,0.323129819,0.088054385,0.067869007,0.088572346,0.103393929,0.495724387,2.352242327,33828,1945.916667,0
18221,354,735,8,0,0.298177008,0.05,0.281454253,0.270382748,0.10827483,0.042543568,0.081426418,0.1092721,0.474617197,0.05,91844,375.702381,0
18222,61,519,9,0,0.132044157,1.394327088,0.17404129,0.203801385,0.081725987,0.04792897,0.140562403,0.120022954,0.477324598,1.394327088,33178,2297.899524,0
18246,415,196,10,0,0.237631929,0.616962391,0.268722966,0.576810143,0.10560466,0.081620955,0.109651932,0.126485952,0.511778169,0.616962391,82808,562.4761905,0
18259,130,428,11,0,0.14849616,1.252242951,0.299998191,0.360630547,0.086403694,0.0628415,0.114929761,0.133717869,0.558235654,1.252242951,40571,3842.234524,0
18261,144,636,12,0,0.22972291,1.019196324,0.241709681,0.367659799,0.095347098,0.117880394,0.084832276,0.097212164,0.461284632,1.019196324,67096,3114.183333,0
18308,79,127,13,0,0.301271885,0.118925254,0.245277625,0.62522171,0.073241861,0.081566898,0.101992746,0.076818833,0.504128025,0.118925254,112231,295.4666667,1
18310,144,97,14,0,0.19513405,1.323605197,0.233939439,0.331317112,0.076413736,0.107909231,0.124401486,0.074023557,0.454440221,1.323605197,60512,3114.183333,0
18317,433,113,15,0,0.167263008,0.320953043,0.253496942,0.298472039,0.124657519,0.086226074,0.132785661,0.116865597,0.53552493,0.320953043,160392,58.48073593,0
18349,246,251,16,0,0.166059671,0.365008638,0.274704482,0.405414027,0.120694787,0.099779174,0.089237713,0.084124305,0.507026189,0.365008638,106515,2669.54881,0
18366,183,1039,17,0,0.182686807,0.885607186,0.136115482,0.448602517,0.112734681,0.058243303,0.138027784,0.119616114,0.538625799,0.885607186,120554,3266.625,0
18378,597,1065,18,0,0.19248488,0.926283651,0.238614517,0.45917583,0.07065145,0.086942767,0.125915988,0.106289504,0.511167953,0.926283651,53105,121.1298701,0
18387,707,769,19,0,0.139714594,0.291267469,0.270602066,0.436369469,0.098162862,0.057530189,0.093046821,0.059107223,0.534383365,0.291267469,123697,623.875,0
18422,262,306,20,0,0.149581199,1.013663259,0.2002481,0.462443295,0.102384663,0.07548794,0.12768383,0.116357718,0.507287404,1.013663259,82174,2432.452381,0
18427,1095,344,21,0,0.190782443,0.536806973,0.284090068,0.316554069,0.106878904,0.093571168,0.113200749,0.143318759,0.510035124,0.536806973,123014,351.9232143,0
18438,658,428,22,0,0.181925932,1.592736754,0.217942875,0.23328004,0.078075236,0.085637395,0.125729385,0.103918218,0.546542817,1.592736754,37760,176.1369048,0
18466,657,311,23,0,0.250502019,0.171717387,0.274608993,0.494901779,0.128884613,0.028692093,0.142627219,0.094135241,0.520556375,0.171717387,78218,1055.682143,0
18492,570,213,24,0,0.234327178,1.300401972,0.249553995,0.263957023,0.078492325,0.10883422,0.070035898,0.127210088,0.526452672,1.300401972,117149,3029.433333,0
18495,451,32,25,0,0.249685931,0.295059515,0.211182354,0.205541679,0.073126349,0.094818414,0.095345152,0.107925611,0.465523232,0.295059515,134412,860.452381,0
18505,441,682,26,0,0.149588325,0.05,0.312297717,0.376721657,0.078737243,0.112425625,0.111675654,0.076611125,0.483085657,0.05,100369,618.9236111,0
18563,108,447,27,0,0.168572047,1.212961337,0.308031561,0.550006541,0.073884635,0.098381412,0.098256341,0.079754963,0.507379663,1.212961337,65833,1020,0
18578,689,160,28,0,0.328817142,0.750142733,0.206533264,0.413373589,0.083299568,0.08224462,0.117952821,0.096576345,0.541465017,0.750142733,77331,222.3977183,0
18579,886,217,29,0,0.161405042,0.05,0.223155159,0.378987649,0.105499013,0.103026269,0.120666525,0.103385002,0.495519508,0.05,167532,1020,0
18611,851,1000,30,0,0.24327187,0.738645765,0.232371117,0.665662726,0.074953182,0.101086606,0.102878838,0.086426379,0.508197943,0.738645765,63985,1020,0
18647,561,471,31,0,0.229568745,1.773589997,0.237866771,0.33895047,0.106338864,0.069825778,0.073826952,0.108852223,0.504425879,1.773589997,36781,1286.952381,0
18726,262,665,32,0,0.258027044,0.996679176,0.274659898,0.342926208,0.130147293,0.065727077,0.084104618,0.106001619,0.531584965,0.996679176,63073,2432.452381,0
18750,61,945,33,0,0.225634442,3.329381688,0.231361744,0.618340225,0.074230574,0.058891522,0.130536063,0.142710326,0.493496622,3.329381688,11583,2297.899524,0
18781,447,762,34,0,0.268976818,0.957678601,0.18791384,0.111635352,0.130120042,0.141643289,0.098047925,0.152544851,0.527017306,0.957678601,130763,2782.345833,0
18795,631,228,35,0,0.291774678,1.53916276,0.291579591,0.205273611,0.080904911,0.092422748,0.093145114,0.056641954,0.502445617,1.53916276,23111,1441.511111,0
18831,542,30,36,0,0.252464363,1.021750081,0.212895147,0.57995445,0.093660596,0.0713394,0.100727425,0.086796255,0.52206603,1.021750081,77816,1020,0
