MGRA,population,emp_5min,emp_10min,emp_15min,weighted_5min,weighted_10min,weighted_15min
2353,102,1105.6517857142858,2982.7130952380953,48290.216666666674,2.5044743980203674,6.756312141112275,109.38490117699314
2358,168,711.9017857142858,5607.053869047619,48468.22499999999,2.6559960026648906,20.919055074394848,180.8274883411059
2367,15,740.5,8486.271428571428,48491.266666666656,0.2466688874083944,2.8268725611497096,16.1529868976238
2368,80,30.6875,1939.4261904761906,46799.78333333334,0.05451920941594492,3.4455717352452866,83.14418535790955
2369,197,5325,34870,49336,23.296135909393737,152.55141017099712,215.83815234288252
2370,146,111.32000000000001,6151.550952380952,47907.07333333332,0.3609309349322674,19.945068599769467,155.3282857354356
2371,143,5325,34870,49336,16.91039307128581,110.73528758605373,156.67439484787917
2373,174,337.05555555555554,6785.522222222222,48561.188888888886,1.3024132060108076,26.219872677474275,187.64483381449404
2375,132,596.7866666666666,4047.6761904761916,48064.63333333332,1.7494079502553852,11.865273309856924,140.89566067066394
2378,139,454.41111111111104,3384.6035714285717,46361.027777777774,1.4026903052286128,10.447699232257861,143.10865780837463
2381,153,554.4333333333333,3531.542857142858,48267.96666666666,1.8838174550299798,11.999246216807844,164.00175216522317
2382,56,990.8,6265.984523809526,47302.066666666644,1.2321741061514546,7.792474646531945,58.82557702272556
2386,44,1664.633333333333,4305.530952380953,46579.333333333314,1.6265571100747647,4.20704778824699,45.513894440743194
2420,553,571.2166666666667,3026.7797619047624,46532.98333333332,7.014941520467836,37.17097953216375,571.4576900584794
2461,520,676.6777777777778,5040.9484126984125,44782.92222222222,7.814178202186198,58.21215133473628,517.1467811582402
2462,71,637.8000000000001,5467.222023809527,46566.33333333333,1.0056362425049967,8.620314538984598,73.42237767414316
2463,5,739.6333333333333,15489.685714285708,48831.799999999996,0.08212673032792953,1.7199295707623483,5.4221407950255385
2464,0,719.1666666666666,4059.6422619047617,44305.99999999999,0.0,0.0,0.0
2465,26,719.1666666666666,4059.6422619047617,44305.99999999999,0.415241690724702,2.344008412381164,25.581967577170772
2466,1088,619.5,4912.741666666665,43004.299999999974,14.968154563624251,118.70004293434003,1039.055705085498
2467,7,1064.6777777777777,4274.699999999998,40039.116666666654,0.1655062057393836,0.6645103264490336,6.224157598637944
2468,331,5325,34870,49336,39.14223850766156,256.31734399289365,362.6519209415945
2469,328,884.6444444444445,3575.909126984126,41432.39444444443,6.4437792089224475,26.047039610277444,301.7949228909121
2470,0,1074.9333333333334,4585.033333333333,32042.28333333333,0.0,0.0,0.0
2471,4,1733.3333333333333,4819.366666666665,45939.33333333331,0.15397142645643644,0.4281027463172698,4.080775779110221
2472,0,1676.6166666666666,4832.299999999999,43679.26666666667,0.0,0.0,0.0
2473,0,1578.2999999999995,3652.7166666666662,44322.633333333324,0.0,0.0,0.0
2474,0,1676.6166666666666,4832.299999999999,43679.26666666667,0.0,0.0,0.0
2475,103,1786.0,2814.5,42929.69999999999,4.085232067510548,6.437785920497445,98.19584943371083
2476,196,954.8333333333334,5305.116666666666,44397.0111111111,4.15605892368051,23.09133614627285,193.24481851605097
2484,504,2301.8333333333335,13696.391666666672,45257.50000000001,25.76335776149234,153.29738840772825,506.5463024650234
2485,457,1959.4333333333334,12912.59166666667,45182.83333333334,19.885876822858837,131.0471772522023,458.5510733585018
2486,241,1959.4333333333334,12912.59166666667,45182.83333333334,10.48686283218595,69.10803001702571,241.81796209934123
2487,707,960.6666666666667,20665.498809523804,47922.33333333332,15.083085350507071,324.4616402028277,752.4114960396771
2488,684,676.6777777777778,5040.9484126984125,44782.92222222222,10.278649789029537,76.5713682941531,680.2469198312236
2489,238,2392.4666666666667,17162.453571428574,46424.50833333332,12.645060330150269,90.70983677548301,245.37048597231464
2490,142,5325,34870,49336,16.79213857428381,109.96091494559182,155.57876970908285
2491,385,1957.4333333333332,9213.366666666667,44540.91666666668,16.73577244799763,78.77295506699238,380.81840809830493
2492,291,1349.9777777777776,9962.109523809524,44072.166666666686,8.724040269449995,64.37872243900892,284.8101376859873
2493,400,1263.5499999999997,7359.500000000001,41565.04166666667,11.224072840328667,65.37419498112371,369.2208897771856
2494,155,1543.9,6530.5166666666655,37779.700000000004,5.314334887852543,22.479015841290988,130.04338218965134
2495,1101,1902.7916666666667,13198.975992063497,45466.152777777774,46.52395347546081,322.71979940621605,1111.6640952328075
2496,0,1902.7916666666667,13198.975992063497,45466.152777777774,0.0,0.0,0.0
2497,2,1729.1833333333332,9087.566666666666,44307.60000000002,0.07680139166481605,0.4036227700051817,1.9679147235176557
2498,0,1938.5944444444442,10901.721825396826,45602.227777777785,0.0,0.0,0.0
2499,0,1938.5944444444442,10901.721825396826,45602.227777777785,0.0,0.0,0.0
2500,0,1543.9,6530.5166666666655,37779.700000000004,0.0,0.0,0.0
2501,0,1817.8999999999996,5482.6333333333305,44937.99999999999,0.0,0.0,0.0
2502,0,2108.5,12892.766071428574,45214.783333333326,0.0,0.0,0.0
2503,0,2259.058333333334,7692.241666666669,43531.87321428573,0.0,0.0,0.0
2504,0,1801.05,13858.445238095243,45332.43333333334,0.0,0.0,0.0
2505,0,5325,34870,49336,0.0,0.0,0.0
2506,0,5325,34870,49336,0.0,0.0,0.0
2507,0,1969.8249999999998,4879.916666666666,41974.24642857142,0.0,0.0,0.0
2515,0,1692.5,8704.228571428572,44891.93333333335,0.0,0.0,0.0
2516,0,2002.1083333333331,10928.172619047624,45173.80000000002,0.0,0.0,0.0
2517,0,1763.9999999999998,6694.554166666665,45420.66666666664,0.0,0.0,0.0
2518,565,1763.9999999999998,6694.554166666665,45420.66666666664,22.13324450366422,83.9978481937967,569.9017691909095
2519,293,1664.633333333333,4305.530952380953,46579.333333333314,10.831391664816046,28.01511368082654,303.08116070767625
2520,0,711.45,4075.2999999999993,44381.933333333334,0.0,0.0,0.0
2521,0,1651.4833333333331,4918.844999999999,45093.699999999975,0.0,0.0,0.0
2525,0,1176.8609693877552,5000.716326530613,48025.151190476194,0.0,0.0,0.0
2526,36,1081.4714285714285,4431.6947619047605,48730.38666666666,0.8646007423622347,3.542993813648043,38.958337108594264
2527,0,1217.8333333333335,4219.483333333334,48308.61666666666,0.0,0.0,0.0
2528,371,749.1904761904764,5774.708333333332,48653.79999999999,6.172544229772745,47.5775436745873,400.8563135687318
2529,45,1107.904761904762,7643.041666666668,48827.54999999999,1.1071666508042257,7.637949700199868,48.79501998667554
2530,698,2176.333333333333,12124.033928571429,47328.73333333333,33.73485824265304,187.93194941467593,733.6321533792286
2531,0,894.7619047619048,8513.925000000003,47439.13333333333,0.0,0.0,0.0
2532,0,699.8809523809524,5203.804761904761,46443.46666666666,0.0,0.0,0.0
2533,0,524.7767857142858,8285.391071428574,47507.31666666666,0.0,0.0,0.0
2534,38,906.7619047619049,5041.338095238095,48593.78888888888,0.7651999196302995,4.254293751255776,41.00741678387247
2535,197,1691.9285714285713,9176.280952380954,49376.333333333314,7.4019526664763164,40.144955532290645,216.014605078096
2536,59,1691.9285714285713,9176.280952380954,49376.333333333314,2.216828463563973,12.023108509670804,64.69472943963281
2537,67,894.7619047619048,8513.925000000003,47439.13333333333,1.3313135158571536,12.66784310459694,70.58454215708046
2538,0,714.1666666666666,3981.842857142857,47922.188888888864,0.0,0.0,0.0
2539,5,485.49999999999994,3916.240476190476,46717.24999999999,0.053908505440817225,0.434847932066453,5.187347324006217
2540,296,470.8452380952381,3976.2452380952377,48136.95,3.0950519759313897,26.13743261106352,316.4232111925383
2541,634,1668.0833333333335,17159.672023809522,47998.000000000015,23.485783551706273,241.5996460825058,675.7879635798358
2542,384,1668.0833333333335,17159.672023809522,47998.000000000015,14.224827892516101,146.3316468386155,409.31005996002676
2543,53,1297.5833333333335,14527.78630952381,47573.49999999999,1.5272466503812276,17.09910447267959,55.993681989784584
2544,21,833.8333333333333,7445.900595238097,44585.05,0.3888629802353986,3.472438652009772,20.792495003331116
2545,0,715.3333333333334,11719.70476190476,47593.533333333326,0.0,0.0,0.0
2546,36,714.1666666666666,3981.842857142857,47922.188888888864,0.5709526982011992,3.18335205101361,38.31220963801908
2547,5,500.24999999999994,4570.3452380952385,48726.63333333332,0.05554630246502331,0.5074778190201242,5.410463394773853
2548,2,468.1333333333332,4094.5476190476184,48705.29999999999,0.020792064549559546,0.1818586550765098,2.1632378414390403
2549,1,2301.8333333333335,13696.391666666672,45257.50000000001,0.051117773336294324,0.30416148493596873,1.005052187430602
2550,0,1621.8333333333333,21280.432142857135,47909.833333333314,0.0,0.0,0.0
2551,8,1297.5833333333335,14527.78630952381,47573.49999999999,0.23052779628395886,2.5809969015365417,8.451876526759937
2552,35,999.6666666666666,11747.172619047624,46571.99999999999,0.7770005181730698,9.130602746317274,36.198534310459685
2553,668,999.6666666666666,11747.172619047624,46571.99999999999,14.82960988970316,174.26407527256967,690.8748834110592
2554,790,729.4666666666668,11942.083333333336,48152.016666666656,12.797660818713451,209.51023391812868,844.772222222222
2555,198,500.24999999999994,4570.3452380952385,48726.63333333332,2.199633577614923,20.096121633196915,214.25435043304455
2556,31,111.32000000000001,6151.550952380952,47907.07333333332,0.0766360204308239,4.234911825978449,32.98066340957879
2557,419,1395.8785714285714,8253.533333333336,48971.55,12.988521461882554,76.7983670145829,455.6757594936709
2558,1001,2793.1666666666665,17882.773809523802,49099.744444444405,62.091046709601,397.527350284995,1091.468891603128
2559,376,2793.1666666666665,17882.773809523802,49099.744444444405,23.32291065215782,149.32096274441372,409.98232092185424
2560,1,2091.2261904761904,15020.005654761906,48843.73333333332,0.04644073263327094,0.3335555330837643,1.0846931675179508
2561,0,4189.8452380952385,24553.08333333333,49108.799999999996,0.0,0.0,0.0
2562,60,2793.1666666666665,17882.773809523802,49099.744444444405,3.7217410615145456,23.827813203895804,65.42271078540227
2563,68,2091.2261904761904,15020.005654761906,48843.73333333332,3.1579698190624237,22.68177624969597,73.75913539122065
2564,0,5325,34870,49336,0.0,0.0,0.0
2565,406,2116.452380952381,22301.507142857143,49161.46666666667,19.082382115626622,201.07510326449037,443.250176919091
2566,8,3154.6071428571427,22417.50119047619,49214.13333333332,0.5604454173408204,3.9826784260228627,8.74335035901991
2567,214,4189.8452380952385,24553.08333333333,49108.799999999996,19.911767287416854,116.68576134428896,233.384037308461
2568,346,2177.7619047619046,20690.572619047613,49272.99999999999,16.733413703033953,158.98152623118972,378.60222074172765
2569,270,1421.515873015873,15333.798412698414,49204.411111111105,8.523412962786713,91.94149614542685,295.0297801465689
2570,0,5325,34870,49336,0.0,0.0,0.0
2571,29,1621.6666666666667,19842.59404761904,49428.99999999999,1.0443778221926123,12.778930210547461,31.833022429491447
2572,0,931.0952380952381,8786.127380952385,45002.966666666674,0.0,0.0,0.0
2573,0,5325,34870,49336,0.0,0.0,0.0
2574,181,1395.8785714285714,8253.533333333336,48971.55,5.610793280670029,33.17542823302984,196.84322784810126
2575,45,2385.166666666667,10921.590476190477,47147.12499999998,2.383577614923385,10.914314266679357,47.11571452365088
2576,83,3127.5416666666665,16868.759523809516,46540.24999999997,5.764733696054482,31.092761280839216,85.78371641128132
2577,226,9660.416666666668,23674.826190476182,49165.79999999999,48.48443630172478,118.82102418493486,246.7570686209193
2578,0,4580.55,21738.533333333333,48668.96666666663,0.0,0.0,0.0
2579,0,11036.508333333333,22313.430952380942,47219.58333333333,0.0,0.0,0.0
2580,0,9660.416666666668,23674.826190476182,49165.79999999999,0.0,0.0,0.0
2581,0,6775.0,19754.134523809524,48555.09166666663,0.0,0.0,0.0
2582,0,4119.25,16460.23095238095,47493.8833333333,0.0,0.0,0.0
2583,0,3392.1761904761906,14840.223809523806,47823.59999999998,0.0,0.0,0.0
2584,54,10120.150000000001,26425.853571428575,46145.633333333346,12.136089273817458,31.68989768725612,55.33786808794139
2585,0,8400.7,26224.970238095237,49273.00000000001,0.0,0.0,0.0
2586,314,7903.016666666667,25558.023809523802,49214.133333333346,55.10875490413798,178.21939765024368,343.17650159153163
2587,0,4119.25,16460.23095238095,47493.8833333333,0.0,0.0,0.0
2588,0,3392.1761904761906,14840.223809523806,47823.59999999998,0.0,0.0,0.0
2589,139,5424.880952380952,20218.627380952385,45507.700000000004,16.74569070355213,62.41148580840287,140.4745791694426
2590,26,5424.880952380952,20218.627380952385,45507.700000000004,3.1322874697291754,11.674090870636508,26.2758205640684
2591,102,5729.266666666666,23481.494444444445,49051.311111111114,12.977685987119697,53.189261233251905,111.1088992523503
2592,174,8400.7,26224.970238095237,49273.00000000001,32.461065956029316,101.33566114653722,190.39533644237179
2593,356,6850.483333333334,25626.228571428568,48129.50000000002,54.158828928862235,202.5968770026331,380.504152787031
2594,11,6850.483333333334,25626.228571428568,48129.50000000002,1.6734469612850693,6.260015862440912,11.757150788363319
2595,31,6062.091666666667,25728.50773809524,47215.06666666668,4.173325375675476,17.712274925182154,32.50426530461175
2596,66,4196.8,18042.52023809524,45110.15000000001,6.151205862758162,26.444733193743858,66.11747501665558
2597,0,3551.666666666667,13503.911904761906,44926.66666666667,0.0,0.0,0.0
2598,98,2176.333333333333,12124.033928571429,47328.73333333333,4.736412761862462,26.38586109260493,103.00279517358797
2599,104,3978.5333333333333,18247.920833333337,46104.7904761905,9.188706788067215,42.14487600858688,106.48230534141267
2600,44,6062.091666666667,25728.50773809524,47215.06666666668,5.923429565474869,25.140003119613382,46.13508623880377
2601,0,4196.8,18042.52023809524,45110.15000000001,0.0,0.0,0.0
2602,0,3551.666666666667,13503.911904761906,44926.66666666667,0.0,0.0,0.0
2603,0,2033.416666666667,13069.536904761906,44788.58333333334,0.0,0.0,0.0
2604,192,4416.583333333333,17909.272619047624,45683.83333333337,18.831534532533865,76.3619885155928,194.78783033533216
2605,18,4416.583333333333,17909.272619047624,45683.83333333337,1.7654563624250499,7.158936423336825,18.26135909393739
2606,142,4404.75,15422.30555555556,44229.02142857147,13.890173217854764,48.633519628889395,139.4741515180357
2607,177,3167.2083333333335,13156.714285714286,44391.29166666667,12.449386520097713,51.7152660131341,174.48942094159452
2608,52,2033.416666666667,13069.536904761906,44788.58333333334,2.3481604856021914,15.092514302634225,51.72121548597233
2609,7,4002.2499999999995,19887.94523809524,45685.10000000001,0.6221574505884965,3.0916192908431417,7.101836553408841
2610,1,4729.416666666666,13657.76666666667,44990.70000000001,0.105028129395218,0.30330372344363027,0.9991272485009997
2611,195,4946.333333333334,17050.20773809524,46499.55000000002,21.419831223628695,73.8350101916183,201.3638074616923
2612,259,3022.333333333333,18903.048809523818,47975.000000000015,17.383618328521724,108.72506421644835,275.93881856540094
2613,204,5325,34870,49336,24.12391738840773,157.9720186542305,223.50752831445703
2614,0,11036.508333333333,22313.430952380942,47219.58333333333,0.0,0.0,0.0
2615,0,6676.7125,22848.41964285714,47892.808333333305,0.0,0.0,0.0
2616,0,7845.500000000001,20920.741666666665,48115.41666666664,0.0,0.0,0.0
2617,0,10446.175,23984.416071428564,48546.28333333331,0.0,0.0,0.0
2618,0,6232.833333333333,18981.383333333328,45719.44999999999,0.0,0.0,0.0
2619,0,6649.583333333334,18511.724999999995,45579.61904761905,0.0,0.0,0.0
2620,0,8858.666666666666,19721.148412698414,48978.100000000006,0.0,0.0,0.0
2621,0,10446.175,23984.416071428564,48546.28333333331,0.0,0.0,0.0
2622,0,10446.175,23984.416071428564,48546.28333333331,0.0,0.0,0.0
2623,0,10323.25,22913.690476190466,48921.84166666663,0.0,0.0,0.0
2624,0,11036.508333333333,22313.430952380942,47219.58333333333,0.0,0.0,0.0
2625,0,6586.9,21706.853571428575,49212.216666666674,0.0,0.0,0.0
2626,0,6586.9,21706.853571428575,49212.216666666674,0.0,0.0,0.0
2627,0,11622.31666666667,22108.078571428578,49202.666666666664,0.0,0.0,0.0
2628,0,12125.855555555558,25016.542460317458,49245.94444444444,0.0,0.0,0.0
2629,0,10120.150000000001,26425.853571428575,46145.633333333346,0.0,0.0,0.0
2630,0,3978.5333333333333,18247.920833333337,46104.7904761905,0.0,0.0,0.0
2631,0,12125.855555555558,25016.542460317458,49245.94444444444,0.0,0.0,0.0
2632,0,12125.855555555558,25016.542460317458,49245.94444444444,0.0,0.0,0.0
2633,0,11622.31666666667,22108.078571428578,49202.666666666664,0.0,0.0,0.0
2634,0,5325,34870,49336,0.0,0.0,0.0
2635,0,3434.166666666667,21111.078571428574,49202.66666666667,0.0,0.0,0.0
2636,0,4275.033333333333,22930.753571428577,49029.83809523813,0.0,0.0,0.0
2637,0,1381.7999999999997,12336.666666666668,41153.48333333329,0.0,0.0,0.0
2638,0,6383.491666666667,23348.10773809524,49232.133333333346,0.0,0.0,0.0
2639,0,7497.1,25034.594285714287,47834.203809523824,0.0,0.0,0.0
2640,656,3978.5333333333333,18247.920833333337,46104.7904761905,57.95953512473166,265.83691020800956,671.6576183073722
2641,0,3660.8499999999995,21362.022619047624,46761.847619047636,0.0,0.0,0.0
2642,468,3924.5833333333335,12540.833333333336,47172.00000000007,40.78847435043304,130.33777481678882,490.26195869420457
2643,0,2574.4666666666667,15503.666666666668,48448.423809523825,0.0,0.0,0.0
2644,0,2574.4666666666667,15503.666666666668,48448.423809523825,0.0,0.0,0.0
2645,0,10763.35,22372.666666666664,46349.166666666635,0.0,0.0,0.0
2646,0,2271.0166666666664,11808.15,47641.38571428572,0.0,0.0,0.0
2647,225,3481.2416666666663,14194.291666666668,44345.920238095256,17.394611925383074,70.92417554963359,221.58187993718482
2648,171,411.1666666666666,7620.7,48706.66190476193,1.5613924050632908,28.939367088607593,184.96200723327314
2649,293,411.1666666666666,7620.7,48706.66190476193,2.6753682730031825,49.58616699977792,316.92320537631014
2650,391,1622.1416666666667,9012.55,45787.85059523811,14.085218557998372,78.2568743060182,397.58049262132135
2651,279,3978.5333333333333,18247.920833333337,46104.7904761905,24.65047301798801,113.06173467688211,285.6592614447513
2655,0,425.0,1501.1333333333337,45550.55416666666,0.0,0.0,0.0
2656,0,276.7,1506.766666666667,44521.3261904762,0.0,0.0,0.0
2657,474,544.1033333333332,5434.05,47150.23595238099,5.727403508771928,57.200526315789475,496.31827318295774
2658,0,5325,34870,49336,0.0,0.0,0.0
2659,0,5325,34870,49336,0.0,0.0,0.0
2660,0,406.01666666666665,8366.619642857144,44778.73750000004,0.0,0.0,0.0
2662,0,5325,34870,49336,0.0,0.0,0.0
2663,0,5325,34870,49336,0.0,0.0,0.0
2664,318,1551.3833333333332,10486.931746031747,48760.960317460354,10.955805018876303,74.0582788194114,344.34788765161875
2665,120,1551.3833333333332,10486.931746031747,48760.960317460354,4.1342660448589825,27.946520309211852,129.9425991138184
2666,135,3962.766666666667,9124.200000000003,42911.371428571474,11.880379746835443,27.35436375749501,128.64834871990115
2667,0,2938.6666666666665,8287.33888888889,43896.33174603177,0.0,0.0,0.0
2668,0,156.0,1828.0249999999999,22736.29166666667,0.0,0.0,0.0
2669,0,5325,34870,49336,0.0,0.0,0.0
2672,0,4382.291666666666,17424.33333333333,41892.804166666654,0.0,0.0,0.0
2673,0,3201.8333333333335,16812.500000000004,48629.566666666644,0.0,0.0,0.0
2674,0,2121.4444444444443,14368.738888888889,48486.779365079354,0.0,0.0,0.0
