MGRA,population,emp_5min,emp_10min,emp_15min,weighted_5min,weighted_10min,weighted_15min
2353,102,1105.6517857142858,1918.3714285714286,47728.850000000006,2.5044743980203674,4.345411630341677,108.11331778814126
2358,168,711.9017857142858,4478.1392857142855,48255.24999999999,2.6559960026648906,16.707248500999334,180.03291139240503
2367,15,740.5,7024.138095238096,48433.866666666654,0.2466688874083944,2.3398194854224172,16.133866311347987
2368,80,30.6875,1006.4190476190479,41892.475000000006,0.05451920941594492,1.787997419709612,74.42589384854543
2369,197,5325,34870,49336,23.296135909393737,152.55141017099712,215.83815234288252
2370,146,111.32000000000001,4969.263095238095,46513.00666666667,0.3609309349322674,16.111756871080654,150.80832718928121
2371,143,5325,34870,49336,16.91039307128581,110.73528758605373,156.67439484787917
2373,174,337.05555555555554,5820.4269841269825,48270.46666666667,1.3024132060108076,22.490657233801798,186.5214568065734
2375,132,596.7866666666666,3349.8583333333336,46918.45333333333,1.7494079502553852,9.819704641350212,137.53577259604708
2378,139,454.41111111111104,2844.1730158730165,44096.39444444445,1.4026903052286128,8.779481439181641,136.1181174278876
2381,153,554.4333333333333,2894.6999999999994,44352.36666666666,1.8838174550299798,9.83542305129913,150.69758161225846
2382,56,990.8,5527.793452380952,44821.56666666668,1.2321741061514546,6.874448885927899,55.74078910356061
2386,44,1664.633333333333,3927.6285714285714,45556.33333333331,1.6265571100747647,3.8377894102344468,44.514294174254175
2420,553,571.2166666666667,2392.5166666666664,43341.63333333333,7.014941520467836,29.381783625730993,532.2656725146198
2461,520,676.6777777777778,5008.152777777777,44422.85555555555,7.814178202186198,57.833432032965675,512.9887827867841
2462,71,637.8000000000001,5309.404166666669,46025.566666666666,1.0056362425049967,8.371478921459772,72.56973647198164
2463,5,739.6333333333333,15386.057142857137,48831.799999999996,0.08212673032792953,1.7084229561244877,5.4221407950255385
2464,0,719.1666666666666,4007.0738095238094,43508.39166666666,0.0,0.0,0.0
2465,26,719.1666666666666,4007.0738095238094,43508.39166666666,0.415241690724702,2.3136557638822794,25.121434229032495
2466,1088,619.5,4865.25,42124.36666666665,14.968154563624251,117.55256495669553,1017.7950462654522
2467,7,1064.6777777777777,4274.699999999998,38671.411111111105,0.1655062057393836,0.6645103264490336,6.0115451427443425
2468,331,5325,34870,49336,39.14223850766156,256.31734399289365,362.6519209415945
2469,328,884.6444444444445,3477.4416666666652,38990.8611111111,6.4437792089224475,25.329799392997252,284.0107138450909
2470,0,1074.9333333333334,4585.033333333333,30681.321428571424,0.0,0.0,0.0
2471,4,1733.3333333333333,4789.333333333333,45339.3333333333,0.15397142645643644,0.42543489525501516,4.02747797764453
2472,0,1676.6166666666666,4832.299999999999,40973.01666666668,0.0,0.0,0.0
2473,0,1578.2999999999995,3652.7166666666662,43967.266666666656,0.0,0.0,0.0
2474,0,1676.6166666666666,4832.299999999999,40973.01666666668,0.0,0.0,0.0
2475,103,1786.0,2814.5,41649.46666666665,4.085232067510548,6.437785920497445,95.26748982160038
2476,196,954.8333333333334,5295.894444444443,44215.69999999999,4.15605892368051,23.051195005798597,192.45563402176322
2484,504,2301.8333333333335,13696.391666666672,45235.50000000001,25.76335776149234,153.29738840772825,506.3000666222519
2485,457,1959.4333333333334,12912.59166666667,45182.83333333334,19.885876822858837,131.0471772522023,458.5510733585018
2486,241,1959.4333333333334,12912.59166666667,45182.83333333334,10.48686283218595,69.10803001702571,241.81796209934123
2487,707,960.6666666666667,20665.498809523804,47922.33333333332,15.083085350507071,324.4616402028277,752.4114960396771
2488,684,676.6777777777778,5008.152777777777,44422.85555555555,10.278649789029537,76.07320675105484,674.777552742616
2489,238,2392.4666666666667,17162.453571428574,46166.42499999999,12.645060330150269,90.70983677548301,244.00642127470567
2490,142,5325,34870,49336,16.79213857428381,109.96091494559182,155.57876970908285
2491,385,1957.4333333333332,9213.366666666667,44359.350000000006,16.73577244799763,78.77295506699238,379.2660393071286
2492,291,1349.9777777777776,9962.109523809524,43944.311111111136,8.724040269449995,64.37872243900892,283.9838892590127
2493,400,1263.5499999999997,7359.500000000001,41404.51666666667,11.224072840328667,65.37419498112371,367.79495151380564
2494,155,1543.9,6530.5166666666655,37285.600000000006,5.314334887852543,22.479015841290988,128.3426160337553
2495,1101,1902.7916666666667,13198.975992063497,45385.397222222215,46.52395347546081,322.71979940621605,1109.689592308831
2496,0,1902.7916666666667,13198.975992063497,45385.397222222215,0.0,0.0,0.0
2497,2,1729.1833333333332,9087.566666666666,44007.3,0.07680139166481605,0.4036227700051817,1.9545769487008662
2498,0,1938.5944444444442,10901.721825396826,45474.272222222215,0.0,0.0,0.0
2499,0,1938.5944444444442,10901.721825396826,45474.272222222215,0.0,0.0,0.0
2500,0,1543.9,6530.5166666666655,37285.600000000006,0.0,0.0,0.0
2501,0,1817.8999999999996,5472.233333333331,44661.93333333332,0.0,0.0,0.0
2502,0,2108.5,12889.999404761907,45103.2,0.0,0.0,0.0
2503,0,2259.058333333334,7692.241666666669,43341.45892857145,0.0,0.0,0.0
2504,0,1801.05,13858.445238095243,45332.433333333334,0.0,0.0,0.0
2505,0,5325,34870,49336,0.0,0.0,0.0
2506,0,5325,34870,49336,0.0,0.0,0.0
2507,0,1969.8249999999998,4773.916666666666,38968.79761904761,0.0,0.0,0.0
2515,0,1692.5,8698.695238095239,44795.26666666669,0.0,0.0,0.0
2516,0,2002.1083333333331,10918.055952380957,45106.350000000006,0.0,0.0,0.0
2517,0,1763.9999999999998,6593.187500000001,45037.91666666665,0.0,0.0,0.0
2518,565,1763.9999999999998,6593.187500000001,45037.91666666665,22.13324450366422,82.72598129025096,565.0993319268633
2519,293,1664.633333333333,3927.6285714285714,45556.33333333331,10.831391664816046,25.556188572697565,296.4247316603744
2520,0,711.45,3951.7999999999993,44172.53333333333,0.0,0.0,0.0
2521,0,1651.4833333333331,4834.8916666666655,44635.326666666646,0.0,0.0,0.0
2525,0,1176.8609693877552,4184.379421768707,46109.177380952395,0.0,0.0,0.0
2526,36,1081.4714285714285,2524.638095238094,48031.63333333334,0.8646007423622347,2.018364899590748,38.399706862091946
2527,0,1217.8333333333335,3829.2166666666667,47918.46666666666,0.0,0.0,0.0
2528,371,749.1904761904764,5659.708333333332,45687.21666666666,6.172544229772745,46.63006421644828,376.4147764453327
2529,45,1107.904761904762,7643.041666666668,47103.78333333334,1.1071666508042257,7.637949700199868,47.072401732178555
2530,698,2176.333333333333,12124.033928571429,46538.14999999999,33.73485824265304,187.93194941467593,721.3774972240726
2531,0,894.7619047619048,8413.979761904764,45030.88333333333,0.0,0.0,0.0
2532,0,699.8809523809524,5183.704761904763,44785.42499999999,0.0,0.0,0.0
2533,0,524.7767857142858,8007.741071428572,46123.566666666666,0.0,0.0,0.0
2534,38,906.7619047619049,3506.2658730158723,48219.8111111111,0.7651999196302995,2.958874154443774,40.691823722456625
2535,197,1691.9285714285713,9176.280952380954,48896.466666666674,7.4019526664763164,40.144955532290645,213.9152550151751
2536,59,1691.9285714285713,9176.280952380954,48896.466666666674,2.216828463563973,12.023108509670804,64.06599008068696
2537,67,894.7619047619048,8413.979761904764,45030.88333333333,1.3313135158571536,12.519134888910042,67.0013143089792
2538,0,714.1666666666666,3233.113888888889,45589.43333333331,0.0,0.0,0.0
2539,5,485.49999999999994,3339.723809523809,45042.8,0.053908505440817225,0.3708332011463257,5.001421274705752
2540,296,470.8452380952381,2875.120238095238,47578.91666666667,3.0950519759313897,18.89930247559828,312.7550373824858
2541,634,1668.0833333333335,17159.672023809522,47075.41666666666,23.485783551706273,241.5996460825058,662.7984491820266
