from_node,to_node,distance (meters),travel_time,link_type,route,rdrs_AM,rdrs_MD,rdrs_PM,rdrs_EV,tt_rdrs
782,734,283.9992063,21.17632368,1,2,9.0,29.0,30.0,11.0,79.0
734,782,283.9992063,21.17632368,1,2,30.0,35.0,43.0,7.0,115.0
734,736,152.9995724,11.40837156,1,992,11.0,21.0,31.0,11.0,74.0
736,734,152.9995724,11.40837156,1,992,26.0,38.0,45.0,7.0,116.0
736,816,165.9995361,12.37771032,1,992,9.0,36.0,31.0,12.0,88.0
816,736,165.9995361,12.37771032,1,992,24.0,34.0,43.0,7.0,108.0
816,739,151.9995752,11.33380704,1,2,0.0,12.0,13.0,5.0,30.0
739,816,151.9995752,11.33380704,1,2,4.0,14.0,15.0,2.0,35.0
739,750,230.9993544,17.22440412,1,2,0.0,14.0,18.0,5.0,37.0
750,739,230.9993544,17.22440412,1,2,4.0,17.0,12.0,1.0,34.0
750,744,238.999332,17.82092028,1,2,0.0,9.0,12.0,4.0,25.0
744,750,238.999332,17.82092028,1,2,3.0,16.0,8.0,1.0,28.0
762,864,224.9993712,16.777017,1,2,3.0,3.0,7.0,1.0,14.0
864,762,224.9993712,16.777017,1,2,2.0,2.0,0.0,1.0,5.0
864,812,189.999469,14.1672588,1,992,2.0,7.0,3.0,1.0,13.0
812,864,189.999469,14.1672588,1,992,4.0,2.0,3.0,1.0,10.0
812,813,158.9995556,11.85575868,1,992,11.0,23.0,21.0,7.0,62.0
813,812,158.9995556,11.85575868,1,992,7.0,23.0,13.0,6.0,49.0
813,756,210.9994103,15.73311372,1,2,1.0,0.0,0.0,0.0,1.0
756,813,210.9994103,15.73311372,1,2,0.0,0.0,3.0,0.0,3.0
756,755,130.9996339,9.76795212,1,2,0.0,0.0,0.0,0.0,0.0
755,756,130.9996339,9.76795212,1,2,1.0,0.0,0.0,0.0,1.0
769,768,108.9996954,8.12753268,1,3,2.0,4.0,2.0,0.0,8.0
768,769,108.9996954,8.12753268,1,3,1.0,0.0,2.0,1.0,4.0
768,763,178.9994997,13.34704908,1,3,2.0,7.0,2.0,0.0,11.0
763,768,178.9994997,13.34704908,1,3,1.0,0.0,4.0,3.0,8.0
763,766,176.9995053,13.19792004,1,3,6.0,13.0,6.0,0.0,25.0
766,763,176.9995053,13.19792004,1,3,2.0,12.0,9.0,4.0,27.0
766,761,110.9996898,8.27666172,1,3,6.0,16.0,6.0,1.0,29.0
761,766,110.9996898,8.27666172,1,3,4.0,13.0,11.0,4.0,32.0
761,760,62.99982392,4.69756476,1,3,9.0,31.0,8.0,4.0,52.0
760,761,62.99982392,4.69756476,1,3,13.0,20.0,37.0,6.0,76.0
760,759,108.9996954,8.12753268,1,3,9.0,31.0,8.0,4.0,52.0
759,760,108.9996954,8.12753268,1,3,13.0,20.0,33.0,6.0,72.0
759,758,113.9996814,8.50035528,1,3,10.0,31.0,3.0,3.0,47.0
758,759,113.9996814,8.50035528,1,3,9.0,19.0,34.0,6.0,68.0
758,796,150.999578,11.25924252,1,3,8.0,22.0,6.0,4.0,40.0
796,758,150.999578,11.25924252,1,3,8.0,18.0,35.0,8.0,69.0
796,797,198.9994438,14.83833948,1,3,8.0,17.0,5.0,5.0,35.0
797,796,198.9994438,14.83833948,1,3,9.0,18.0,32.0,8.0,67.0
797,799,63.99982113,4.77212928,1,3,10.0,18.0,10.0,4.0,42.0
799,797,63.99982113,4.77212928,1,3,13.0,18.0,31.0,10.0,72.0
799,804,100.9997177,7.53101652,1,3,2.0,13.0,7.0,0.0,22.0
804,799,100.9997177,7.53101652,1,3,1.0,3.0,3.0,3.0,10.0
804,805,222.9993767,16.62788796,1,3,2.0,9.0,1.0,0.0,12.0
805,804,222.9993767,16.62788796,1,3,1.0,3.0,3.0,1.0,8.0
805,798,183.9994857,13.71987168,1,3,0.0,0.0,0.0,0.0,0.0
798,805,183.9994857,13.71987168,1,3,0.0,0.0,0.0,0.0,0.0
774,784,100.9997177,7.53101652,1,3,2.0,2.0,6.0,2.0,12.0
784,774,100.9997177,7.53101652,1,3,5.0,16.0,1.0,0.0,22.0
784,786,150.999578,11.25924252,1,3,2.0,7.0,6.0,2.0,17.0
786,784,150.999578,11.25924252,1,3,8.0,18.0,1.0,1.0,28.0
786,787,157.9995584,11.78119416,1,3,6.0,6.0,7.0,3.0,22.0
787,786,157.9995584,11.78119416,1,3,9.0,25.0,6.0,2.0,42.0
787,785,336.9990581,25.12824324,1,3,7.0,8.0,8.0,4.0,27.0
785,787,336.9990581,25.12824324,1,3,8.0,32.0,10.0,1.0,51.0
