MGRA,population,emp_5min,emp_10min,emp_15min,weighted_5min,weighted_10min,weighted_15min
2353,102,2461.570238095238,48146.183333333334,49428.99999999998,5.575841978363631,109.05864312680436,111.96442371752161
2358,168,2615.8872023809527,48212.15,49428.99999999999,9.759472573839664,179.87211192538308,184.41199200532975
2367,15,2697.519047619048,48487.46666666667,49428.999999999985,0.8985739665619746,16.151721074838996,16.465356429047297
2368,80,1407.8952380952387,46552.43333333335,49428.99999999999,2.501257362816325,82.70474498482496,87.81523428825227
2369,197,5325,34870,49336,23.296135909393737,152.55141017099712,215.83815234288252
2370,146,2338.7261904761904,46528.10666666666,49428.999999999985,7.5828119877753455,150.85728566141088,160.26280257606035
2371,143,5325,34870,49336,16.91039307128581,110.73528758605373,156.67439484787917
2373,174,3299.5031746031746,47781.53333333332,49428.99999999998,12.749579222317397,184.6321741061514,190.99813457694862
2375,132,3734.318095238096,47945.73333333331,49428.99999999997,10.946701944735258,140.54711969797904,144.89513657561616
2378,139,2896.4412698412702,45004.15555555554,49428.99999999997,8.940824705927971,138.92022256767086,152.57896957583824
2381,153,3104.90119047619,46329.2333333333,49428.99999999997,10.549630960312172,157.41445036642227,167.94663557628238
2382,56,2855.5273809523815,44079.6333333333,49428.99999999997,3.5511777333629437,54.81810940854241,61.470664001776555
2386,44,3566.288095238096,47420.56666666664,49428.99999999997,3.4847141059399562,46.33588570582572,48.298378858538726
2420,553,2638.146428571429,43097.86666666663,49428.99999999997,32.398289473684216,529.2720467836253,607.0228070175435
2461,520,2437.1642857142856,44838.4222222222,49428.99999999998,28.144024618508297,517.7876872208649,570.7990228736395
2462,71,2941.497619047619,46887.38333333332,49428.99999999997,4.637937618307372,73.92858575764303,77.93602043082385
2463,5,3355.3571428571427,48751.46666666665,49428.99999999998,0.37256908093017355,5.41322081575246,5.488452143015765
2464,0,2494.8125,44023.11666666664,49428.99999999997,0.0,0.0,0.0
2465,26,2494.8125,44023.11666666664,49428.99999999997,1.4404868976238063,25.41863276334294,28.539951143681975
2466,1088,3403.567857142857,47594.89999999998,49428.999999999985,82.23588337933441,1149.9722673773035,1194.2871863202306
2467,7,1914.5361111111108,37452.361111111095,49428.99999999998,0.29761831618427215,5.82204147852049,7.683833000222071
2468,331,5325,34870,49336,39.14223850766156,256.31734399289365,362.6519209415945
2469,328,2497.448015873016,43080.3833333333,49428.99999999996,18.19149343118697,313.7989281219925,360.04246058183406
2470,0,1474.5333333333333,25694.4,49429.00000000001,0.0,0.0,0.0
2471,4,3988.834523809525,47142.9,49429.00000000001,0.35432685088248056,4.1876882078614255,4.390761714412615
2472,0,4120.883333333332,40497.799999999996,49429.00000000001,0.0,0.0,0.0
2473,0,2569.0583333333334,41574.96666666663,49428.99999999997,0.0,0.0,0.0
2474,0,4120.883333333332,40497.799999999996,49429.00000000001,0.0,0.0,0.0
2475,103,1919.2666666666667,33996.816666666666,49428.99999999999,4.390061440521134,77.76309386335035,113.06211414612478
