MGRA,population,emp_5min,emp_10min,emp_15min,weighted_5min,weighted_10min,weighted_15min
2353,102,2512.2845238095238,47943.966666666674,49428.99999999998,5.6907177754512865,108.6005907172996,111.96442371752161
2358,168,2675.2443452380953,47798.55833333335,49428.99999999999,9.980924938929602,178.32906506773267,184.41199200532975
2367,15,2697.519047619048,47897.600000000006,49428.999999999985,0.8985739665619746,15.955229846768823,16.465356429047297
2368,80,1469.6452380952387,46401.16666666668,49428.99999999999,2.610962004166536,82.43600562587906,87.81523428825227
2369,197,5325,34870,49336,23.296135909393737,152.55141017099712,215.83815234288252
2370,146,2369.239523809524,45978.840000000004,49428.999999999985,7.681744847350445,149.07640772818124,160.26280257606035
2371,143,5325,34870,49336,16.91039307128581,110.73528758605373,156.67439484787917
2373,174,3364.6253968253973,47386.266666666656,49428.99999999998,13.001217389465227,183.10482789251606,190.99813457694862
2375,132,3739.3314285714296,47412.97999999997,49428.99999999997,10.961397925192731,138.9854177215189,144.89513657561616
2378,139,2959.1968253968257,43979.227777777756,49428.99999999997,9.134540500336637,135.75644372887203,152.57896957583824
2381,153,3105.40119047619,43871.59999999997,49428.99999999997,10.55132982773389,149.06406395736164,167.94663557628238
2382,56,2866.1107142857145,43161.24999999997,49428.99999999997,3.5643393293359984,53.675993781923125,61.470664001776555
2386,44,3610.288095238096,47256.56666666664,49428.99999999997,3.5277076657889457,46.17563698275221,48.298378858538726
2420,553,2690.042261904763,41306.649999999965,49428.99999999997,33.035606725146216,507.2746491228066,607.0228070175435
2461,520,2457.8309523809526,43718.72222222221,49428.99999999998,28.382680329515775,504.8575517556196,570.7990228736395
2462,71,3013.8601190476193,45775.333333333314,49428.99999999997,4.752033498831468,72.17518691242873,77.93602043082385
2463,5,3375.357142857142,48392.96666666664,49428.99999999997,0.37478982265791055,5.373414020282771,5.488452143015764
2464,0,2498.3416666666667,43217.48333333331,49428.99999999997,0.0,0.0,0.0
2465,26,2498.3416666666667,43217.48333333331,49428.99999999997,1.4425246132208158,24.95346583758974,28.539951143681975
2466,1088,3434.567857142857,45518.63333333331,49428.999999999985,82.98489514926557,1099.8061973499143,1194.2871863202306
2467,7,1996.8694444444443,35479.24444444443,49428.99999999998,0.3104171910084635,5.515316702445282,7.683833000222071
2468,331,5325,34870,49336,39.14223850766156,256.31734399289365,362.6519209415945
2469,328,2731.336904761905,41480.44999999997,49428.99999999996,19.895147785074503,302.14496113701955,360.04246058183406
2470,0,1646.1333333333332,24180.383333333335,49429.00000000001,0.0,0.0,0.0
2471,4,4089.5011904761914,45643.133333333324,49429.0,0.36326903757283513,4.054464431119993,4.390761714412614
2472,0,4137.383333333332,39684.46666666667,49429.00000000001,0.0,0.0,0.0
2473,0,2569.1833333333334,39645.36666666663,49428.99999999997,0.0,0.0,0.0
2474,0,4137.383333333332,39684.46666666667,49429.00000000001,0.0,0.0,0.0
2475,103,1919.6,30563.233333333334,49428.99999999999,4.39082389518099,69.90923902583462,113.06211414612478
2476,196,2547.7277777777776,38435.522222222215,49429.00000000001,11.08937695857083,167.29652133145802,215.1473240062181
2484,504,6976.616666666668,44370.500000000065,49429.000000000065,78.08604930046637,496.6185209860101,553.2359760159901
2485,457,4034.100000000001,42370.00000000002,49429.00000000003,40.9412325116589,430.00421940928294,501.6445258716414
2486,241,4034.100000000001,42370.00000000002,49429.00000000003,21.590453031312464,226.76371308016888,264.5433932933601
2487,707,3058.933333333333,44360.166666666664,49429.00000000001,48.02722333259308,696.4831852838848,776.0671330224296
2488,684,2457.8309523809526,43718.72222222221,49428.99999999998,37.33414104882459,664.0818565400842,750.8202531645566
2489,238,2469.55,39477.008333333375,49429.000000000044,13.0524739062847,208.6504104670962,261.2503220075507
2490,142,5325,34870,49336,16.79213857428381,109.96091494559182,155.57876970908285
2491,385,4583.900000000001,41858.33333333335,49429.00000000002,39.19168332222963,357.8827078244135,422.6108150122143
2492,291,2895.5611111111107,39144.444444444445,49429.00000000001,18.712153749352282,252.96543045377157,319.42791472351774
2493,400,2724.625,35342.17499999999,49429.0,24.202753719742393,313.9433710859426,439.0761714412614
2494,155,2944.283333333333,32362.92499999999,49429.0,10.134663927751866,111.39803186764375,170.14201643348878
2495,1101,4631.430555555556,40665.06111111113,49429.00000000003,113.24017414316381,994.2756447553487,1208.5571618920726
2496,0,4631.430555555556,40665.06111111113,49429.00000000003,0.0,0.0,0.0
2497,2,5043.05,39682.09999999999,49429.0,0.22398623140128804,1.7624739062846988,2.195380857206307
2498,0,4753.477777777777,40242.00555555557,49429.00000000001,0.0,0.0,0.0
2499,0,4753.477777777777,40242.00555555557,49429.00000000001,0.0,0.0,0.0
2500,0,2944.283333333333,32362.92499999999,49429.0,0.0,0.0,0.0
2501,0,4467.699999999998,41491.299999999996,49429.00000000001,0.0,0.0,0.0
2502,0,4076.3499999999985,39662.29166666666,49429.0,0.0,0.0,0.0
2503,0,3714.8083333333334,31548.229761904775,49429.00000000003,0.0,0.0,0.0
2504,0,4009.9666666666653,41677.166666666664,49429.00000000001,0.0,0.0,0.0
2505,0,5325,34870,49336,0.0,0.0,0.0
2506,0,5325,34870,49336,0.0,0.0,0.0
2507,0,3024.433333333333,42097.89642857143,49429.000000000044,0.0,0.0,0.0
2515,0,3971.799999999999,40602.0,49429.000000000015,0.0,0.0,0.0
2516,0,4312.083333333331,42071.75,49429.000000000015,0.0,0.0,0.0
2517,0,3413.7773809523815,44202.98333333333,49429.0,0.0,0.0,0.0
2518,565,3413.7773809523815,44202.98333333333,49429.0,42.83331601683534,554.623264120216,620.1950921607817
2519,293,3610.288095238096,47256.56666666664,49428.99999999997,23.491326047185478,307.4877644533272,321.6232955807238
2520,0,3514.3166666666657,37916.20000000001,49429.000000000015,0.0,0.0,0.0
2521,0,3463.942380952381,42349.139999999985,49429.0,0.0,0.0,0.0
2525,0,2524.9482993197275,47525.10952380953,49428.99999999999,0.0,0.0,0.0
2526,36,3764.2328571428566,48602.86,49428.99999999998,3.009380032359379,38.85638374417056,39.51685542971351
2527,0,2660.2404761904763,47795.53333333334,49428.999999999985,0.0,0.0,0.0
2528,371,2910.76369047619,48205.38333333331,49428.99999999996,23.981641775853127,397.16183026130705,407.2431490117696
2529,45,2353.6190476190477,48091.78333333331,49428.99999999996,2.3520510136099744,48.05974350433043,49.39606928714187
2530,698,6604.6809523809525,49256.49999999998,49428.99999999998,102.37768831361103,763.514035087719,766.1879191650007
2531,0,1834.8363095238096,45720.86666666665,49428.99999999997,0.0,0.0,0.0
2532,0,1688.792857142857,44472.716666666645,49428.99999999997,0.0,0.0,0.0
2533,0,1872.020238095238,44839.649999999994,49428.999999999985,0.0,0.0,0.0
2534,38,3496.3019841269847,48299.06666666666,49428.99999999998,2.950465809389861,40.75870604781996,41.71223628691981
2535,197,4505.523809523809,49125.33333333331,49428.99999999997,19.711041316371094,214.91651491598182,216.2450144348211
2536,59,4505.523809523809,49125.33333333331,49428.99999999997,5.9033067901822065,64.36585979717222,64.76373528758602
2537,67,1834.8363095238096,45720.86666666665,49428.99999999997,2.7300473626048247,68.02793841142939,73.54525871641124
2538,0,2168.345238095238,46188.488888888874,49428.99999999997,0.0,0.0,0.0
2539,5,1804.3577380952383,43852.69999999998,49428.99999999998,0.20035062603766804,4.869276038196756,5.488452143015765
2540,296,2993.3130952380952,47597.841666666674,49428.99999999999,19.67623087254,312.8794388925902,324.9163668665334
2541,634,5446.958333333333,47271.000000000015,49429.000000000015,76.69046376489747,665.5521652231847,695.9357317343995
2542,384,5446.958333333333,47271.000000000015,49429.000000000015,46.44974461470131,403.1104596935378,421.51312458361105
2543,53,4135.608333333333,45522.41666666667,49429.0,4.8675825375675466,53.57957102672293,58.17759271596714
2544,21,914.3333333333333,40553.71666666666,49428.999999999985,0.42640461914279365,18.912459471463468,23.051499000666215
2545,0,1959.1146825396825,44912.0111111111,49428.99999999999,0.0,0.0,0.0
2546,36,2168.345238095238,46188.488888888874,49428.99999999997,1.7335205101360998,36.9261736620031,39.5168554297135
2547,5,3375.5214285714283,48112.13333333332,49428.99999999998,0.37480806446495984,5.342231105189131,5.488452143015765
2548,2,3515.6190476190477,48352.96666666667,49428.99999999999,0.15614563835749712,2.14758901473092,2.1953808572063065
2549,1,6976.616666666668,44370.500000000065,49429.000000000065,0.15493263750092534,0.9853542083055755,1.097690428603155
2550,0,1621.8333333333333,41654.6666666667,49429.000000000044,0.0,0.0,0.0
2551,8,4135.608333333333,45522.41666666667,49429.0,0.7347294396328372,8.08748241912799,8.781523428825228
2552,35,2412.350000000001,44445.333333333336,49429.00000000001,1.875022207417278,34.54556221778074,38.41916500111038
2553,668,2412.350000000001,44445.333333333336,49429.00000000001,35.78613813013548,659.3267303279296,733.2572063069066
2554,790,2085.983333333333,44169.43333333332,49428.999999999985,36.59619883040935,774.9023391812863,867.175438596491
2555,198,3375.5214285714283,48112.13333333332,49428.99999999998,14.842399352812409,211.5523517654896,217.34270486342427
2556,31,2369.239523809524,45978.840000000004,49428.999999999985,1.6310554127935877,31.653209860093273,34.028403286697746
2557,419,5463.554761904764,48692.79999999998,49428.99999999997,50.8378735340461,453.0820164334886,459.932289584721
2558,1001,7426.560317460319,48914.244444444426,49428.99999999998,165.0896486293089,1087.3452962222711,1098.7881190317562
2559,376,7426.560317460319,48914.244444444426,49428.99999999998,62.01169618843171,408.43339798159235,412.73160115478555
2560,1,4619.302380952381,48316.304166666654,49428.99999999997,0.10258277550416126,1.0729803279295282,1.0976904286031528
2561,0,4192.0952380952385,46906.966666666645,49428.99999999996,0.0,0.0,0.0
2562,60,7426.560317460319,48914.244444444426,49428.99999999998,9.895483434324209,65.17554223110517,65.86142571618917
2563,68,4619.302380952381,48316.304166666654,49428.99999999997,6.9756287342829655,72.96266229920792,74.6429491450144
2564,0,5325,34870,49336,0.0,0.0,0.0
2565,406,5643.464285714286,49161.46666666663,49428.999999999956,50.88266711081502,443.2501769190907,445.66231401287996
2566,8,6244.880952380953,49214.1333333333,49428.99999999996,1.109461417256221,8.743350359019907,8.78152342882522
2567,214,4192.0952380952385,46906.966666666645,49428.99999999996,19.92246015883591,222.92007254422967,234.90575172107464
2568,346,6607.0404761904765,49272.999999999956,49428.999999999956,50.76695546884088,378.60222074172736,379.80088829669074
2569,270,4472.80753968254,49025.07777777774,49428.99999999996,26.81896592747692,293.95449700199845,296.3764157228512
2570,0,5325,34870,49336,0.0,0.0,0.0
2571,29,3705.6785714285706,49134.999999999985,49428.999999999985,2.386512959614225,31.64368198978458,31.833022429491443
2572,0,931.0952380952381,41529.46666666665,49428.999999999985,0.0,0.0,0.0
2573,0,5325,34870,49336,0.0,0.0,0.0
2574,181,5463.554761904764,48692.79999999998,49428.99999999997,21.960990715184593,195.72278036864304,198.68196757717064
2575,45,6648.333333333334,48165.71666666663,49428.999999999956,6.643904063957362,48.133627581612224,49.39606928714186
2576,83,7315.249999999999,48386.84166666662,49428.99999999995,13.483583166777702,89.1873830409356,91.10830557406165
2577,226,17793.34166666666,48934.74999999992,49428.99999999992,89.3025808720112,245.59745725072133,248.07803686431225
2578,0,15298.824999999999,48978.39999999996,49428.999999999956,0.0,0.0,0.0
2579,0,14378.483333333328,48542.19999999994,49428.99999999994,0.0,0.0,0.0
2580,0,17793.34166666666,48934.74999999992,49428.99999999992,0.0,0.0,0.0
2581,0,14986.77976190476,49005.387499999924,49428.99999999993,0.0,0.0,0.0
2582,0,11298.884523809524,49021.841666666616,49428.99999999995,0.0,0.0,0.0
2583,0,9556.60238095238,49042.04999999996,49428.999999999956,0.0,0.0,0.0
2584,54,10120.150000000001,47898.76666666663,49428.99999999996,12.136089273817458,57.440226515656185,59.275283144570245
2585,0,16775.233333333334,49283.249999999956,49428.999999999956,0.0,0.0,0.0
2586,314,13772.449999999999,49272.999999999935,49428.999999999935,96.0370708416611,343.586986453475,344.67479458138973
2587,0,11298.884523809524,49021.841666666616,49428.99999999995,0.0,0.0,0.0
2588,0,9556.60238095238,49042.04999999996,49428.999999999956,0.0,0.0,0.0
2589,139,5424.880952380952,45407.54999999996,49428.999999999956,16.74569070355213,140.16543304463679,152.5789695758382
2590,26,5424.880952380952,45407.54999999996,49428.999999999956,3.1322874697291754,26.21799467021983,28.539951143681964
2591,102,12402.609523809524,49279.83333333329,49428.99999999996,28.09385235239999,111.62653786364636,111.96442371752157
2592,174,16775.233333333334,49283.249999999956,49428.999999999956,64.82102154119477,190.43494337108578,190.99813457694853
2593,356,17726.416666666664,49283.249999999985,49428.999999999985,140.14222370271668,389.6255163224516,390.7777925827225
2594,11,17726.416666666664,49283.249999999985,49428.999999999985,4.330237249241246,12.03899067288474,12.074594714634685
2595,31,9596.983333333334,49063.41666666666,49428.999999999985,6.6068506181064475,33.776724776075206,34.028403286697746
2596,66,7963.85,47335.70833333333,49429.0,11.67253164556962,69.37945258716411,72.44756828780812
2597,0,8517.933333333332,49429.00000000001,49429.00000000001,0.0,0.0,0.0
2598,98,6604.6809523809525,49256.49999999998,49428.99999999998,14.373944777555703,107.19824561403505,107.57366200310899
2599,104,10972.775000000001,49395.83333333336,49429.00000000003,25.34240728403287,114.08320379006594,114.15980457472803
2600,44,9596.983333333334,49063.41666666666,49428.999999999985,9.37746539344141,47.94115774668739,48.29837885853874
2601,0,7963.85,47335.70833333333,49429.0,0.0,0.0,0.0
2602,0,8517.933333333332,49429.00000000001,49429.00000000001,0.0,0.0,0.0
2603,0,4501.875000000001,43795.833333333365,49429.00000000003,0.0,0.0,0.0
2604,192,11106.758333333335,49429.000000000044,49429.000000000044,47.35726404619144,210.75656229180566,210.75656229180566
2605,18,11106.758333333335,49429.000000000044,49429.000000000044,4.439743504330447,19.75842771485678,19.75842771485678
2606,142,7742.205555555556,46668.52777777783,49429.00000000006,24.41468329755472,147.16702075159787,155.87204086164797
2607,177,6348.458333333333,43056.416666666715,49429.000000000044,24.953966799911168,169.24241061514564,194.29120586275832
2608,52,4501.875000000001,43795.833333333365,49429.00000000003,5.198700866089275,50.57480198386265,57.079902287364014
2609,7,9466.166666666668,49429.00000000005,49429.00000000005,1.4715337922866238,7.683833000222082,7.683833000222082
2610,1,4729.416666666666,43395.75476190482,49429.00000000006,0.105028129395218,0.9637076340640645,1.0976904286031548
2611,195,7073.433333333334,44638.6690476191,49429.00000000006,30.63112369531424,193.30536229815067,214.0496335776152
2612,259,7150.516666666667,44171.8333333334,49429.000000000065,41.127777407654165,254.0640646976094,284.30182100821713
2613,204,5325,34870,49336,24.12391738840773,157.9720186542305,223.50752831445703
2614,0,14378.483333333328,48542.19999999994,49428.99999999994,0.0,0.0,0.0
2615,0,10948.908333333335,47396.18333333329,49428.999999999956,0.0,0.0,0.0
2616,0,10981.291666666668,46505.16666666663,49428.999999999956,0.0,0.0,0.0
2617,0,13707.208333333332,47714.88333333333,49429.0,0.0,0.0,0.0
2618,0,15679.499999999998,48074.56666666666,49428.99999999998,0.0,0.0,0.0
2619,0,9570.308333333332,45297.03333333333,49428.999999999985,0.0,0.0,0.0
2620,0,14243.355555555558,48291.07777777778,49429.0,0.0,0.0,0.0
2621,0,13707.208333333332,47714.88333333333,49429.0,0.0,0.0,0.0
2622,0,13707.208333333332,47714.88333333333,49429.0,0.0,0.0,0.0
2623,0,17740.283333333326,48855.16666666665,49428.99999999998,0.0,0.0,0.0
2624,0,14378.483333333328,48542.19999999994,49428.99999999994,0.0,0.0,0.0
2625,0,15008.133333333337,48055.24166666666,49429.0,0.0,0.0,0.0
