rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num,income (USD),agent_transit_15min_acc
0,331,381,18040,C,0,119.45780958501742,0.6996290397489455,119.45780958501742,0.6996290397489455,0,0,0,0,0,0,0,0,0.2139287897776179,0,0.0,0.0,"[0.8992101521054163, 0.10078984789458355]",0.3372921757633148,40210,43503.20952
1,203,517,18058,C,0,155.2494857701912,0.9115896544501931,155.2494857701912,0.9115896544501931,0,0,0,0,0,0,0,0,0.27874096195364606,0,2.6302586480873336,0.00706846318275241,"[0.9866802893495703, 0.013319710650429627]",0.08020082566372733,48255,33166.93631
2,542,330,18069,T,0,380.59152508376997,0.8184020487514206,0,0,200.59152508376997,0.8184020487514208,0,0,0,0,180.0,0,2.6200171983592617,623.2403175618515,0.012254849118220834,0.00795701417760055,"[0.7456656186696504, 0.2543343813303497]",0.1484440615771796,96729,23566.67262
3,531,402,18114,T,0,484.61429644399726,0.37670876561288513,0,0,0,0,0,0,484.61429644399726,0.3767087656128852,0,0,0,0,0.0,0.0,"[0.13058789330843104, 0.8694121066915689]",0.589489104748148,4330,43896.99286
4,534,280,18126,C,0,129.28362564834077,0.71824295933837,129.28362564834077,0.71824295933837,0,0,0,0,0,0,0,0,0.2196204535945063,0,0.0,0.0,"[0.969127628222108, 0.030872371777892]",0.3188243925996177,40455,47328.50952
5,181,445,18174,C,0,107.20731321065975,0.6844870912726467,107.20731321065975,0.6844870912726467,0,0,0,0,0,0,0,0,0.20929876653905707,0,0.4933182788005319,0.025859519648268284,"[0.93120226176564, 0.06879773823435989]",0.7687220113914328,96337,39942.38571
6,522,368,18225,C,0,76.86621192623427,0.4494381385798149,76.86621192623427,0.4494381385798149,0,0,0,0,0,0,0,0,0.13742676704898746,0,0.0,0.0,"[0.8733405056938319, 0.12665949430616802]",0.2761300066983414,40951,34986.62381
7,537,350,18497,C,0,41.14879081914757,0.4387347433968485,41.14879081914757,0.4387347433968485,0,0,0,0,0,0,0,0,0.134153940668274,0,0.0,0.0,"[0.9928697283673513, 0.007130271632648704]",0.6421527098141075,19927,39480.64167
8,342,192,18516,C,0,175.4706448537601,1.8442897966794969,175.4706448537601,1.8442897966794969,0,0,0,0,0,0,0,0,0.5639369748637545,0,0.0,0.0,"[0.6027130608486158, 0.39728693915138436]",0.6377088521786488,291770,38545.62738
9,588,579,18628,T,1,309.8733088657919,0.515370699946628,0,0,129.8733088657919,0.5153706999466281,0,0,0,0,180.0,0,2.0201702191700908,325.25900491285324,1.2460886128278865,0.19784321029479593,"[0.8124639505357495, 0.18753604946425048]",0.08046610629654505,156860,28689.3381
10,199,299,18751,T,0,407.8705944669899,0.31705302402115426,0,0,0,0,0,0,407.8705944669899,0.3170530240211543,0,0,0,0,0.0,0.0,"[0.46669756545594987, 0.5333024345440501]",0.43399231529715554,132630,34544.7631
