MGRA,population,emp_5min,emp_10min,emp_15min,weighted_5min,weighted_10min,weighted_15min
2353,102,1105.6517857142858,1864.6047619047617,39254.55,2.5044743980203674,4.223621712509121,88.9177015323118
2358,168,711.9017857142858,4379.9517857142855,42852.29166666666,2.6559960026648906,16.340926049300467,159.87530535198752
2367,15,740.5,6992.104761904763,42887.6,0.2466688874083944,2.329148821420641,14.286342438374417
2368,80,30.6875,988.7690476190478,22481.408333333333,0.05451920941594492,1.7566405465139645,39.94032126730328
2369,197,5325,34870,49336,23.296135909393737,152.55141017099712,215.83815234288252
2370,146,111.32000000000001,4458.551666666666,42274.59333333334,0.3609309349322674,14.455885927899917,137.06619202013474
2371,143,5325,34870,49336,16.91039307128581,110.73528758605373,156.67439484787917
2373,174,337.05555555555554,5218.032936507935,43973.18888888889,1.3024132060108076,20.162952053128596,169.91638611296176
2375,132,596.7866666666666,2768.003333333333,39304.67999999999,1.7494079502553852,8.114067066400176,115.21691672218519
2378,139,454.41111111111104,2466.9138888888883,34010.72222222221,1.4026903052286128,7.614946270387641,104.98535174081472
2381,153,554.4333333333333,2707.866666666666,40743.883333333346,1.8838174550299798,9.200612924716852,138.43691205862763
2382,56,990.8,5368.520833333333,42829.56666666668,1.2321741061514546,6.67637500925309,53.26350729143536
2386,44,1664.633333333333,3799.8833333333328,43190.46666666669,1.6265571100747647,3.7129661707010135,42.202543489525524
2420,553,571.2166666666667,2276.8999999999996,39774.558333333334,7.014941520467836,27.9619298245614,488.45948830409355
2461,520,676.6777777777778,5005.0,42268.03888888889,7.814178202186198,57.797024206084835,488.1052680928764
2462,71,637.8000000000001,4747.061309523811,41175.341666666674,1.0056362425049967,7.484817965271833,64.92225756902806
2463,5,739.6333333333333,14801.360714285713,47179.133333333346,0.08212673032792953,1.6434999682751181,5.238633503590201
2464,0,719.1666666666666,3774.2999999999993,36043.83571428571,0.0,0.0,0.0
2465,26,719.1666666666666,3774.2999999999993,36043.83571428571,0.415241690724702,2.17925383077948,20.811452999587576
2466,1088,619.5,4865.25,32157.466666666656,14.968154563624251,117.55256495669553,776.9780975645863
2467,7,1064.6777777777777,4274.699999999998,31767.123809523793,0.1655062057393836,0.6645103264490336,4.938260418979937
2468,331,5325,34870,49336,39.14223850766156,256.31734399289365,362.6519209415945
2469,328,884.6444444444445,3472.1111111111095,28352.940476190463,6.4437792089224475,25.290971451131334,206.52375030403002
2470,0,1074.9333333333334,4585.033333333333,29046.242857142868,0.0,0.0,0.0
2471,4,1733.3333333333333,4592.133333333333,43108.06666666669,0.15397142645643644,0.4079176845066252,3.829275297949517
2472,0,1676.6166666666666,4832.299999999999,38225.51666666667,0.0,0.0,0.0
2473,0,1578.2999999999995,3652.7166666666662,40676.40000000002,0.0,0.0,0.0
2474,0,1676.6166666666666,4832.299999999999,38225.51666666667,0.0,0.0,0.0
2475,103,1786.0,2814.5,39385.049999999996,4.085232067510548,6.437785920497445,90.08794470353097
2476,196,954.8333333333334,5293.605555555555,43025.011111111126,4.15605892368051,23.041232264909812,187.2729775211588
2484,504,2301.8333333333335,13696.391666666672,44523.06666666666,25.76335776149234,153.29738840772825,498.32612924716847
2485,457,1959.4333333333334,12912.59166666667,44230.95000000002,19.885876822858837,131.0471772522023,448.89060959360444
2486,241,1959.4333333333334,12912.59166666667,44230.95000000002,10.48686283218595,69.10803001702571,236.7234943371087
2487,707,960.6666666666667,20665.498809523804,47512.366666666654,15.083085350507071,324.4616402028277,745.9747553482862
2488,684,676.6777777777778,5005.0,42268.03888888889,10.278649789029537,76.0253164556962,642.0461603375528
2489,238,2392.4666666666667,17162.453571428574,45517.51785714285,12.645060330150269,90.70983677548301,240.5767099711303
2490,142,5325,34870,49336,16.79213857428381,109.96091494559182,155.57876970908285
2491,385,1957.4333333333332,9213.366666666667,43591.883333333324,16.73577244799763,78.77295506699238,372.70431008956984
2492,291,1349.9777777777776,9962.109523809524,42830.26190476192,8.724040269449995,64.37872243900892,276.7845039814728
2493,400,1263.5499999999997,7359.500000000001,39158.80000000002,11.224072840328667,65.37419498112371,347.84632467244074
2494,155,1543.9,6530.5166666666655,34901.363095238106,5.314334887852543,22.479015841290988,120.1357157397714
2495,1101,1902.7916666666667,13198.975992063497,44655.348015873016,46.52395347546081,322.71979940621605,1091.8396217072216
2496,0,1902.7916666666667,13198.975992063497,44655.348015873016,0.0,0.0,0.0
2497,2,1729.1833333333332,9087.566666666666,43159.93333333333,0.07680139166481605,0.4036227700051817,1.9169412983936633
