MGRA,population,emp_5min,emp_10min,emp_15min,weighted_5min,weighted_10min,weighted_15min
2353,102,1105.6517857142858,1864.6047619047617,31914.45833333332,2.5044743980203674,4.223621712509121,72.29124472573837
2358,168,711.9017857142858,4379.9517857142855,41341.412500000006,2.6559960026648906,16.340926049300467,154.23844770153232
2367,15,740.5,6992.104761904763,42096.8,0.2466688874083944,2.329148821420641,14.022918054630248
2368,80,30.6875,988.7690476190478,12178.446428571424,0.05451920941594492,1.7566405465139645,21.636147330351186
2369,197,5325,34870,49336,23.296135909393737,152.55141017099712,215.83815234288252
2370,146,111.32000000000001,4458.551666666666,40840.68000000001,0.3609309349322674,14.455885927899917,132.41703930712862
2371,143,5325,34870,49336,16.91039307128581,110.73528758605373,156.67439484787917
2373,174,337.05555555555554,5218.032936507935,41260.33333333334,1.3024132060108076,20.162952053128596,159.43366644459255
2375,132,596.7866666666666,2768.003333333333,32301.495238095224,1.7494079502553852,8.114067066400176,94.68792741347035
2378,139,454.41111111111104,2466.9138888888883,27238.25714285713,1.4026903052286128,7.614946270387641,84.0798965768852
2381,153,554.4333333333333,2707.866666666666,38372.96666666669,1.8838174550299798,9.200612924716852,130.38116588940713
2382,56,990.8,5368.520833333333,41800.11666666668,1.2321741061514546,6.67637500925309,51.983267451328764
2386,44,1664.633333333333,3799.8833333333328,42295.900000000016,1.6265571100747647,3.7129661707010135,41.32843881856542
2420,553,571.2166666666667,2276.8999999999996,37595.88333333333,7.014941520467836,27.9619298245614,461.7038304093567
2461,520,676.6777777777778,5005.0,41447.00555555555,7.814178202186198,57.797024206084835,478.6240925802551
2462,71,637.8000000000001,4747.061309523811,39672.14166666668,1.0056362425049967,7.484817965271833,62.55212210378268
2463,5,739.6333333333333,14801.360714285713,45564.33333333334,0.08212673032792953,1.6434999682751181,5.05933081649271
2464,0,719.1666666666666,3774.2999999999993,34116.485714285714,0.0,0.0,0.0
2465,26,719.1666666666666,3774.2999999999993,34116.485714285714,0.415241690724702,2.17925383077948,19.698614891659528
2466,1088,619.5,4865.25,29508.338095238087,14.968154563624251,117.55256495669553,712.9707272400408
2467,7,1064.6777777777777,4274.699999999998,30816.401587301585,0.1655062057393836,0.6645103264490336,4.790468823253633
2468,331,5325,34870,49336,39.14223850766156,256.31734399289365,362.6519209415945
2469,328,884.6444444444445,3472.1111111111095,25087.580952380944,6.4437792089224475,25.290971451131334,182.73876421010326
2470,0,1074.9333333333334,4585.033333333333,28404.6,0.0,0.0,0.0
2471,4,1733.3333333333333,4592.133333333333,42912.83333333335,0.15397142645643644,0.4079176845066252,3.8119327855503755
