from_node,to_node,distance (meters),travel_time,link_type,route,rdrs_AM,rdrs_MD,rdrs_PM,rdrs_EV,tt_rdrs
782,734,283.9992063,21.17632368,1,2,43.0,144.0,121.0,21.0,329.0
734,782,283.9992063,21.17632368,1,2,161.0,329.0,248.0,13.0,751.0
734,736,152.9995724,11.40837156,1,992,83.0,272.0,194.0,18.0,567.0
736,734,152.9995724,11.40837156,1,992,171.0,310.0,258.0,11.0,750.0
736,816,165.9995361,12.37771032,1,992,77.0,292.0,214.0,20.0,603.0
816,736,165.9995361,12.37771032,1,992,171.0,317.0,247.0,12.0,747.0
816,739,151.9995752,11.33380704,1,2,32.0,104.0,80.0,2.0,218.0
739,816,151.9995752,11.33380704,1,2,60.0,136.0,135.0,9.0,340.0
739,750,230.9993544,17.22440412,1,2,50.0,159.0,123.0,3.0,335.0
750,739,230.9993544,17.22440412,1,2,55.0,154.0,122.0,12.0,343.0
750,744,238.999332,17.82092028,1,2,35.0,123.0,82.0,3.0,243.0
744,750,238.999332,17.82092028,1,2,35.0,102.0,80.0,10.0,227.0
762,864,224.9993712,16.777017,1,2,27.0,113.0,53.0,2.0,195.0
864,762,224.9993712,16.777017,1,2,31.0,52.0,34.0,2.0,119.0
864,812,189.999469,14.1672588,1,992,40.0,103.0,41.0,1.0,185.0
812,864,189.999469,14.1672588,1,992,20.0,78.0,40.0,1.0,139.0
812,813,158.9995556,11.85575868,1,992,135.0,201.0,174.0,15.0,525.0
813,812,158.9995556,11.85575868,1,992,95.0,251.0,206.0,19.0,571.0
813,756,210.9994103,15.73311372,1,2,1.0,7.0,5.0,1.0,14.0
756,813,210.9994103,15.73311372,1,2,0.0,0.0,5.0,0.0,5.0
756,755,130.9996339,9.76795212,1,2,0.0,1.0,0.0,0.0,1.0
755,756,130.9996339,9.76795212,1,2,1.0,0.0,0.0,0.0,1.0
769,768,108.9996954,8.12753268,1,3,1.0,3.0,5.0,3.0,12.0
768,769,108.9996954,8.12753268,1,3,5.0,35.0,7.0,1.0,48.0
768,763,178.9994997,13.34704908,1,3,6.0,7.0,17.0,4.0,34.0
763,768,178.9994997,13.34704908,1,3,11.0,52.0,15.0,3.0,81.0
763,766,176.9995053,13.19792004,1,3,28.0,79.0,35.0,4.0,146.0
766,763,176.9995053,13.19792004,1,3,23.0,104.0,54.0,6.0,187.0
766,761,110.9996898,8.27666172,1,3,28.0,79.0,35.0,6.0,148.0
761,766,110.9996898,8.27666172,1,3,31.0,117.0,66.0,8.0,222.0
761,760,62.99982392,4.69756476,1,3,86.0,236.0,151.0,13.0,486.0
760,761,62.99982392,4.69756476,1,3,108.0,190.0,160.0,15.0,473.0
760,759,108.9996954,8.12753268,1,3,85.0,235.0,148.0,13.0,481.0
759,760,108.9996954,8.12753268,1,3,108.0,190.0,157.0,15.0,470.0
759,758,113.9996814,8.50035528,1,3,78.0,192.0,98.0,13.0,381.0
758,759,113.9996814,8.50035528,1,3,74.0,170.0,138.0,17.0,399.0
758,796,150.999578,11.25924252,1,3,67.0,179.0,91.0,14.0,351.0
796,758,150.999578,11.25924252,1,3,75.0,189.0,143.0,20.0,427.0
796,797,198.9994438,14.83833948,1,3,62.0,169.0,85.0,12.0,328.0
797,796,198.9994438,14.83833948,1,3,53.0,152.0,121.0,19.0,345.0
797,799,63.99982113,4.77212928,1,3,62.0,152.0,79.0,14.0,307.0
799,797,63.99982113,4.77212928,1,3,55.0,132.0,103.0,16.0,306.0
799,804,100.9997177,7.53101652,1,3,17.0,81.0,25.0,4.0,127.0
804,799,100.9997177,7.53101652,1,3,8.0,37.0,23.0,2.0,70.0
804,805,222.9993767,16.62788796,1,3,14.0,53.0,17.0,4.0,88.0
805,804,222.9993767,16.62788796,1,3,3.0,3.0,5.0,1.0,12.0
805,798,183.9994857,13.71987168,1,3,0.0,0.0,2.0,0.0,2.0
798,805,183.9994857,13.71987168,1,3,0.0,1.0,0.0,0.0,1.0
774,784,100.9997177,7.53101652,1,3,24.0,48.0,35.0,5.0,112.0
784,774,100.9997177,7.53101652,1,3,27.0,68.0,31.0,5.0,131.0
784,786,150.999578,11.25924252,1,3,48.0,111.0,87.0,6.0,252.0
786,784,150.999578,11.25924252,1,3,59.0,121.0,49.0,6.0,235.0
786,787,157.9995584,11.78119416,1,3,66.0,163.0,140.0,11.0,380.0
787,786,157.9995584,11.78119416,1,3,78.0,168.0,69.0,11.0,326.0
787,785,336.9990581,25.12824324,1,3,57.0,134.0,120.0,10.0,321.0
785,787,336.9990581,25.12824324,1,3,85.0,184.0,82.0,11.0,362.0
785,747,191.9994634,14.31638784,1,3,131.0,227.0,176.0,13.0,547.0
747,785,191.9994634,14.31638784,1,3,102.0,278.0,144.0,10.0,534.0
747,737,173.9995137,12.97422648,1,3,136.0,236.0,180.0,16.0,568.0
737,747,173.9995137,12.97422648,1,3,129.0,350.0,191.0,16.0,686.0
737,738,104.9997065,7.8292746,1,3,136.0,236.0,178.0,15.0,565.0
738,737,104.9997065,7.8292746,1,3,129.0,350.0,191.0,15.0,685.0
738,749,145.999592,10.88641992,1,3,41.0,178.0,114.0,15.0,348.0
749,738,145.999592,10.88641992,1,3,57.0,126.0,54.0,5.0,242.0
749,741,109.9996926,8.2020972,1,3,38.0,136.0,93.0,7.0,274.0
741,749,109.9996926,8.2020972,1,3,50.0,127.0,53.0,3.0,233.0
741,743,159.9995528,11.9303232,1,3,12.0,33.0,15.0,3.0,63.0
743,741,159.9995528,11.9303232,1,3,7.0,7.0,15.0,1.0,30.0
822,740,259.9992733,19.3867752,1,4,4.0,5.0,13.0,1.0,23.0
740,822,259.9992733,19.3867752,1,4,14.0,13.0,8.0,0.0,35.0
740,751,194.999455,14.5400814,1,4,31.0,63.0,41.0,2.0,137.0
751,740,194.999455,14.5400814,1,4,37.0,60.0,36.0,3.0,136.0
765,767,188.9994718,14.09269428,1,4,0.0,0.0,0.0,0.0,0.0
767,765,188.9994718,14.09269428,1,4,0.0,1.0,0.0,0.0,1.0
767,822,188.9994718,14.09269428,1,4,0.0,0.0,0.0,0.0,0.0
822,767,188.9994718,14.09269428,1,4,0.0,1.0,0.0,0.0,1.0
776,788,171.9995193,12.82509744,1,5,64.0,199.0,165.0,6.0,434.0
788,776,171.9995193,12.82509744,1,5,104.0,141.0,85.0,15.0,345.0
788,738,226.9993656,16.92614604,1,5,157.0,532.0,307.0,34.0,1030.0
738,788,226.9993656,16.92614604,1,5,184.0,324.0,198.0,16.0,722.0
761,806,203.9994298,15.21116208,1,5,117.0,183.0,156.0,14.0,470.0
806,761,203.9994298,15.21116208,1,5,93.0,253.0,190.0,11.0,547.0
806,807,161.9995472,12.07945224,1,12,163.0,280.0,222.0,12.0,677.0
