from_node,to_node,distance (meters),travel_time,link_type,route,rdrs_AM,rdrs_MD,rdrs_PM,rdrs_EV,tt_rdrs
1103,1105,317.9991112,23.71151736,1,4,0.0,0.0,1.0,0.0,1.0
1105,1103,317.9991112,23.71151736,1,4,0.0,1.0,4.0,0.0,5.0
1105,1107,72.99979598,5.44320996,1,4,5.0,3.0,8.0,0.0,16.0
1107,1105,72.99979598,5.44320996,1,4,3.0,5.0,6.0,1.0,15.0
1107,1149,129.9996367,9.6933876,1,4,6.0,3.0,10.0,0.0,19.0
1149,1107,129.9996367,9.6933876,1,4,3.0,5.0,7.0,1.0,16.0
1149,1109,110.9996898,8.27666172,1,4,7.0,3.0,10.0,0.0,20.0
1109,1149,110.9996898,8.27666172,1,4,3.0,6.0,7.0,1.0,17.0
1109,1099,197.9994466,14.76377496,1,4,8.0,3.0,11.0,0.0,22.0
1099,1109,197.9994466,14.76377496,1,4,4.0,9.0,8.0,1.0,22.0
1099,1150,165.9995361,12.37771032,1,4,10.0,3.0,10.0,0.0,23.0
1150,1099,165.9995361,12.37771032,1,4,3.0,9.0,4.0,1.0,17.0
1150,1101,208.9994159,15.58398468,1,4,8.0,3.0,10.0,0.0,21.0
1101,1150,208.9994159,15.58398468,1,4,3.0,9.0,4.0,1.0,17.0
1120,1153,200.9994382,14.98746852,1,4,1.0,3.0,12.0,5.0,21.0
1153,1120,200.9994382,14.98746852,1,4,7.0,7.0,4.0,4.0,22.0
1153,1117,238.999332,17.82092028,1,4,1.0,3.0,12.0,5.0,21.0
1117,1153,238.999332,17.82092028,1,4,7.0,8.0,4.0,4.0,23.0
1117,1170,154.9995668,11.5575006,1,4,2.0,4.0,12.0,5.0,23.0
1170,1117,154.9995668,11.5575006,1,4,6.0,8.0,3.0,0.0,17.0
1170,1116,171.9995193,12.82509744,1,4,2.0,6.0,12.0,5.0,25.0
1116,1170,171.9995193,12.82509744,1,4,6.0,8.0,3.0,0.0,17.0
1116,1154,207.9994187,15.50942016,1,4,2.0,6.0,10.0,5.0,23.0
1154,1116,207.9994187,15.50942016,1,4,6.0,6.0,3.0,0.0,15.0
