from_node,to_node,distance (meters),travel_time,link_type,route,rdrs_AM,rdrs_MD,rdrs_PM,rdrs_EV,tt_rdrs
1103,1105,317.9991112,23.71151736,1,4,1.0,0.0,0.0,0.0,1.0
1105,1103,317.9991112,23.71151736,1,4,1.0,0.0,0.0,0.0,1.0
1105,1107,72.99979598,5.44320996,1,4,2.0,0.0,1.0,0.0,3.0
1107,1105,72.99979598,5.44320996,1,4,3.0,1.0,4.0,0.0,8.0
1107,1149,129.9996367,9.6933876,1,4,2.0,0.0,1.0,0.0,3.0
1149,1107,129.9996367,9.6933876,1,4,3.0,1.0,4.0,0.0,8.0
1149,1109,110.9996898,8.27666172,1,4,3.0,0.0,1.0,0.0,4.0
1109,1149,110.9996898,8.27666172,1,4,4.0,4.0,4.0,0.0,12.0
1109,1099,197.9994466,14.76377496,1,4,2.0,0.0,2.0,0.0,4.0
1099,1109,197.9994466,14.76377496,1,4,4.0,6.0,5.0,0.0,15.0
1099,1150,165.9995361,12.37771032,1,4,2.0,0.0,2.0,0.0,4.0
1150,1099,165.9995361,12.37771032,1,4,3.0,6.0,6.0,0.0,15.0
1150,1101,208.9994159,15.58398468,1,4,2.0,0.0,2.0,0.0,4.0
1101,1150,208.9994159,15.58398468,1,4,3.0,6.0,6.0,0.0,15.0
1120,1153,200.9994382,14.98746852,1,4,1.0,1.0,6.0,1.0,9.0
1153,1120,200.9994382,14.98746852,1,4,5.0,3.0,0.0,1.0,9.0
1153,1117,238.999332,17.82092028,1,4,1.0,1.0,5.0,1.0,8.0
1117,1153,238.999332,17.82092028,1,4,3.0,2.0,0.0,0.0,5.0
1117,1170,154.9995668,11.5575006,1,4,1.0,1.0,5.0,1.0,8.0
1170,1117,154.9995668,11.5575006,1,4,2.0,2.0,0.0,1.0,5.0
1170,1116,171.9995193,12.82509744,1,4,1.0,1.0,5.0,1.0,8.0
1116,1170,171.9995193,12.82509744,1,4,2.0,2.0,0.0,1.0,5.0
1116,1154,207.9994187,15.50942016,1,4,1.0,1.0,5.0,1.0,8.0
1154,1116,207.9994187,15.50942016,1,4,1.0,2.0,0.0,1.0,4.0
1154,1152,162.9995444,12.15401676,1,4,1.0,0.0,4.0,0.0,5.0
1152,1154,162.9995444,12.15401676,1,4,1.0,2.0,0.0,1.0,4.0
1152,1111,274.9992314,20.505243,1,4,0.0,0.0,2.0,0.0,2.0
1111,1152,274.9992314,20.505243,1,4,1.0,0.0,0.0,0.0,1.0
1169,1161,111.999687,8.35122624,1,856,1.0,7.0,1.0,1.0,10.0
1161,1169,111.999687,8.35122624,1,856,1.0,0.0,1.0,0.0,2.0
1161,1158,105.9997037,7.90383912,1,856,1.0,8.0,1.0,1.0,11.0
1158,1161,105.9997037,7.90383912,1,856,1.0,0.0,2.0,0.0,3.0
1158,1119,256.9992817,19.16308164,1,856,1.0,8.0,5.0,1.0,15.0
1119,1158,256.9992817,19.16308164,1,856,2.0,1.0,4.0,0.0,7.0
1119,1118,221.9993795,16.55332344,1,856,18.0,31.0,33.0,1.0,83.0
1118,1119,221.9993795,16.55332344,1,856,18.0,26.0,40.0,0.0,84.0
1118,1157,193.9994578,14.46551688,1,856,18.0,29.0,34.0,1.0,82.0
1157,1118,193.9994578,14.46551688,1,856,24.0,24.0,38.0,1.0,87.0
1157,1106,231.9993516,17.29896864,1,856,15.0,27.0,24.0,2.0,68.0
1106,1157,231.9993516,17.29896864,1,856,19.0,21.0,35.0,1.0,76.0
1106,1115,270.9992426,20.20698492,1,856,11.0,25.0,25.0,2.0,63.0
1115,1106,270.9992426,20.20698492,1,856,19.0,21.0,29.0,1.0,70.0
1115,1151,101.9997149,7.60558104,1,856,10.0,12.0,6.0,0.0,28.0
1151,1115,101.9997149,7.60558104,1,856,5.0,10.0,10.0,1.0,26.0
1151,1142,339.9990497,25.3519368,1,856,10.0,12.0,6.0,0.0,28.0
1142,1151,339.9990497,25.3519368,1,856,5.0,10.0,9.0,1.0,25.0
1102,1160,193.9994578,14.46551688,1,856,0.0,0.0,0.0,1.0,1.0
1160,1102,193.9994578,14.46551688,1,856,0.0,0.0,3.0,1.0,4.0
1160,1104,208.9994159,15.58398468,1,856,8.0,10.0,14.0,2.0,34.0
1104,1160,208.9994159,15.58398468,1,856,7.0,21.0,14.0,6.0,48.0
1104,1108,238.999332,17.82092028,1,856,8.0,10.0,14.0,2.0,34.0
1108,1104,238.999332,17.82092028,1,856,7.0,21.0,15.0,6.0,49.0
