rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num,income (USD),agent_transit_15min_acc
0,742,539,18126,T,1,383.79673749974546,1.1868821525788176,0,0,203.79673749974546,1.1868821525788176,0,0,0,0,180.0,0,2.0999999046325684,979.3732735687365,4.01342760546311,0.2012251455357514,"[0.8355018750293165, 0.16449812497068347]",0.16151622471477423,46316,1020.0
1,431,310,18389,C,0,70.13612525556377,0.5262722593032871,70.13612525556377,0.5262722593032871,0,0,0,0,0,0,0,0,0.1609206895795589,0,2.18782031574567,0.10569442435392838,"[0.901577300472481, 0.09842269952751903]",0.32920913509828076,173364,752.5714285714283
2,585,229,18587,C,0,85.4027795592621,0.7567405326836282,85.4027795592621,0.7567405326836282,0,0,0,0,0,0,0,0,0.23139203368512332,0,4.137723077940279,0.010029846278608513,"[0.9810182804449582, 0.01898171955504176]",0.14730302363064418,23111,1441.5111111111116
3,458,522,18669,C,0,24.240648085077666,0.1346703786314305,24.240648085077666,0.1346703786314305,0,0,0,0,0,0,0,0,0.04117878115787421,0,0.13880439341052653,0.9273252224935313,"[0.6555459615319549, 0.3444540384680452]",0.7981012551350618,132377,981.3214285714288
4,570,813,18673,C,0,132.42005098460015,1.287418228189526,132.42005098460015,1.287418228189526,0,0,0,0,0,0,0,0,0.39365979375736093,0,4.764615022621635,0.07201180849882012,"[0.931756815350542, 0.06824318464945807]",0.1742315975963482,36781,1286.9523809523812
5,467,177,18889,C,0,229.80732525428226,1.66006795578491,229.80732525428226,1.66006795578491,0,0,0,0,0,0,0,0,0.5076066151529486,0,4.000837056213339,0.23653852116015273,"[0.8518297527513586, 0.14817024724864145]",0.3702620337539487,40155,295.7816578483245
6,644,130,18980,C,0,250.05272325052013,1.929404099235315,250.05272325052013,1.929404099235315,0,0,0,0,0,0,0,0,0.5899627666820387,0,4.6047755264532935,9.426420048150339,"[0.5941583777129851, 0.40584162228701487]",0.8829105155116489,168177,189.17142857142863
7,1021,113,19251,C,0,99.56272110697557,0.8268325896420644,99.56272110697557,0.8268325896420644,0,0,0,0,0,0,0,0,0.25282440436476633,0,0.0,0.0,"[0.9986340213054603, 0.0013659786945396882]",0.24912837125658838,13466,1020.0
8,658,627,19374,C,0,132.4405194958932,1.0804658278932802,132.4405194958932,1.0804658278932802,0,0,0,0,0,0,0,0,0.33037900633773665,0,4.196859017996161,0.0592999659738776,"[0.9404799456861439, 0.0595200543138561]",0.42456724014437275,37760,176.1369047619048
9,475,75,19509,C,0,182.1306501986916,1.370052153068866,182.1306501986916,1.370052153068866,0,0,0,0,0,0,0,0,0.41892714908377127,0,6.694444670866478,0.3433739306776856,"[0.813078360737476, 0.18692163926252406]",0.47155814032194343,134412,860.452380952381
10,927,724,19620,C,0,164.3785859825423,1.1858962397867896,164.3785859825423,1.1858962397867896,0,0,0,0,0,0,0,0,0.36261694836230973,0,6.1298844493656155,0.08673930101581614,"[0.8963907645068919, 0.1036092354931081]",0.5929305915464174,53984,176.1369047619048
11,820,251,20326,C,0,206.03209518950456,1.579386084136191,206.03209518950456,1.579386084136191,0,0,0,0,0,0,0,0,0.4829361481223101,0,7.162685498338417,0.14956800742854817,"[0.8803911237690722, 0.11960887623092767]",0.1819080104820543,78166,1020.0
12,267,74,21770,C,0,160.1931387823919,1.1750804173582878,160.1931387823919,1.1750804173582878,0,0,0,0,0,0,0,0,0.3593097445855635,0,6.292904825139704,0.27639454724438123,"[0.8218389075737376, 0.17816109242626244]",0.9826637668690068,47611,1124.0857142857144
13,583,838,22004,C,0,168.5602485804041,0.9364466007204251,168.5602485804041,0.9364466007204251,0,0,0,0,0,0,0,0,0.2863415847566477,0,1.8795364611997538,0.11879717494440965,"[0.882402367680701, 0.11759763231929897]",0.7824628877112513,63985,1020.0
14,472,745,22123,C,0,148.66043108986958,1.2548870109523287,148.66043108986958,1.2548870109523287,0,0,0,0,0,0,0,0,0.3837125738191439,0,8.008388697040662,0.095093290071381,"[0.8939759784976175, 0.10602402150238258]",0.42620480895112,55150,3554.505952380952
15,570,686,22375,C,0,143.59072721810188,0.8010588132360398,143.59072721810188,0.8010588132360398,0,0,0,0,0,0,0,0,0.2449434381937248,0,7.458595410435342,0.08418554298428851,"[0.9074923413045778, 0.09250765869542223]",0.23949555114062449,57838,2858.587842712843
16,134,708,22430,C,0,170.5024432363318,1.5870662237577067,170.5024432363318,1.5870662237577067,0,0,0,0,0,0,0,0,0.4852845397430232,0,3.8302638147756776,0.010654454074355732,"[0.9806652623447429, 0.01933473765525702]",0.06621654346819739,41595,994.592261904762
17,421,329,22479,C,0,104.21924935262183,0.6747031159117508,104.21924935262183,0.6747031159117508,0,0,0,0,0,0,0,0,0.2063070753866693,0,0.0,0.0,"[0.9665492397852814, 0.03345076021471867]",0.5366773672530369,30192,129.31829805996472
18,159,533,22918,C,0,244.29913898470053,1.8756455991710883,244.29913898470053,1.8756455991710883,0,0,0,0,0,0,0,0,0.5735247828283001,0,2.3722841479118926,0.21805890271185646,"[0.8465827627872544, 0.15341723721274556]",0.6539939498615048,61400,623.8750000000002
19,719,759,23075,T,1,393.9579709217559,0.39908096593834563,0,0,72.94556391511213,0.28946676311898406,0,0,141.01240700664374,0.10961420281936157,180.0,0,2.0999999046325684,109.1650444912932,0.9309203560902113,3.4995597161618446,"[0.7341148201697615, 0.2658851798302385]",0.17099715195569665,105250,240.0746753246753
20,478,1039,23309,C,0,242.27621277627622,1.7926832080123767,242.27621277627622,1.7926832080123767,0,0,0,0,0,0,0,0,0.5481569908567014,0,5.616948565860209,0.6193180130700602,"[0.7640077529393017, 0.2359922470606983]",0.9106092331557781,112517,98.97037037037036
21,173,79,23501,T,0,1654.266481451578,1.2859230295002453,0,0,0,0,0,0,1654.266481451578,1.285923029500245,0,0,0,0,0.0,0.0,"[0.8557193507424874, 0.14428064925751266]",0.11273391225879248,28766,1241.057142857143
22,214,236,23710,C,0,73.4012347560767,0.4077849751344095,73.4012347560767,0.4077849751344095,0,0,0,0,0,0,0,0,0.12469028765773399,0,0.9374218843043258,0.07424199918335254,"[0.8966955189393775, 0.1033044810606226]",0.48681241232398476,41558,1020.0
23,651,333,23944,C,0,150.2977407078296,0.8743742458188883,150.2977407078296,0.8743742458188883,0,0,0,0,0,0,0,0,0.26736143526557227,0,2.664814417658312,0.12604177545196038,"[0.8710094924059975, 0.1289905075940026]",0.7337918952428744,54465,253.00555555555556
24,1011,113,24021,C,0,105.0892251249365,0.9951786128090573,105.0892251249365,0.9951786128090573,0,0,0,0,0,0,0,0,0.30430034226024427,0,0.5891227512825434,0.028802591863308597,"[0.9204186001939244, 0.07958139980607547]",0.16795142577598,84731,1020.0
25,337,367,24102,C,0,6.881436286655325,0.05636714437548013,6.881436286655325,0.05636714437548013,0,0,0,0,0,0,0,0,0.017235641024554688,0,0.0,0.0,"[0.6686066748592147, 0.3313933251407853]",0.9322981069702378,111548,2985.561111111112
26,923,686,24109,C,0,114.42512187936462,1.1124673837154309,114.42512187936462,1.1124673837154309,0,0,0,0,0,0,0,0,0.3401642692686324,0,1.2389580903573458,0.2741917704845337,"[0.7912359194177045, 0.2087640805822954]",0.28885897870315014,107742,1020.0
27,12,329,24164,C,0,132.4406338439492,1.515898370854897,132.4406338439492,1.515898370854897,0,0,0,0,0,0,0,0,0.4635232179888077,0,6.740379187713229,0.06975590911609358,"[0.9175669289463337, 0.08243307105366626]",0.4137903881857251,45022,1567.5724867724869
28,343,498,24428,C,0,61.84031010455187,0.489649736423967,61.84031010455187,0.489649736423967,0,0,0,0,0,0,0,0,0.14972245229514394,0,2.724244248104408,0.3721025385027167,"[0.8137559253390826, 0.18624407466091739]",0.9493145312687986,80344,2332.380158730159
29,142,950,24491,C,0,205.02231690895323,1.6771553029357305,205.02231690895323,1.6771553029357305,0,0,0,0,0,0,0,0,0.5128314918930518,0,2.4951658797874376,0.6208049653462966,"[0.718341973817067, 0.28165802618293295]",0.8739642384469052,63384,3774.5595238095234
30,1021,161,25088,T,0,933.5702375786063,0.7256989618171651,0,0,0,0,0,0,933.5702375786063,0.7256989618171651,0,0,0,0,0.0,0.0,"[0.07759966499935925, 0.9224003350006408]",0.8527598790370532,954,1020.0
31,1021,270,25200,C,0,182.0140597944548,1.1505403729091301,182.0140597944548,1.1505403729091301,0,0,0,0,0,0,0,0,0.35180602231014013,0,3.735199059571383,0.005420610501661866,"[0.9853440819262518, 0.01465591807374829]",0.6451502160488267,19741,1020.0
32,642,214,25221,C,0,185.78525610171954,1.3189851800059877,185.78525610171954,1.3189851800059877,0,0,0,0,0,0,0,0,0.40331216582225893,0,3.719017178935041,1.0427168437037984,"[0.7450973353264289, 0.2549026646735712]",0.9273947881336564,120538,222.39771825396824
33,1056,1042,25384,C,0,92.124072788638,1.3280511597643836,92.124072788638,1.3280511597643836,0,0,0,0,0,0,0,0,0.40608431215649043,0,4.903645897032401,0.20509294077218373,"[0.8532412793218291, 0.14675872067817086]",0.6255181227773208,101898,1020.0
34,825,171,25450,C,0,295.65380009317664,2.3582521757806796,295.65380009317664,2.3582521757806796,0,0,0,0,0,0,0,0,0.721093615748467,0,6.6114252114145255,0.7727288176322704,"[0.6902818380641796, 0.30971816193582036]",0.6856470173001655,122906,1020.0
35,32,75,25580,C,0,22.600147935330497,0.1255564813653186,22.600147935330497,0.1255564813653186,0,0,0,0,0,0,0,0,0.03839198286688775,0,0.0,0.0,"[0.6423107616955611, 0.35768923830443883]",0.7192574923879541,54695,2297.899523809524
36,47,661,25647,C,0,233.22578309967858,1.5465766233280696,233.22578309967858,1.5465766233280696,0,0,0,0,0,0,0,0,0.4729038483674913,0,5.467888043746747,0.0005132717238082105,"[0.9979454440046573, 0.0020545559953427214]",0.7872230342562792,11702,3184.343253968255
37,246,839,25747,C,0,231.69796238758337,1.9823875559415445,231.69796238758337,1.9823875559415445,0,0,0,0,0,0,0,0,0.6061637619630035,0,9.317921643422485,11.81524439068196,"[0.5357177041661143, 0.46428229583388564]",0.517085766176253,311759,1020.0
