rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num
0,742,539,18126,C,0,146.8779082626436,1.15848196467969,146.8779082626436,1.15848196467969,0,0,0,0,0,0,0,0,0.35423435935714637,0,0,0,"[0.9937514606955713, 0.006248539304428736]",0.5546513887794456
1,431,310,18389,C,0,70.13612525556377,0.5262722593032871,70.13612525556377,0.5262722593032871,0,0,0,0,0,0,0,0,0.1609206895795589,0,0,0,"[0.9877905656232896, 0.01220943437671043]",0.3253454817430902
2,585,229,18587,C,0,85.4027795592621,0.7567405326836282,85.4027795592621,0.7567405326836282,0,0,0,0,0,0,0,0,0.23139203368512332,0,0,0,"[0.9977392291046387, 0.002260770895361188]",0.6601980127383736
3,458,522,18669,T,0,173.24574512126807,0.1346703786314305,0,0,0,0,0,0,173.24574512126807,0.1346703786314305,0,0,0,0,0,0,"[0.6812747321883382, 0.3187252678116618]",0.11809659084597113
4,570,813,18673,C,0,132.42005098460015,1.287418228189526,132.42005098460015,1.287418228189526,0,0,0,0,0,0,0,0,0.39365979375736093,0,0,0,"[0.9993883417410171, 0.0006116582589829704]",0.412471650339724
5,467,177,18889,C,0,229.80732525428226,1.66006795578491,229.80732525428226,1.66006795578491,0,0,0,0,0,0,0,0,0.5076066151529486,0,0,0,"[0.9942149824211646, 0.005785017578835396]",0.1900713857864189
6,644,130,18980,C,0,250.05272325052013,1.929404099235315,250.05272325052013,1.929404099235315,0,0,0,0,0,0,0,0,0.5899627666820387,0,0,0,"[0.9935738626150318, 0.006426137384968131]",0.038914060338747114
7,1021,113,19251,C,0,99.56272110697557,0.8268325896420644,99.56272110697557,0.8268325896420644,0,0,0,0,0,0,0,0,0.25282440436476633,0,0,0,"[0.9986340213054603, 0.0013659786945396882]",0.9812613475624861
8,658,627,19374,C,0,132.4405194958932,1.0804658278932802,132.4405194958932,1.0804658278932802,0,0,0,0,0,0,0,0,0.33037900633773665,0,0,0,"[0.9974127399005693, 0.0025872600994305958]",0.988750484098095
9,475,75,19509,C,0,182.1306501986916,1.370052153068866,182.1306501986916,1.370052153068866,0,0,0,0,0,0,0,0,0.41892714908377127,0,0,0,"[0.9995028847862484, 0.00049711521375156]",0.564550203316442
10,927,724,19620,C,0,164.3785859825423,1.1858962397867896,164.3785859825423,1.1858962397867896,0,0,0,0,0,0,0,0,0.36261694836230973,0,0,0,"[0.999463502889582, 0.000536497110418074]",0.0876987177809142
11,820,251,20326,C,0,206.03209518950456,1.579386084136191,206.03209518950456,1.579386084136191,0,0,0,0,0,0,0,0,0.4829361481223101,0,0,0,"[0.9997752420463668, 0.0002247579536331814]",0.9076810139941778
12,267,74,21770,C,0,160.1931387823919,1.1750804173582878,160.1931387823919,1.1750804173582878,0,0,0,0,0,0,0,0,0.3593097445855635,0,0,0,"[0.9991755617809827, 0.000824438219017403]",0.03504343599010995
13,583,838,22004,C,0,168.5602485804041,0.9364466007204251,168.5602485804041,0.9364466007204251,0,0,0,0,0,0,0,0,0.2863415847566477,0,0,0,"[0.9808892098350812, 0.01911079016491884]",0.5066810696392794
14,472,745,22123,C,0,148.66043108986958,1.2548870109523287,148.66043108986958,1.2548870109523287,0,0,0,0,0,0,0,0,0.3837125738191439,0,0,0,"[0.9999622754183398, 3.7724581660197926e-05]",0.21757862863255795
15,570,686,22375,C,0,143.59072721810188,0.8010588132360398,143.59072721810188,0.8010588132360398,0,0,0,0,0,0,0,0,0.2449434381937248,0,0,0,"[0.9997575173905875, 0.00024248260941252847]",0.258342472451093
16,134,708,22430,C,0,170.5024432363318,1.5870662237577067,170.5024432363318,1.5870662237577067,0,0,0,0,0,0,0,0,0.4852845397430232,0,0,0,"[0.9975271162639158, 0.0024728837360843267]",0.5109015185558848
17,421,329,22479,C,0,104.21924935262183,0.6747031159117508,104.21924935262183,0.6747031159117508,0,0,0,0,0,0,0,0,0.2063070753866693,0,0,0,"[0.9665492397852814, 0.03345076021471867]",0.43924075261624373
18,159,533,22918,C,0,244.29913898470053,1.8756455991710883,244.29913898470053,1.8756455991710883,0,0,0,0,0,0,0,0,0.5735247828283001,0,0,0,"[0.9705815185367842, 0.029418481463215858]",0.5606086615410335
19,719,759,23075,C,0,64.56488937063357,0.38734955365171553,64.56488937063357,0.38734955365171553,0,0,0,0,0,0,0,0,0.11844165482803184,0,0,0,"[0.8755760967584127, 0.1244239032415873]",0.8250148701584367
20,478,1039,23309,C,0,242.27621277627622,1.7926832080123767,242.27621277627622,1.7926832080123767,0,0,0,0,0,0,0,0,0.5481569908567014,0,0,0,"[0.9983148466524183, 0.0016851533475816193]",0.7290053958983318
21,173,79,23501,C,0,168.55994584484702,1.3023870351785247,168.55994584484702,1.3023870351785247,0,0,0,0,0,0,0,0,0.39823687472689917,0,0,0,"[0.8557193507424874, 0.14428064925751266]",0.7237468488955613
22,214,236,23710,C,0,73.4012347560767,0.4077849751344095,73.4012347560767,0.4077849751344095,0,0,0,0,0,0,0,0,0.12469028765773399,0,0,0,"[0.9569230154334344, 0.0430769845665657]",0.29665406011572093
23,651,333,23944,C,0,150.2977407078296,0.8743742458188883,150.2977407078296,0.8743742458188883,0,0,0,0,0,0,0,0,0.26736143526557227,0,0,0,"[0.9900817326620305, 0.009918267337969541]",0.7160386098212591
24,1011,113,24021,C,0,105.0892251249365,0.9951786128090573,105.0892251249365,0.9951786128090573,0,0,0,0,0,0,0,0,0.30430034226024427,0,0,0,"[0.9556848947810147, 0.04431510521898537]",0.34480068378070083
25,337,367,24102,T,0,72.51310961569561,0.05636714437548013,0,0,0,0,0,0,72.51310961569561,0.05636714437548013,0,0,0,0,0,0,"[0.6686066748592147, 0.3313933251407853]",0.2888564041504438
26,923,686,24109,T,0,1380.708297752625,1.0732760513555455,0,0,0,0,0,0,1380.708297752625,1.0732760513555453,0,0,0,0,0,0,"[0.9333429760412583, 0.06665702395874182]",0.046599986801483695
27,12,329,24164,C,0,132.4406338439492,1.515898370854897,132.4406338439492,1.515898370854897,0,0,0,0,0,0,0,0,0.4635232179888077,0,0,0,"[0.9996153254921459, 0.0003846745078539883]",0.3654598350069236
28,343,498,24428,C,0,61.84031010455187,0.489649736423967,61.84031010455187,0.489649736423967,0,0,0,0,0,0,0,0,0.14972245229514394,0,0,0,"[0.9851501606847632, 0.014849839315236854]",0.8227349902799171
29,142,950,24491,C,0,205.02231690895323,1.6771553029357305,205.02231690895323,1.6771553029357305,0,0,0,0,0,0,0,0,0.5128314918930518,0,0,0,"[0.9516450196022413, 0.04835498039775859]",0.39439086784123123
30,1021,161,25088,T,0,933.5702375786063,0.7256989618171651,0,0,0,0,0,0,933.5702375786063,0.7256989618171651,0,0,0,0,0,0,"[0.07759966499935925, 0.9224003350006408]",0.12596381068336748
31,1021,270,25200,C,0,182.0140597944548,1.1505403729091301,182.0140597944548,1.1505403729091301,0,0,0,0,0,0,0,0,0.35180602231014013,0,0,0,"[0.9996664535601191, 0.0003335464398808164]",0.87966146841368
32,642,214,25221,C,0,185.78525610171954,1.3189851800059877,185.78525610171954,1.3189851800059877,0,0,0,0,0,0,0,0,0.40331216582225893,0,0,0,"[0.9898338359233144, 0.010166164076685552]",0.26578114960451604
33,1056,1042,25384,C,0,92.124072788638,1.3280511597643836,92.124072788638,1.3280511597643836,0,0,0,0,0,0,0,0,0.40608431215649043,0,0,0,"[0.9972327387222368, 0.0027672612777630765]",0.8774615298710198
34,825,171,25450,C,0,295.65380009317664,2.3582521757806796,295.65380009317664,2.3582521757806796,0,0,0,0,0,0,0,0,0.721093615748467,0,0,0,"[0.9991166501667891, 0.0008833498332109198]",0.7116273862119372
35,32,75,25580,T,0,161.52123718662017,0.1255564813653186,0,0,0,0,0,0,161.52123718662017,0.1255564813653186,0,0,0,0,0,0,"[0.6423107616955611, 0.35768923830443883]",0.2716249321770432
36,47,661,25647,C,0,233.22578309967858,1.5465766233280696,233.22578309967858,1.5465766233280696,0,0,0,0,0,0,0,0,0.4729038483674913,0,0,0,"[0.9999811705705679, 1.8829429432235945e-05]",0.024225452573820028
37,246,839,25747,C,0,231.69796238758337,1.9823875559415445,231.69796238758337,1.9823875559415445,0,0,0,0,0,0,0,0,0.6061637619630035,0,0,0,"[0.9999192620005006, 8.073799949932822e-05]",0.8991147846153246
38,961,80,25783,C,0,181.83144633357284,1.4419171128354258,181.83144633357284,1.4419171128354258,0,0,0,0,0,0,0,0,0.44090162841040714,0,0,0,"[0.9950227172460484, 0.004977282753951507]",0.416889811669499
39,342,636,25938,C,0,184.49128567704335,1.3158956645660604,184.49128567704335,1.3158956645660604,0,0,0,0,0,0,0,0,0.40236747047442123,0,0,0,"[0.9993003452383192, 0.0006996547616808357]",0.6593172537851546
40,734,889,25988,C,0,121.96315350612305,0.7699321199031542,121.96315350612305,0.7699321199031542,0,0,0,0,0,0,0,0,0.23542568599053904,0,0,0,"[0.9909692164118171, 0.009030783588182859]",0.5929372736514239
41,142,486,26037,C,0,174.88881775255712,1.2013397745011318,174.88881775255712,1.2013397745011318,0,0,0,0,0,0,0,0,0.3673391890121737,0,0,0,"[0.9959743573077086, 0.004025642692291398]",0.5864936480778508
42,231,936,26189,T,0,1842.5317204667645,1.4322686208656483,0,0,0,0,0,0,1842.5317204667645,1.4322686208656485,0,0,0,0,0,0,"[0.6756835183589953, 0.32431648164100474]",0.004230320562846557
43,384,451,26193,T,0,243.51559834294454,0.1892937561528475,0,0,0,0,0,0,243.51559834294454,0.1892937561528475,0,0,0,0,0,0,"[0.8600765373409521, 0.13992346265904776]",0.061816352861082
44,952,340,26316,C,0,172.32394652143725,1.175850071242834,172.32394652143725,1.175850071242834,0,0,0,0,0,0,0,0,0.359545085194249,0,0,0,"[0.9850961477822077, 0.014903852217792309]",0.8494334273558947
45,949,402,26323,T,0,2245.244344822359,1.7453121623602041,0,0,0,0,0,0,2245.244344822359,1.7453121623602041,0,0,0,0,0,0,"[0.964739903358782, 0.035260096641217986]",0.01261812569131393
46,424,190,26339,C,0,169.46859495533744,1.023924669391996,169.46859495533744,1.023924669391996,0,0,0,0,0,0,0,0,0.3130901562134698,0,0,0,"[0.9891121090437406, 0.010887890956259373]",0.7391779213623194
47,698,75,26341,C,0,165.44522182815095,1.5582570899309938,165.44522182815095,1.5582570899309938,0,0,0,0,0,0,0,0,0.4764754383708136,0,0,0,"[0.9702048737778811, 0.02979512622211888]",0.5404149984090569
48,701,867,26344,C,0,91.3411623584604,0.8415906188828625,91.3411623584604,0.8415906188828625,0,0,0,0,0,0,0,0,0.2573370348526597,0,0,0,"[0.9813308488011376, 0.018669151198862394]",0.30936829587311754
49,624,936,26561,C,0,85.09290333020346,0.4727387432096165,85.09290333020346,0.4727387432096165,0,0,0,0,0,0,0,0,0.14455150010942322,0,0,0,"[0.9674817268978828, 0.03251827310211722]",0.05269218722400415
50,804,625,26786,C,0,242.22586216502052,1.4696279254087115,242.22586216502052,1.4696279254087115,0,0,0,0,0,0,0,0,0.4493748910406786,0,0,0,"[0.9999130699365115, 8.693006348853725e-05]",0.6982441126793114
51,32,659,26806,C,0,247.05643878262532,1.850840988353125,247.05643878262532,1.850840988353125,0,0,0,0,0,0,0,0,0.5659401628772815,0,0,0,"[0.9999225315425435, 7.746845745645943e-05]",0.4233840280685839
52,1006,778,26810,C,0,290.4497790525113,2.4277354754159934,290.4497790525113,2.4277354754159934,0,0,0,0,0,0,0,0,0.742339843901135,0,0,0,"[0.9973300127172608, 0.002669987282739216]",0.7679295769077645
53,296,865,26822,C,0,314.7939565228179,1.9617231586678954,314.7939565228179,1.9617231586678954,0,0,0,0,0,0,0,0,0.5998451141524122,0,0,0,"[0.999952216690232, 4.77833097679905e-05]",0.7673744965907562
54,949,681,26895,C,0,127.52386981687474,0.7187665570680847,127.52386981687474,0.7187665570680847,0,0,0,0,0,0,0,0,0.21978055648087078,0,0,0,"[0.9928631047090253, 0.007136895290974755]",0.09884927077051309
55,762,637,26915,C,0,126.03683010139765,1.000201575439638,126.03683010139765,1.000201575439638,0,0,0,0,0,0,0,0,0.30583623664942516,0,0,0,"[0.9994259018413159, 0.0005740981586840511]",0.15135705595523952
56,229,805,26920,C,0,177.42139625925017,1.612073531457454,177.42139625925017,1.612073531457454,0,0,0,0,0,0,0,0,0.4929311392519904,0,0,0,"[0.9361169274768973, 0.06388307252310264]",0.26447658777987737
57,694,731,26953,C,0,25.61752547754662,0.14451134879882896,25.61752547754662,0.14451134879882896,0,0,0,0,0,0,0,0,0.044187899874422405,0,0,0,"[0.9052536687607687, 0.09474633123923122]",0.8054833287609185
58,165,145,26993,C,0,33.8535669811309,0.18807552782303366,33.8535669811309,0.18807552782303366,0,0,0,0,0,0,0,0,0.05750871928987698,0,0,0,"[0.7992251170526415, 0.20077488294735843]",0.7716677661509697
59,70,127,26997,C,0,56.222971989093594,0.18773419797043453,56.222971989093594,0.18773419797043453,0,0,0,0,0,0,0,0,0.057404349290730426,0,0,0,"[0.8807631256263295, 0.11923687437367052]",0.1579430823981911
60,267,322,27018,C,0,134.30604272367754,0.7845924746637792,134.30604272367754,0.7845924746637792,0,0,0,0,0,0,0,0,0.2399084501033272,0,0,0,"[0.9962337086283978, 0.0037662913716022465]",0.474019560785378
61,514,428,27067,C,0,175.70389187318878,1.1262241772288792,175.70389187318878,1.1262241772288792,0,0,0,0,0,0,0,0,0.3443707473024896,0,0,0,"[0.999366776562615, 0.0006332234373850591]",0.4879979253837855
62,887,704,27105,C,0,205.4374290010635,1.322273243647066,205.4374290010635,1.322273243647066,0,0,0,0,0,0,0,0,0.40431757216688413,0,0,0,"[0.9970883608525754, 0.0029116391474246503]",0.594314698115686
63,318,885,27171,C,0,251.5182593516254,2.359318817323804,251.5182593516254,2.359318817323804,0,0,0,0,0,0,0,0,0.7214197676396591,0,0,0,"[0.9995864218594502, 0.00041357814054972497]",0.3302415443025558
64,759,680,27207,C,0,194.29271305710043,1.4505531918061112,194.29271305710043,1.4505531918061112,0,0,0,0,0,0,0,0,0.44354232200323696,0,0,0,"[0.9727121356123752, 0.027287864387624823]",0.65840898508594
65,794,292,27208,C,0,321.4663233714124,2.4023945740038393,321.4663233714124,2.4023945740038393,0,0,0,0,0,0,0,0,0.7345912399081943,0,0,0,"[0.9999999504963984, 4.950360150294472e-08]",0.8090180175989098
66,169,903,27276,C,0,275.07999068309033,2.5519326454367928,275.07999068309033,2.5519326454367928,0,0,0,0,0,0,0,0,0.780316183885377,0,0,0,"[0.9997014257840671, 0.0002985742159329238]",0.7629476400106655
67,633,712,27294,C,0,193.9539970414359,1.0278523862653322,193.9539970414359,1.0278523862653322,0,0,0,0,0,0,0,0,0.3142911522693274,0,0,0,"[0.9995020425893957, 0.0004979574106042886]",0.4889528391490253
68,179,842,27407,C,0,283.83986560847666,2.1779612641877657,283.83986560847666,2.1779612641877657,0,0,0,0,0,0,0,0,0.6659652343725082,0,0,0,"[0.9999990598521135, 9.401478865763589e-07]",0.5362732891144165
69,495,980,27408,C,0,236.30362412281394,1.748801075094441,236.30362412281394,1.748801075094441,0,0,0,0,0,0,0,0,0.5347389492165726,0,0,0,"[0.982289708043238, 0.017710291956761937]",0.9905403376902675
70,194,908,27435,T,0,3148.8838054609664,2.447744815037014,0,0,0,0,0,0,3148.8838054609664,2.4477448150370136,0,0,0,0,0,0,"[0.46082054759470814, 0.5391794524052919]",0.2572417638935739
71,833,658,27438,C,0,101.08987441860279,0.7377157802964592,101.08987441860279,0.7377157802964592,0,0,0,0,0,0,0,0,0.22557474763383767,0,0,0,"[0.9961236650578958, 0.003876334942104224]",0.17869752592479615
72,840,470,27510,C,0,147.28905228366054,1.211967243041374,147.28905228366054,1.211967243041374,0,0,0,0,0,0,0,0,0.3705887989540789,0,0,0,"[0.9876946328402674, 0.012305367159732671]",0.5563956815765555
73,1051,794,27579,C,0,252.54615230977328,2.3564186658598425,252.54615230977328,2.3564186658598425,0,0,0,0,0,0,0,0,0.7205329749858269,0,0,0,"[0.9990878264711818, 0.0009121735288182284]",0.016965864313468693
