rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num,income (USD),agent_transit_15min_acc
3600,932,354,33047,C,0,273.8415014235718,2.5200160098684474,273.8415014235718,2.5200160098684474,0,0,0,0,0,0,0,0,0.7705568874111203,0,3.8679192582797617,0.3586295331611379,"[0.6872883791982742, 0.3127116208017258]",0.9507304044424103,44421,2297.899524
7135,480,427,48858,C,0,416.6287302779114,2.774429619867627,416.6287302779114,2.774429619867627,0,0,0,0,0,0,0,0,0.8483501072431755,0,3.162339296166797,0.0047515335794414484,"[0.9544796418489011, 0.0455203581510988]",0.7553562403948689,19305,2579.001984
11601,287,61,62481,C,0,89.95755790505595,0.7413316560524252,89.95755790505595,0.7413316560524252,0,0,0,0,0,0,0,0,0.22668039059676792,0,1.161676533464636,0.05122969483718799,"[0.9321077760419981, 0.0678922239580019]",0.420571580830845,33129,2297.899524
7742,233,116,51001,C,0,190.11545031377733,1.5744717767646184,190.11545031377733,1.5744717767646184,0,0,0,0,0,0,0,0,0.48143347775149054,0,3.7101502004011855,0.20925549521221223,"[0.797500621706131, 0.2024993782938689]",0.25891675029296335,89724,473.69047620000003
12105,113,1021,64032,C,0,99.56272110697557,0.8268325896420644,99.56272110697557,0.8268325896420644,0,0,0,0,0,0,0,0,0.25282440436476633,0,1.3071186161425112,0.31165568559023027,"[0.7561153254666297, 0.24388467453337032]",0.35479425199571646,123102,1020.0
14206,1020,80,73932,C,0,99.9361969458826,0.8590243379781977,99.9361969458826,0.8590243379781977,0,0,0,0,0,0,0,0,0.26266782333554817,0,0.0,0.0,"[0.3494504574292354, 0.6505495425707646]",0.6702205560378535,3623,1020.0
13691,12,267,70121,T,1,420.75567092319716,1.1477153218207132,0,0,240.75567092319716,1.1477153218207132,0,0,0,0,180.0,0,0.860786491365535,781.5647362044675,4.142517819698913,0.5211593330462526,"[0.6556516420527739, 0.3443483579472261]",0.30013436837239216,33623,1124.085714
1432,142,1026,27714,C,0,76.72498048859687,0.6960634674251104,76.72498048859687,0.6960634674251104,0,0,0,0,0,0,0,0,0.21283852832652614,0,0.4608323534289984,0.05451085584485794,"[0.8782827204657739, 0.12171727953422602]",0.30331272607892745,35640,3774.5595240000002
5650,1085,646,42902,T,1,76.43523362037735,0.46094006027119633,0,0,0,0.41740526959561075,0,0,56.00502000467389,0.04353479067558567,180.0,0,0.14094376255340094,-55.65611778553159,2.0317403177817943,0.1539984126596722,"[0.8131841156077138, 0.18681588439228625]",0.4765969541523558,114587,146.047619
14048,954,169,72844,C,0,289.0340626531233,2.1648303960281976,289.0340626531233,2.1648303960281976,0,0,0,0,0,0,0,0,0.6619501484133637,0,0.0,0.0,"[0.9988934188763653, 0.0011065811236347818]",0.5368289079974841,47289,129.3182981
