Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,Micro Avg. Wait Time (s),Micro Utilization Rate (%),car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),tot_sub ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_mob_lgsm_inc_with_micro,tt_gen_cost,tt_mode_switch,F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_veh_occ,M_avg_speed (mph)
5.0,0.0,0.5,2.0,2.800973,1.0,-443.8862,61.11881,2916.0,0.7749136,847.0,0.22508636,734.0,0.19505714,744.0,5.0,0.0013287271,15.0,98.0,0.02604305,882.0,10.0,0.0026574542,3157.5552,4122.741,75.0,186.0,261.0,7019.2964,205.50368,205.50368,5.291319,5.291319,9.248085,9.371557,3.177231,228.91852,5.604168,5.390586,2.0111284,3.1016998,1188.5508,0.3057746,0.25,5.0,0.3484646,0.4075963,1449.5508,2284.9297,4567.7485,1328.0,450.0,216.89052,53.138176,3887.016,730.2993,1239.0479,1.6966301,1532.749,13.465731,0.0087853465,6150.0645,129.27058,198.07825,2289.3958,4869.1514,0.6550818,29.905342
1.0,3.3754463e-14,0.5,2.0,1.8698568,0.0,-431.6893,60.880238,2908.0,0.7727877,855.0,0.22721232,709.0,0.1884135,750.0,16.0,0.0042519267,57.0,89.0,0.023651343,902.0,41.0,0.010895562,3157.5552,4117.84,54.0,187.5,241.5,7033.895,54.448334,54.448334,5.2404532,5.2404532,8.716103,9.182631,3.3341122,60.250298,5.717045,5.502911,2.0248294,3.1303797,1191.634,0.3057746,0.25,0.94736844,0.31527415,0.40977788,1433.134,2195.8408,4599.5815,1261.0,481.57895,202.87773,50.83214,3897.0996,714.2292,1178.8265,1.6504877,1532.749,51.511036,0.03360696,6144.0776,121.43689,197.9642,2282.5906,4860.7344,0.6406572,29.43554
1.0,2.2807572,0.0,2.0,2.1230047,0.0,-407.44482,45.844723,3299.0,0.87669414,464.0,0.12330587,168.0,0.04464523,345.0,34.0,0.009035344,166.0,144.0,0.03826734,421.0,118.0,0.03135796,3157.5552,4048.29,76.0,881.02704,957.02704,6248.818,18.563585,20.273388,9.180472,11.074347,12.228607,19.527557,12.364814,18.360237,14.738133,6.514363,2.010476,3.0950894,1401.4506,0.3057746,3.0805142,0.5,2.9907095,0.4248107,2358.4775,1553.224,4703.1035,387.0,712.9518,421.09445,49.24466,4583.28,486.1969,256.15128,0.5268468,1532.749,167.83852,0.10950164,6602.2256,131.84314,196.0504,2266.9382,5221.1753,0.4479008,27.564056
1.7381283,2.671048,0.0,2.0,1.5485005,0.41720265,-348.7332,44.977642,3353.0,0.8910444,410.0,0.10895562,212.0,0.056338027,288.0,11.0,0.0029231997,65.0,134.0,0.035609886,307.0,53.0,0.014084507,3157.5552,4046.7307,103.1923,839.1625,942.35474,6261.931,46.990196,47.72442,11.13739,12.104032,17.739182,22.688156,12.8906145,37.98527,19.019415,6.6673717,1.9927351,3.1094584,1434.2427,0.3057746,3.1666508,1.6123797,3.4143288,0.42774907,2376.5974,1615.215,4632.6016,293.0,526.1539,521.3632,44.460697,4690.5225,481.08438,248.82974,0.5172268,1532.749,80.409134,0.052460734,6704.356,122.49941,196.65508,2318.1355,5452.7446,0.45630214,27.481216
5.0,2.8560627,0.0,2.0,1.8220217,1.0,-322.2385,38.91967,3420.0,0.9088493,343.0,0.09115068,202.0,0.053680573,203.0,4.0,0.0010629817,6.0,136.0,0.036141377,247.0,1.0,0.00026574542,3157.5552,4031.0688,30.0,931.0199,961.0199,6227.604,521.25916,625.51105,15.271177,15.271177,29.79715,30.085045,13.59347,425.9023,26.455677,7.213876,2.0404875,3.1733286,1467.006,0.3057746,4.5863047,6.0,4.642608,0.42894915,2428.026,1689.4237,4460.8,227.0,450.0,646.24756,44.33976,4797.6714,429.7342,228.05429,0.53068686,1532.749,7.3433623,0.0047909752,6760.1543,122.70821,197.71446,2817.418,5888.42,0.51537657,27.908247
2.1842206,3.1958005,0.0,2.0,1.9782263,0.42860943,-266.1768,37.347973,3401.0,0.90380013,362.0,0.09619984,176.0,0.046771195,232.0,15.0,0.003986181,56.0,133.0,0.03534414,248.0,38.0,0.010098326,3157.5552,4024.7944,114.519714,1002.4735,1116.9933,6065.3564,54.339916,57.415764,13.0272455,14.122995,21.060265,26.486273,14.473573,47.068077,22.179377,7.3866105,1.9853449,3.1233954,1451.8717,0.3057746,4.684456,2.1607492,4.8777,0.42689553,2568.865,1624.3285,4528.8867,200.0,474.10715,638.84595,44.009388,4748.1763,409.16208,208.81651,0.5103516,1532.749,64.65179,0.042180285,6690.0874,122.131256,197.20943,3000.2827,6038.9077,0.47580895,28.133299
1.0,3.466248,0.0,2.0,2.4987864,0.7761091,-263.32996,30.53771,3386.0,0.89981395,377.0,0.10018602,133.0,0.03534414,202.0,39.0,0.0103640715,96.0,152.0,0.040393304,270.0,53.0,0.014084507,3157.5552,3997.5208,110.35767,890.7121,1001.06976,6154.006,31.74164,33.12171,15.38024,16.703272,20.651028,27.351137,20.74859,28.802612,24.083136,9.716668,1.9880604,3.32202,1451.4154,0.3057746,4.788775,1.1995399,4.449199,0.42865193,2452.485,1502.0504,4531.6567,158.0,459.375,641.3026,48.097694,4746.684,319.7401,149.73589,0.468305,1532.749,105.79587,0.06902361,6599.1733,134.27881,207.10777,3351.4465,6155.9175,0.43692085,27.270485
3.6601799,4.3250594,3.393382e-13,2.0,1.8537487,0.35715324,-231.07703,29.78035,3459.0,0.9192134,304.0,0.08078661,141.0,0.037470102,170.0,8.0,0.0021259633,27.0,136.0,0.036141377,207.0,19.0,0.005049163,3157.5552,3999.4602,84.1852,972.1245,1056.3097,6100.7056,113.828514,113.828514,17.807858,18.920849,30.968048,36.313725,19.133453,93.23138,31.909607,9.283481,2.0051358,3.2819817,1481.1532,0.3057746,6.075778,3.1179705,6.2875576,0.42820272,2537.463,1502.3567,4414.0195,143.0,466.66666,716.88434,41.220848,4843.938,326.0992,158.22214,0.4851963,1532.749,32.964973,0.021507092,6702.786,115.12167,203.91925,3372.5198,6182.129,0.48008117,27.864819
2.0851905,3.380008,0.0,3.0,2.5512965,0.468288,-190.18742,21.164526,3411.0,0.9064576,352.0,0.09354239,162.0,0.04305076,210.0,16.0,0.0042519267,48.0,142.0,0.03773585,238.0,32.0,0.008503853,3157.5552,5950.5786,97.708626,1057.1213,1154.83,7953.304,63.746803,63.746803,23.30218,25.224009,30.82676,37.872875,27.840883,49.21837,33.42652,14.839159,1.9963129,4.270195,1465.241,0.3057746,5.449079,2.0355964,5.4991903,0.42956346,2620.071,1621.9364,4493.4473,156.0,450.0,668.0464,44.165287,4791.899,329.76648,175.76517,0.53299886,1532.749,62.16879,0.04056032,6654.4146,123.447395,261.57706,3914.1562,6273.9536,0.5116702,27.335981
3.7031844,3.912494,2.7410502e-16,3.0,2.1801174,0.5678871,-189.1304,20.556261,3439.0,0.91389847,324.0,0.08610152,153.0,0.040659048,181.0,10.0,0.0026574542,31.0,140.0,0.03720436,214.0,21.0,0.005580654,3157.5552,5950.2646,119.32389,1069.737,1189.0609,7918.759,98.00746,98.00746,26.964241,28.04901,37.352634,43.03673,28.524517,86.94253,38.43224,14.846314,1.9822105,4.253999,1473.7554,0.3057746,6.147914,3.8491578,6.462288,0.42854184,2662.8164,1568.3115,4452.6577,141.0,450.0,723.37683,43.000732,4819.744,328.73663,171.0994,0.52047557,1532.749,34.945282,0.022799091,6681.23,120.33386,219.66411,3900.6992,6293.8184,0.50135267,27.469862
