Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
4.5,0.0,0.0,8.0,-19381.006,3403.5657,2559.0,0.6800425,1204.0,0.3199575,1130.0,0.3002923,1134.0,4.0,0.0010629817,8.0,66.0,0.017539198,998.0,4.0,0.0010629817,3157.5552,16259.45,36.0,0.0,36.0,390.1944,390.1944,14.33814,14.33814,16.971107,17.03076,9.0599375,333.28848,10.743235,7.5201025,2.036573,5.245367,1030.1476,0.3057746,0.0,4.5,0.031634446,0.40255862,1066.1476,4225.547,1713.0,496.45648,450.0,141.84557,39.322742,3368.9768,2162.1316,1794.6536,0.8300391,1532.749,9.365925,0.0061105406,7063.8574,86.77959,197.80295,2287.6326,5167.929,48.228683,0.76924366,28.6695
4.75,0.0,0.0,7.0,-17402.97,3213.5034,2555.0,0.6789795,1208.0,0.32102045,1133.0,0.30108956,1136.0,4.0,0.0010629817,7.0,68.0,0.018070688,962.0,3.0,0.0007972362,3157.5552,14278.666,33.25,0.0,33.25,446.3293,446.3293,12.569248,12.569248,15.225697,15.265764,7.928776,428.6516,9.624712,6.9273567,2.038367,4.842298,1028.665,0.3057746,0.0,4.75,0.029166667,0.40260863,1061.915,4246.059,1677.0,485.72598,450.0,150.97278,40.34328,3364.1287,2061.1997,1800.8663,0.8736982,1532.749,7.288682,0.0047553005,6958.077,91.58851,197.92711,2276.2576,5001.2676,52.06857,0.75371724,28.784277
5.0,0.0,0.0,6.0,-15399.161,3067.6692,2608.0,0.69306403,1155.0,0.30693597,1077.0,0.28620782,1082.0,1.0,0.00026574542,6.0,72.0,0.01913367,1020.0,5.0,0.0013287271,3157.5552,12271.605,30.0,0.0,30.0,521.25916,521.25916,11.341595,11.341595,14.153641,14.218985,7.1616526,524.0306,8.955687,6.5479403,2.0404875,4.520037,1054.9701,0.3057746,0.0,5.0,0.02770083,0.40451306,1084.9701,4266.124,1676.0,510.98624,450.0,151.46677,42.91558,3450.156,1874.117,1713.5159,0.91430575,1532.749,5.9682684,0.003893833,6857.022,97.32613,198.08958,2283.5684,4913.6577,54.60687,0.7231937,28.999624
4.5,0.0,0.0,6.0,-15383.518,3047.1748,2597.0,0.69014084,1166.0,0.30985916,1087.0,0.28886527,1091.0,4.0,0.0010629817,9.0,71.0,0.018867925,1021.0,4.0,0.0010629817,3157.5552,12266.463,40.5,0.0,40.5,346.33945,389.6319,11.24332,11.24332,13.985016,14.048875,7.186777,394.37228,8.971478,6.604621,2.033637,4.537906,1057.9663,0.3057746,0.0,5.0625,0.036986303,0.40738016,1098.4663,4249.409,1698.0,508.4732,450.0,149.19345,42.31292,3459.9548,1857.2546,1706.8099,0.91899616,1532.749,7.903839,0.0051566428,6849.9585,94.910774,197.7731,2275.7322,4872.228,54.085476,0.7141943,29.103085
3.75,0.0,0.0,5.0,-13363.93,2919.9485,2607.0,0.6927983,1156.0,0.3072017,1072.0,0.2848791,1077.0,4.0,0.0010629817,9.0,75.0,0.019930907,1017.0,5.0,0.0013287271,3157.5552,10240.124,33.75,0.0,33.75,347.08945,347.08945,9.508008,9.508008,12.305644,12.362562,6.0217514,335.75626,7.815957,6.372339,2.0380409,4.2564163,1058.3647,0.3057746,0.0,3.75,0.031221092,0.4059704,1092.1147,4271.0615,1678.0,513.7673,450.0,158.64499,44.817207,3461.258,1606.9648,1700.5226,1.0582201,1532.749,9.303788,0.006070001,6600.9717,103.4048,197.84212,2278.6226,4861.054,56.06996,0.72180873,29.14215
3.0,0.0,0.0,5.0,-13359.897,2910.6555,2645.0,0.70289665,1118.0,0.29710338,1031.0,0.27398354,1040.0,4.0,0.0010629817,13.0,74.0,0.019665161,1013.0,9.0,0.0023917088,3157.5552,10241.343,39.0,0.0,39.0,239.88885,239.88885,9.847445,9.847445,12.687463,12.796837,6.223703,243.3136,8.056111,6.357292,2.0346158,4.249725,1074.5496,0.3057746,0.0,3.0,0.03735632,0.40625694,1113.5496,4295.708,1648.0,524.5951,450.0,154.36035,43.435287,3514.1885,1610.9598,1645.5386,1.0214647,1532.749,12.817019,0.008362113,6657.8975,98.769226,197.99661,2281.9458,4866.034,56.096375,0.70404226,29.144993
3.75,0.0,0.0,4.0,-11318.575,2842.5784,2651.0,0.7044911,1112.0,0.2955089,1032.0,0.27424926,1040.0,6.0,0.0015944724,14.0,66.0,0.017539198,1001.0,8.0,0.0021259633,3157.5552,8213.52,52.5,0.0,52.5,221.78966,221.78966,7.8976154,7.8976154,10.738686,10.820817,4.975238,211.22256,6.7955747,6.0580482,2.0258079,3.9184253,1071.9995,0.3057746,0.0,3.75,0.050191205,0.40437552,1124.4995,4296.361,1621.0,517.20624,450.0,162.8022,45.268055,3505.8486,1355.803,1650.8799,1.2176399,1532.749,14.700396,0.009590869,6394.401,105.17958,197.81143,2275.0486,4854.6245,58.77171,0.7127363,29.285631
3.75,0.0,0.0,3.0,-9281.212,2736.2324,2690.0,0.7148552,1073.0,0.28514484,981.0,0.26069626,990.0,3.0,0.0007972362,12.0,80.0,0.021259634,1020.0,9.0,0.0023917088,3157.5552,6168.6567,45.0,0.0,45.0,259.37958,259.37958,6.2309666,6.2309666,9.262687,9.346639,3.9238243,270.06543,5.860726,5.904282,2.0307012,3.6008222,1096.8848,0.3057746,0.0,3.75,0.04531722,0.40776384,1141.8848,4318.112,1608.0,532.36707,450.0,162.6125,46.07354,3587.233,1044.7767,1572.1033,1.5047265,1532.749,11.525189,0.0075192936,6164.759,106.36093,197.88287,2280.531,4851.5527,59.954075,0.7050986,29.374947
3.75,0.0,0.0,2.0,-7227.488,2671.5818,2731.0,0.72575074,1032.0,0.27424926,936.0,0.24873771,946.0,3.0,0.0007972362,13.0,83.0,0.02205687,987.0,10.0,0.0026574542,3157.5552,4118.6826,48.75,0.0,48.75,239.13885,239.13885,4.3537874,4.3537874,7.536484,7.6158986,2.6898975,255.07996,4.682973,5.7443843,2.0282545,3.2125854,1106.9573,0.3057746,0.0,3.75,0.051369864,0.40533036,1155.7073,4295.056,1577.0,535.6383,450.0,177.27875,48.603924,3620.1738,716.9929,1531.1671,2.13554,1532.749,12.187571,0.007951446,5869.916,114.0613,198.34445,2296.41,4877.316,61.391243,0.7175908,29.494396
3.25,0.0,0.0,2.0,-7213.8843,2637.3313,2694.0,0.7159181,1069.0,0.28408185,969.0,0.2575073,979.0,9.0,0.0023917088,19.0,81.0,0.02152538,1037.0,10.0,0.0026574542,3157.5552,4118.079,61.75,0.0,61.75,162.9371,162.9371,4.2064137,4.2064137,7.228341,7.301502,2.633915,158.7654,4.55715,5.759438,2.019773,3.2093616,1093.2556,0.3057746,0.0,3.25,0.0625,0.40581128,1155.0056,4300.955,1573.0,513.3019,450.0,175.88852,50.665665,3575.3643,715.01404,1563.4823,2.1866455,1532.749,19.499243,0.012721746,5823.1274,119.55705,198.04309,2288.463,4862.8433,61.265503,0.688758,29.29492
5.0,0.0,0.5,2.0,-6901.9126,2372.5828,2961.0,0.78687215,802.0,0.21312782,666.0,0.17698644,670.0,4.0,0.0010629817,8.0,128.0,0.034015413,785.0,4.0,0.0010629817,3157.5552,4119.3574,40.0,335.0,375.0,389.6944,389.6944,5.6482944,5.6482944,10.1798115,10.240226,3.4918249,489.4849,6.331185,5.261867,2.0339632,3.064856,1224.2249,0.3057746,0.5,5.0,0.5563798,0.4134498,1599.2249,4772.6997,1167.0,551.22296,450.0,251.18477,54.772236,4003.684,719.2043,1083.7764,1.5069103,1532.749,6.369053,0.0041553136,6255.637,135.70451,198.03511,2282.6655,4869.1216,60.604126,0.6754827,29.762257
3.5,0.75,1.5,2.0,-6467.367,1929.2426,3332.0,0.8854637,431.0,0.11453628,288.0,0.07653468,292.0,6.0,0.0015944724,10.0,133.0,0.03534414,341.0,4.0,0.0010629817,3157.5552,4079.8074,35.0,734.9956,769.9956,312.25552,312.25552,11.454835,11.454835,21.415123,21.702574,8.446619,308.12845,15.924451,5.673666,2.0372255,3.047365,1416.8706,0.3057746,2.5171082,3.5,2.5838778,0.42523128,2186.8662,4623.3765,436.0,468.85333,450.0,474.51694,44.9473,4633.7095,589.5327,395.99414,0.6717085,1532.749,10.13394,0.0066116108,6755.991,121.239586,198.19751,2296.6782,5218.721,51.147926,0.55308664,28.686321
5.0,0.75,2.0,2.0,-6402.923,1909.7922,3364.0,0.89396757,399.0,0.10603242,256.0,0.06803083,257.0,5.0,0.0013287271,6.0,137.0,0.03640712,316.0,1.0,0.00026574542,3157.5552,4069.8208,30.0,794.45306,824.45306,521.25916,521.25916,12.744622,12.744622,24.345715,24.438637,8.759134,636.0012,16.900724,5.882592,2.0404875,3.0642755,1428.4089,0.3057746,3.091257,5.0,3.1467674,0.42461622,2252.862,4581.353,367.0,434.9663,450.0,481.51538,42.26635,4671.444,556.7899,373.9374,0.67159516,1532.749,4.91753,0.0032083075,6760.983,114.89429,198.42674,2312.7244,5323.536,47.560215,0.57756585,29.056623
3.75,0.0,2.75,2.0,-6340.277,1869.6423,3288.0,0.87377095,475.0,0.12622908,310.0,0.08238108,314.0,8.0,0.0021259633,13.0,153.0,0.040659048,358.0,4.0,0.0010629817,3157.5552,4094.9714,48.75,863.5,912.25,239.13885,259.06708,10.29131,10.29131,19.389225,19.6903,6.632536,260.62085,12.7023115,5.0550914,2.0282545,2.9190962,1392.144,0.3057746,2.75,4.0625,2.8330746,0.42340147,2304.394,4711.5576,431.0,439.7271,450.0,465.32013,46.273502,4552.844,639.25085,487.2151,0.7621657,1532.749,11.928459,0.007782396,6724.8438,125.833694,198.2143,2291.5273,5097.0537,53.928505,0.6154708,29.557522
3.5,2.5,0.75,2.0,-6299.5273,1777.3628,3393.0,0.9016742,370.0,0.098325804,224.0,0.059526972,229.0,10.0,0.0026574542,15.0,131.0,0.034812648,262.0,5.0,0.0013287271,3157.5552,4042.6187,52.5,848.14667,900.64667,207.00368,207.00368,13.949659,13.949659,25.817734,26.357855,11.806948,171.21576,21.820776,6.8316026,2.0258079,3.1492107,1449.0764,0.3057746,3.7036972,3.5,3.7683961,0.42707822,2349.723,4521.5522,274.0,376.04987,450.0,623.6889,45.390694,4739.0347,467.60214,270.55865,0.5786087,1532.749,18.135334,0.011831901,6739.3857,125.641815,197.85278,2354.709,5588.329,41.64321,0.52692366,28.38757
5.0,4.0,0.5,2.0,-6087.4976,1640.5206,3413.0,0.9069891,350.0,0.093010895,199.0,0.05288334,205.0,4.0,0.0010629817,10.0,141.0,0.037470102,227.0,6.0,0.0015944724,3157.5552,4035.1692,50.0,1055.2268,1105.2268,310.75552,310.75552,14.536304,14.536304,28.313942,29.126781,12.511215,232.50241,24.200203,6.724041,2.027439,3.0808322,1464.9362,0.3057746,5.1474476,5.0,5.288166,0.42922243,2570.1628,4480.3457,198.0,265.1035,450.0,639.9605,40.353065,4790.902,443.17728,238.18169,0.5374411,1532.749,13.36569,0.008720078,6766.828,112.25118,197.92586,2702.0818,5819.8086,39.100872,0.52052766,28.60423
3.25,4.75,1.5,2.0,-6051.667,1481.4824,3459.0,0.9192134,304.0,0.08078661,136.0,0.036141377,146.0,16.0,0.0042519267,26.0,142.0,0.03773585,221.0,10.0,0.0026574542,3157.5552,4000.055,84.5,1021.44293,1105.9429,118.19443,118.19443,20.401451,20.401451,35.184113,37.35597,17.631668,94.04435,30.016401,9.079786,2.0049305,3.2521896,1478.9318,0.3057746,6.9961843,3.25,6.826808,0.4275605,2584.8748,4423.4688,146.0,312.88828,450.0,644.9236,39.59114,4836.6733,328.04868,168.93535,0.51497036,1532.749,32.67666,0.021318989,6697.4707,110.03445,198.03244,3063.7048,6094.024,29.169575,0.49855644,28.074991
