trial_index,arm_name,trial_status,generation_method,is_feasible,Total mob. Logsum increase with micro,Total subsidy ($),Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size
0,0_0,RUNNING,Sobol,True,2034.9421300158688,-13952.556566877618,2.25,4.0,0.25,6
0,0_2,RUNNING,Sobol,True,2391.8978367559353,-17886.416969854123,4.25,2.5,0.75,8
0,0_1,RUNNING,Sobol,True,1935.3185350313665,-8166.75943701261,2.75,1.75,2.75,3
0,0_10,RUNNING,Sobol,True,1725.6717832785746,-13878.77749054623,4.5,4.25,3.0,6
0,0_11,RUNNING,Sobol,True,1881.558849973603,-6601.175876318573,0.5,1.5,0.0,2
0,0_13,RUNNING,Sobol,True,2252.948377121395,-15792.638656165976,4.0,2.0,2.0,7
0,0_14,RUNNING,Sobol,True,2026.1165895601266,-11913.715258734786,3.0,3.75,0.5,5
0,0_12,RUNNING,Sobol,True,1679.2288374347484,-7938.607569037065,1.0,5.0,1.0,3
0,0_3,RUNNING,Sobol,True,2250.7808211562333,-10252.808940083158,0.75,0.5,2.25,4
0,0_4,RUNNING,Sobol,True,1629.61145155977,-8162.795231627929,0.0,3.25,3.0,3
0,0_6,RUNNING,Sobol,True,1481.4823639407173,-6051.6670456547545,3.25,4.75,1.5,2
0,0_7,RUNNING,Sobol,True,2058.9185191020765,-11963.884979678056,1.75,2.25,1.5,5
0,0_8,RUNNING,Sobol,True,1914.4183132181595,-15848.489892251067,1.25,3.0,2.0,7
0,0_9,RUNNING,Sobol,True,2617.3487031071054,-10528.11978279795,3.75,0.25,1.25,4
0,0_5,RUNNING,Sobol,True,2767.694251325993,-16296.93855004317,5.0,1.0,0.25,7
1,1_0,RUNNING,BoTorch,True,3067.6691514178306,-15399.160766745365,5.0,0.0,0.0,6
1,1_1,RUNNING,BoTorch,True,2372.5828717973977,-6901.91241481865,5.0,0.0,0.5,2
2,2_0,RUNNING,BoTorch,True,3307.3978726792366,-19418.118477832315,5.0,0.0,0.0,8
2,2_1,RUNNING,BoTorch,True,1640.520668910938,-6087.497422880105,5.0,4.0,0.5,2
3,3_0,RUNNING,BoTorch,True,1909.7922471677211,-6402.922977613475,5.0,0.75,2.0,2
3,3_1,RUNNING,BoTorch,True,1621.9769747911898,-6239.9947508450105,5.0,4.5,0.25,2
4,4_0,RUNNING,BoTorch,True,3403.5656278811216,-19381.005212150478,4.5,0.0,0.0,8
4,4_1,RUNNING,BoTorch,True,2637.3313014658283,-7213.884386943958,3.25,0.0,0.0,2
5,5_0,RUNNING,BoTorch,True,3299.570068977103,-19396.835548453226,3.5,0.0,0.0,8
5,5_1,RUNNING,BoTorch,True,1777.3628184975873,-6299.5271050874435,3.5,2.5,0.75,2
6,6_0,RUNNING,BoTorch,True,3346.7767080689355,-19414.105506725253,4.25,0.0,0.0,8
6,6_1,RUNNING,BoTorch,True,1836.698350491259,-6420.328644766301,2.0,0.0,3.0,2
7,7_0,RUNNING,BoTorch,True,3079.4433647033798,-19431.061600708053,0.0,0.0,0.0,8
7,7_1,RUNNING,BoTorch,True,2671.5817121958917,-7227.487949563742,3.75,0.0,0.0,2
8,8_0,RUNNING,BoTorch,True,1880.2826691374105,-6507.2452627915645,0.0,0.0,3.0,2
8,8_1,RUNNING,BoTorch,True,2842.5784680846896,-11318.575005426064,3.75,0.0,0.0,4
9,9_0,RUNNING,BoTorch,True,3233.926893001595,-19411.693893440694,2.5,0.0,0.0,8
9,9_1,RUNNING,BoTorch,True,1869.6423347210036,-6340.276614031705,3.75,0.0,2.75,2
10,10_0,RUNNING,BoTorch,True,3047.174828080413,-15383.517763783595,4.5,0.0,0.0,6
10,10_1,RUNNING,BoTorch,True,1929.2425573619844,-6467.366966630978,3.5,0.75,1.5,2
11,11_0,RUNNING,BoTorch,True,2450.2857910995535,-18029.15803126876,0.0,0.0,3.0,8
11,11_1,RUNNING,BoTorch,True,2910.6554450650174,-13359.897854972423,3.0,0.0,0.0,5
12,12_0,RUNNING,BoTorch,True,3115.868159279978,-18674.870345113774,3.25,0.0,0.75,8
12,12_1,RUNNING,BoTorch,True,2520.3414316974786,-17958.966604376714,5.0,0.0,3.0,8
13,13_0,RUNNING,BoTorch,True,2763.0118302115143,-13389.833331072321,0.0,0.0,0.0,5
13,13_1,RUNNING,BoTorch,True,2736.232490444313,-9281.212014879682,3.75,0.0,0.0,3
14,14_0,RUNNING,BoTorch,True,3213.5033863403823,-17402.971014471128,4.75,0.0,0.0,7
14,14_1,RUNNING,BoTorch,True,1549.5659271803481,-6136.162024880989,2.25,4.0,1.0,2
15,15_0,RUNNING,BoTorch,True,1970.0193700835262,-17899.93409886241,0.0,5.0,0.0,8
15,15_1,RUNNING,BoTorch,True,2919.94856467554,-13363.929383179591,3.75,0.0,0.0,5
