Itr. Number,Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
21,5,0.16944326,0.33055675,7,3.5111196,5.13E-15,-16704.916,3181.7969,2909,0.7730534,854,0.22694659,680,0.18070689,777,4,0.001062982,84,95,0.025245814,696,75,0.019930907,3157.5552,14094.552,30,517.191,547.191,37.2328,39.589306,17.474081,17.98326,19.40176,22.009111,13.792794,32.111275,15.442091,9.315219,2.0404875,5.586377,1214.5231,0.3057746,0.6850212,0.37974682,0.7209368,0.41750535,1761.7141,4805.219,1170,453.25287,723.2143,214.42221,41.45496,3971.9553,1457.546,984.3807,0.6753685,1532.749,97.397415,0.06354427,6962.2505,101.12387,197.65591,2607.7134,5857.1113,38.482395,0.67231673,27.868725
23,5,0.1888311,0.3111689,7,3.4475963,0.09977398,-16667.174,3062.9265,2945,0.78262025,818,0.21737975,706,0.18761626,712,4,0.001062982,10,102,0.027106032,663,6,0.001594472,3157.5552,14086.723,33.99096,543.1128,577.10376,312.3564,312.3564,19.021923,19.021923,23.084728,23.278175,13.672792,286.22052,16.642792,9.458643,2.0378838,5.6220164,1241.6757,0.3057746,0.76279885,3.399096,0.80601084,0.42162162,1818.7794,4869.7734,1067,465.8966,540,237.20793,43.685795,4060.7546,1431.8767,990.5518,0.69178575,1532.749,10.913139,0.007119978,7025.3804,109.70953,197.96056,2468.842,5815.896,37.45602,0.69602793,27.974838
19,5,0.13962783,0.9360742,6,2.6369376,1.27E-10,-14676.714,2858.944,2974,0.7903269,789,0.20967314,631,0.16768536,665,3,0.000797236,36,123,0.032686688,633,32,0.008503853,3157.5552,12114.984,25,570.8256,595.8256,87.01542,89.50157,17.359636,17.412004,20.936823,22.037107,12.225601,80.82341,14.9302435,8.484589,2.0437496,5.0725636,1242.6752,0.3057746,0.8609738,0.71428573,0.89463305,0.4178464,1838.5009,4865.8135,1039,466.25732,525,263.32675,46.30162,4064.0237,1360.6033,944.261,0.69400173,1532.749,38.758015,0.025286604,6957.376,117.21432,197.9008,2337.8647,5482.634,41.13437,0.6910625,28.111546
11,5,2.10E-12,1.9415817,5,1,7.86E-14,-12693.781,2724.2327,3027,0.80441135,736,0.19558863,597,0.15865001,605,3,0.000797236,11,128,0.034015413,591,8,0.002125963,3157.5552,10153.555,30,587.3285,617.3285,284.32318,284.32318,15.811944,15.811944,20.606789,20.87793,10.0086155,318.34253,13.145681,7.2299967,2.0404875,4.4447894,1258.8044,0.3057746,0.97079086,2.7272727,1.0153428,0.41585875,1876.1329,4832.0806,970,490.23288,613.63635,277.549,45.564297,4116.7725,1323.1301,955.7992,0.7223773,1532.749,9.824497,0.006409723,6972.6514,116.79198,198.35313,2336.2715,5382.5825,46.48467,0.69767237,28.686823
23,5,0,3,5,1,0,-12477.863,2655.1028,3131,0.8320489,632,0.1679511,479,0.12729205,485,4,0.001062982,10,143,0.038001593,484,6,0.001594472,3157.5552,10082.809,35,727.5,762.5,312.25552,312.25552,19.289295,19.289295,25.207806,25.517103,12.609292,356.32608,16.621618,8.573609,2.0372255,4.755421,1316.2406,0.3057746,1.5,3.5,1.5593047,0.42038983,2078.7405,4812.737,732,438.94604,585,359.8606,48.381256,4304.6104,1091.175,741.9376,0.67994374,1532.749,8.763195,0.005717306,6928.5347,128.27927,198.23692,2483.855,5755.4473,38.374886,0.6595492,28.639868
20,5,2.14E-09,3,4,1,0,-10564.688,2507.5085,3181,0.84533614,582,0.15466383,448,0.119053945,454,2,0.000531491,8,126,0.033483922,480,6,0.001594472,3157.5552,8108.133,20,681,701,392.1944,392.1944,16.359324,16.359324,22.86729,23.168175,10.352429,415.38394,14.572337,7.351618,2.0470116,4.154385,1329.8904,0.3057746,1.5,2.5,1.5372807,0.41807303,2030.8904,4757.349,732,485.30203,506.25,320.75992,42.76799,4349.2505,1010.2719,717.429,0.71013457,1532.749,7.5533857,0.004927999,6892.2715,111.39987,198.28072,2398.9207,5502.527,44.355576,0.6869582,28.627964
10,5,1.57E-07,0.5,3,1,0.999999,-9063.626,2339.831,2881,0.76561254,882,0.23438746,769,0.20435822,777,5,0.001328727,14,100,0.02657454,920,8,0.002125963,3157.5552,6170.321,70,194.2502,264.2502,220.53966,237.50424,7.6912107,7.6912107,11.45844,11.590314,4.6973286,279.59372,7.062911,5.6902385,2.0143905,3.5089788,1177.388,0.3057746,0.25000027,5.3846154,0.33791587,0.40867335,1441.6382,4597.0684,1398,496.527,450,210.72691,53.852436,3850.5093,1050.232,1272.2275,1.2113776,1532.749,11.043005,0.007204706,6433.49,129.65195,198.19278,2289.5195,4878.5034,58.546684,0.7021713,29.939383
1,5,0,0.5,2,1,1,-7017.4,2258.6306,2914,0.7743821,849,0.22561786,730,0.19399415,740,6,0.001594472,16,103,0.027371777,942,10,0.002657454,3157.5552,4124.8447,80,185,265,192.3472,192.3472,5.324115,5.324115,9.282275,9.406702,3.1893108,233.80128,5.620705,5.344364,2.0078664,3.0914402,1189.5701,0.3057746,0.25,5,0.3552279,0.40822583,1454.5701,4555.7188,1412,463.73337,450,205.91277,53.880505,3890.3496,737.19617,1235.328,1.6757113,1532.749,13.163123,0.008587918,6160.295,128.43463,198.0229,2282.0234,4857.015,61.08995,0.6874121,30.153423
24,5,6.52E-11,3,2,3.5066295,1,-6666.7324,1950.7886,3250,0.8636726,513,0.1363274,359,0.095402606,364,5,0.001328727,11,144,0.03826734,502,5,0.001328727,3157.5552,4110.1772,55,546,601,282.05048,310.25552,9.791696,9.791696,17.777952,18.067024,6.0646224,300.37177,11.147844,5.1721807,2.0241768,3.0005262,1364.8383,0.3057746,1.5,5.5,1.6287262,0.41995022,1965.8383,4692.4604,681,556.12213,450,371.925,51.862873,4463.5435,689.1053,587.69977,0.85284466,1532.749,10.32905,0.006738905,6685.398,135.70805,198.47462,2304.9348,4988.6797,57.074127,0.5983674,29.837107
5,5,0.50401855,0.30986023,2,4,1,-6583.1846,1909.5477,3283,0.8724422,480,0.1275578,347,0.09221366,352,7,0.001860218,12,121,0.032155197,434,5,0.001328727,3157.5552,4078.9138,60,593.2846,653.2846,258.12958,258.12958,9.902356,9.902356,18.08567,18.33756,8.031857,258.65372,14.762117,5.942058,2.0209148,3.106225,1408.1613,0.3057746,1.6854677,5,1.8197343,0.42892516,2061.4458,4633.8516,577,478.5701,450,376.4204,45.379574,4605.2266,586.603,433.97556,0.7398113,1532.749,11.975683,0.007813206,6724.5786,118.65495,197.70511,2328.437,5084.821,51.785946,0.5524248,28.75657
