Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
5.0,0.0,0.5,7.0,4.0,1.0,-16893.895,3120.773,2822.0,0.74993354,941.0,0.25006643,822.0,0.21844274,824.0,5.0,0.0013287271,7.0,112.0,0.029763486,752.0,2.0,0.00053149083,3157.5552,14183.34,35.0,412.0,447.0,446.0793,446.0793,16.712791,16.712791,20.329597,20.378643,10.273191,545.5131,12.548982,7.8753858,2.0372255,5.1483727,1152.089,0.3057746,0.5,5.0,0.5392039,0.40825266,1599.089,4774.1763,1285.0,475.0234,450.0,207.78363,43.40369,3767.772,1748.6559,1340.5123,0.7665958,1532.749,5.7240696,0.003734512,7049.177,105.97438,198.16367,2370.3833,5474.407,44.253445,0.73174125,28.528156
5.0,0.0,0.5,7.0,3.3891103,1.0,-16888.406,3089.8145,2810.0,0.74674463,953.0,0.25325537,826.0,0.21950571,827.0,4.0,0.0010629817,5.0,122.0,0.03242094,772.0,1.0,0.00026574542,3157.5552,14169.352,25.0,413.5,438.5,626.51105,626.51105,16.633436,16.633436,20.298567,20.322992,10.428166,1229.3003,12.778238,8.078406,2.0437496,5.2196536,1158.628,0.3057746,0.5,5.0,0.5276775,0.41232315,1597.128,4794.908,1301.0,478.41403,450.0,215.8089,46.27902,3789.1575,1702.7926,1319.1056,0.77467185,1532.749,2.5482426,0.0016625308,7024.699,112.60614,198.11307,2356.8008,5418.7793,43.294994,0.74143654,28.541332
5.0,0.1,0.5,7.0,4.0,1.0,-16627.086,3036.4976,2967.0,0.78846663,796.0,0.21153335,672.0,0.17858092,675.0,3.0,0.0007972362,6.0,118.0,0.03135796,621.0,3.0,0.0007972362,3157.5552,14086.856,30.0,587.3264,617.3264,521.25916,521.25916,19.999304,19.999304,24.41569,24.523724,13.638937,670.1256,16.71995,9.424965,2.0404875,5.6076627,1245.2285,0.3057746,0.8701132,5.0,0.9105109,0.4196928,1862.5549,4890.5796,1025.0,472.35733,450.0,259.90726,44.834,4072.374,1432.3162,989.7788,0.6910337,1532.749,4.6671176,0.0030449328,7037.4395,114.205826,198.18764,2487.151,5836.5015,36.821945,0.6923737,28.2494
5.0,0.0,0.5,6.0,3.959602,1.0,-14932.106,2919.0908,2824.0,0.75046504,939.0,0.24953495,814.0,0.21631677,816.0,2.0,0.00053149083,4.0,121.0,0.032155197,781.0,2.0,0.00053149083,3157.5552,12202.552,20.0,408.0,428.0,784.3888,784.3888,14.454107,14.454107,18.209887,18.25441,8.94132,876.1768,11.28922,7.158145,2.0470116,4.6949525,1156.1106,0.3057746,0.5,5.0,0.5232274,0.40938762,1584.1106,4809.6357,1308.0,498.47336,450.0,221.94595,48.14994,3780.9243,1647.7106,1319.1063,0.8005692,1532.749,3.580961,0.0023362997,6961.384,118.84308,198.03047,2295.8357,5190.4336,48.534134,0.73727953,28.665398
5.0,0.0,0.5,5.0,1.0,1.0,-12927.673,2783.2222,2850.0,0.7573744,913.0,0.24262556,786.0,0.2088759,789.0,4.0,0.0010629817,7.0,120.0,0.03188945,826.0,3.0,0.0007972362,3157.5552,10199.617,35.0,394.5,429.5,446.0793,446.0793,12.427272,12.427272,16.240795,16.302235,7.699254,439.57898,10.094864,6.651346,2.0372255,4.2993293,1171.348,0.3057746,0.5,5.0,0.5416141,0.4109993,1600.848,4835.0776,1303.0,516.0024,450.0,212.51398,48.76015,3830.7563,1474.1554,1273.5153,0.8638949,1532.749,7.1035132,0.004634492,6837.6606,118.08551,198.00392,2285.721,5027.9067,51.73632,0.7226617,28.824797
5.0,0.0,0.5,4.0,1.0,1.0,-10936.678,2641.0051,2907.0,0.7725219,856.0,0.22747807,736.0,0.19558863,740.0,5.0,0.0013287271,9.0,111.0,0.02949774,747.0,4.0,0.0010629817,3157.5552,8194.123,45.0,370.0,415.0,345.83945,345.83945,10.573139,10.573139,14.6017065,14.680105,6.544054,424.36237,9.091604,6.0548544,2.0307012,3.8714514,1194.7273,0.3057746,0.5,5.0,0.557047,0.41098288,1609.7273,4789.3027,1240.0,532.4304,450.0,225.1758,46.72398,3907.2153,1292.2067,1195.608,0.92524517,1532.749,7.3346634,0.0047852998,6732.171,115.355545,198.35304,2295.3298,4944.9844,55.803215,0.68922514,29.111782
5.0,0.0,0.5,4.0,2.170331,1.0,-10929.716,2617.444,2911.0,0.7735849,852.0,0.2264151,739.0,0.19638586,742.0,4.0,0.0010629817,8.0,106.0,0.028169014,782.0,3.0,0.0007972362,3157.5552,8183.16,40.0,371.0,411.0,389.6944,445.36502,10.528518,10.528518,14.572954,14.6510935,6.5055704,492.27042,9.053963,6.218569,2.0339632,3.918848,1194.3214,0.3057746,0.5,5.714286,0.5509383,0.4102787,1605.3214,4787.701,1241.0,523.035,450.0,218.33719,47.42769,3905.8882,1256.2634,1200.8417,0.95588374,1532.749,6.333013,0.0041318005,6694.9004,115.89233,197.84418,2279.784,4894.3677,54.63961,0.7082193,28.965723
5.0,0.1,0.5,4.0,1.0,1.0,-10850.618,2598.4202,2953.0,0.7847462,810.0,0.21525379,676.0,0.1796439,680.0,6.0,0.0015944724,10.0,124.0,0.03295243,738.0,4.0,0.0010629817,3157.5552,8167.712,50.0,424.64856,474.64856,310.75552,310.75552,11.386858,11.386858,15.725534,15.817228,7.3960466,323.15372,10.269999,6.4225106,2.027439,3.9624484,1227.7831,0.3057746,0.62448317,5.0,0.6919075,0.41577482,1702.4316,4843.213,1155.0,533.2311,450.0,257.98395,52.886707,4015.3208,1205.6132,1046.9193,0.8683708,1532.749,9.616338,0.0062739155,6753.683,131.59439,198.11896,2286.9104,4933.1147,52.624195,0.67618626,28.904037
5.0,0.0,0.5,3.0,4.0,1.0,-8912.151,2489.6074,2934.0,0.77969706,829.0,0.22030295,704.0,0.18708478,710.0,3.0,0.0007972362,9.0,116.0,0.030826468,762.0,6.0,0.0015944724,3157.5552,6154.5967,45.0,355.0,400.0,345.83945,345.83945,8.168446,8.168446,12.395204,12.499512,5.02405,384.78824,7.666659,5.807279,2.0307012,3.520605,1206.2258,0.3057746,0.5,5.0,0.5610098,0.4111199,1606.2258,4792.2676,1208.0,534.0481,450.0,239.7984,50.757328,3944.8203,998.67706,1154.3667,1.155896,1532.749,8.089007,0.005277451,6476.246,125.764244,198.16367,2291.1738,4888.745,56.930965,0.68941706,29.37404
5.0,0.1,0.5,3.0,1.0,0.91272044,-8856.496,2443.95,2996.0,0.7961733,767.0,0.20382674,644.0,0.17114004,648.0,5.0,0.0013287271,9.0,114.0,0.030294977,730.0,4.0,0.0010629817,3157.5552,6150.25,45.0,406.30908,451.30908,345.83945,345.83945,8.864106,8.864106,13.4802065,13.562781,5.6724653,355.9674,8.671411,5.8348117,2.0307012,3.5184267,1241.414,0.3057746,0.6270202,5.0,0.69113183,0.4143571,1692.723,4847.8384,1103.0,550.1256,450.0,247.10956,50.10833,4059.8987,984.4261,1012.6004,1.02862,1532.749,8.743933,0.0057047387,6577.0737,124.77515,198.34601,2291.777,4896.842,56.391987,0.6628721,29.274672
