trial_index,arm_name,trial_status,generation_method,is_feasible,Total mob. Logsum increase with micro,Total subsidy ($),Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor
0,0_0,RUNNING,Sobol,True,1427.2145117600235,-6189.767223439631,3.8000000000000003,4.9,0.7000000000000001,2,1.7659061253070831,0.22037269175052643
0,0_2,RUNNING,Sobol,True,1455.308546320912,-7795.859502553596,2.6,3.4000000000000004,1.2000000000000002,3,2.7515230886638165,0.7064454760402441
0,0_1,RUNNING,Sobol,True,1712.1935923102346,-15712.583132573734,1.4000000000000001,1.9000000000000001,2.2,7,3.651733834296465,0.9951676558703184
0,0_10,RUNNING,Sobol,True,1434.6805447325453,-5980.148830473101,2.3000000000000003,4.7,2.0,2,1.4250645795837045,0.9058379400521517
0,0_11,RUNNING,Sobol,True,1975.115977873519,-15863.850538015207,5.0,2.4000000000000004,0.8,7,2.586006353609264,0.13009501621127129
0,0_12,RUNNING,Sobol,True,1478.326565889989,-13861.04373417961,4.4,4.1000000000000005,1.3,6,3.148305704817176,0.35209767054766417
0,0_13,RUNNING,Sobol,True,1766.2959824187833,-6265.767008021276,2.9000000000000004,1.3,2.8000000000000003,2,1.237353190779686,0.6114809708669782
0,0_14,RUNNING,Sobol,True,1978.146156089142,-12025.930470736686,1.0,2.7,0.6000000000000001,5,2.165996693074703,0.8381475629284978
0,0_4,RUNNING,Sobol,True,2043.2012926441726,-11986.452302914311,4.6000000000000005,2.9000000000000004,1.8,5,1.0747646456584334,0.03562070336192846
0,0_5,RUNNING,Sobol,True,2481.695357529373,-10618.357425810891,2.2,0.1,1.0,4,2.9388224901631474,0.8113922337070107
0,0_6,RUNNING,Sobol,True,1272.6402892347783,-15819.952413215955,1.8,4.0,2.7,7,3.464445178397,0.5221817577257752
0,0_7,RUNNING,Sobol,True,1897.5619463094686,-8174.973938615644,3.4000000000000004,1.9000000000000001,1.5,3,2.328606723807752,0.2617894923314452
0,0_8,RUNNING,Sobol,True,1247.2246129906152,-9851.055420331246,3.1,3.6,2.4000000000000004,4,3.8172748712822795,0.41929977014660835
0,0_9,RUNNING,Sobol,True,2329.788889925405,-14128.423652566129,1.6,0.6000000000000001,1.7000000000000002,6,1.9782960498705506,0.6796596143394709
0,0_3,RUNNING,Sobol,True,2088.7080532923105,-12006.58296325965,4.2,1.1,2.9000000000000004,5,1.637475984171033,0.447029747068882
1,1_0,RUNNING,BoTorch,True,2374.998349154297,-6888.653989887722,5.0,0.0,0.5,2,1.0,1.0
1,1_1,RUNNING,BoTorch,True,2649.0589856434867,-12941.314317986737,1.3,0.0,0.5,5,1.0,0.0
2,2_0,RUNNING,BoTorch,True,2935.4413882071913,-16914.51258701844,1.0,0.0,0.5,7,1.0,1.0
2,2_1,RUNNING,BoTorch,True,2267.095885450009,-6908.361284100996,1.0,0.0,0.5,2,4.0,0.0
3,3_0,RUNNING,BoTorch,True,2284.828225662818,-6903.525774462997,1.0,0.0,0.5,2,1.0,1.0
3,3_1,RUNNING,BoTorch,True,3078.2424874791973,-16916.08601452132,5.0,0.0,0.5,7,1.0,1.0
4,4_0,RUNNING,BoTorch,True,1833.6483808175951,-6245.006518849861,5.0,3.1,1.1,2,1.0,1.0
4,4_1,RUNNING,BoTorch,True,1719.0232710472753,-6199.033835022998,5.0,3.2,1.3,2,1.1591565026696609,1.0
5,5_0,RUNNING,BoTorch,True,1930.9856932943135,-6491.419927124278,5.0,0.0,2.6,2,4.0,1.0
5,5_1,RUNNING,BoTorch,True,2354.763423524134,-6875.111463995597,5.0,0.0,0.5,2,4.0,1.0
6,6_0,RUNNING,BoTorch,True,2370.7299046525836,-6876.964717099191,5.0,0.0,0.5,2,1.0,0.0
6,6_1,RUNNING,BoTorch,True,2783.222273581147,-12927.6724895976,5.0,0.0,0.5,5,1.0,1.0
7,7_0,RUNNING,BoTorch,True,2358.0833891033967,-6889.436463836539,5.0,0.0,0.5,2,2.843086257717932,0.6443376387149264
7,7_1,RUNNING,BoTorch,True,1700.85386521746,-6166.28702558657,1.0,3.8000000000000003,1.3,2,1.0,1.0
8,8_0,RUNNING,BoTorch,True,1439.814505235806,-5975.507839099496,1.0,4.9,3.0,2,1.0,1.0
8,8_1,RUNNING,BoTorch,True,3120.7729402706555,-16893.895159175576,5.0,0.0,0.5,7,4.0,1.0
9,9_0,RUNNING,BoTorch,True,2919.0908159711385,-14932.106843705518,5.0,0.0,0.5,6,3.959602188168783,1.0
9,9_1,RUNNING,BoTorch,True,1926.9936433532866,-6351.331640952198,5.0,0.0,3.0,2,1.0,0.0
10,10_0,RUNNING,BoTorch,True,1763.7542405437364,-6145.686569911951,5.0,2.2,3.0,2,1.0,1.0
10,10_1,RUNNING,BoTorch,True,1510.001524600367,-6051.574278035987,1.0,4.6000000000000005,2.7,2,1.0,1.0
11,11_0,RUNNING,BoTorch,True,1461.8066396230893,-6140.762615439706,1.0,4.3,2.9000000000000004,2,1.0,1.0
11,11_1,RUNNING,BoTorch,True,1685.542757391542,-6134.275869341709,5.0,2.3000000000000003,3.0,2,1.0,1.0
12,12_0,RUNNING,BoTorch,True,3089.8144961826524,-16888.406862704524,5.0,0.0,0.5,7,3.389110406763061,1.0
12,12_1,RUNNING,BoTorch,True,951.6310176095506,-5948.6769663313935,1.0,5.0,2.1,2,4.0,1.0
13,13_0,RUNNING,BoTorch,True,1722.8544953309763,-6125.972481487357,5.0,1.8,3.0,2,1.0,1.0
13,13_1,RUNNING,BoTorch,True,1541.2261576598125,-6092.11560179954,1.0,5.0,2.1,2,1.0,1.0
14,14_0,RUNNING,BoTorch,True,2443.949883648212,-8856.495967254852,5.0,0.1,0.5,3,1.0,0.9127204272550846
14,14_1,RUNNING,BoTorch,True,2598.420221946804,-10850.618585275206,5.0,0.1,0.5,4,1.0,1.0
15,15_0,RUNNING,BoTorch,True,3071.0528563060066,-16890.492463497754,5.0,0.0,0.5,7,4.0,0.8048760470632192
15,15_1,RUNNING,BoTorch,True,1566.7135152053488,-6203.685694918759,5.0,5.0,3.0,2,1.0,1.0
16,16_0,RUNNING,BoTorch,True,1637.356713532747,-6099.927580250626,4.2,2.1,3.0,2,1.0,0.0
16,16_1,RUNNING,BoTorch,True,1909.255973424932,-6388.748544051274,5.0,0.0,3.0,2,1.0,1.0
17,17_0,RUNNING,BoTorch,True,1629.6244061014195,-6059.145282363574,5.0,1.1,3.0,2,4.0,0.0
17,17_1,RUNNING,BoTorch,True,1513.0527568980353,-6091.967557006149,2.2,5.0,2.3000000000000003,2,1.0,1.0
18,18_0,RUNNING,BoTorch,True,3050.7188914265244,-16904.17133269038,4.4,0.0,0.5,7,4.0,1.0
18,18_1,RUNNING,BoTorch,True,1452.4216765067051,-6181.439428766409,1.0,5.0,3.0,2,1.0,0.0
19,19_0,RUNNING,BoTorch,True,1599.933331083933,-6036.300611690198,5.0,2.1,3.0,2,2.061479244636452,1.0
19,19_1,RUNNING,BoTorch,True,1518.4171005571561,-6085.480451346145,2.7,1.2000000000000002,3.0,2,4.0,0.0
20,20_0,RUNNING,BoTorch,True,1718.6260930829646,-6201.960146685384,5.0,2.1,3.0,2,1.0,1.0
20,20_1,RUNNING,BoTorch,True,1922.85036109165,-6440.71097412743,5.0,2.1,0.5,2,1.0,1.0
21,21_0,RUNNING,BoTorch,True,3036.497597184853,-16627.08515123674,5.0,0.1,0.5,7,4.0,1.0
21,21_1,RUNNING,BoTorch,True,1194.6343068518509,-6044.023682226802,4.7,2.9000000000000004,3.0,2,3.7120917276760226,0.0
22,22_0,RUNNING,BoTorch,True,1690.7285792659575,-6274.559140553351,1.0,0.4,3.0,2,4.0,0.0
22,22_1,RUNNING,BoTorch,True,2641.005247991712,-10936.678130230754,5.0,0.0,0.5,4,1.0,1.0
23,23_0,RUNNING,BoTorch,True,2460.7560174707123,-8926.362673071246,5.0,0.0,0.5,3,1.0,1.0
23,23_1,RUNNING,BoTorch,True,1271.7941951974217,-5979.135660292678,1.0,4.0,0.5,2,3.295737234680648,1.0
24,24_0,RUNNING,BoTorch,True,1892.4401840768508,-6309.018295848617,5.0,0.8,3.0,2,1.0,0.0
24,24_1,RUNNING,BoTorch,True,2071.6215103754125,-15984.479604045371,5.0,5.0,0.5,7,1.0,1.0
25,25_0,RUNNING,BoTorch,True,1463.5354277902716,-6098.722948330944,1.0,3.0,0.5,2,2.6726183290329026,1.0
25,25_1,RUNNING,BoTorch,True,2852.314558753952,-16346.99030972825,5.0,0.9,0.5,7,1.0,1.0
26,26_0,RUNNING,BoTorch,True,2746.8296347529317,-16142.165818999249,5.0,1.3,0.5,7,1.0,1.0
26,26_1,RUNNING,BoTorch,True,1681.2286246157714,-6197.204361706918,5.0,1.0,3.0,2,2.2465431970492142,1.0
27,27_0,RUNNING,BoTorch,True,1864.3139706445183,-6320.1603877386715,5.0,0.6000000000000001,3.0,2,1.5309584877666285,0.0
27,27_1,RUNNING,BoTorch,True,2489.6073792896054,-8912.151614142407,5.0,0.0,0.5,3,4.0,1.0
28,28_0,RUNNING,BoTorch,True,1628.6035660270086,-6094.628554508051,5.0,1.4000000000000001,3.0,2,2.625305750591303,0.0
28,28_1,RUNNING,BoTorch,True,1608.371788677759,-6114.170517641554,1.0,5.0,1.5,2,1.0,1.0
29,29_0,RUNNING,BoTorch,True,1565.9927208827753,-6141.494520420564,1.0,1.7000000000000002,3.0,2,2.5189538149357387,1.0
29,29_1,RUNNING,BoTorch,True,2617.443980979872,-10929.715437597304,5.0,0.0,0.5,4,2.1703309816259093,1.0
30,30_0,RUNNING,BoTorch,True,1821.6361990234132,-6180.9072473214865,5.0,1.4000000000000001,3.0,2,1.0,0.0
30,30_1,RUNNING,BoTorch,True,1817.2189032570022,-6310.072331459768,5.0,0.9,3.0,2,1.0,0.0
