Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Off-Peak fare factor,Fixed to micro factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
4,1.25,1,2,1.92972374,0.451949984,0.017431576,0.066192299,-6619.076665,1967.461265,3250,0.863672602,513,0.136327398,314,0.083444061,434,6,0.001594472,79,120,0.03188945,469,73,0.019399415,3157.555102,4080.789213,86.94953394,532.3181152,619.2676491,38.86842491,38.86842491,8.176200685,9.169175962,12.90268356,16.84243426,8.175459507,34.73024363,12.66924442,5.986439506,2.00333232,3.114126145,1385.298954,0.3057746,1.375499006,1.100627012,1.575744654,0.426245832,2004.566603,4675.432124,668,532.7497451,996.835443,359.7724373,46.87035363,4530.457906,592.7515168,434.039346,0.732245019,1532.748979,88.41301548,0.057682645,6655.958401,122.0897208,196.6180473,2240.969888,4949.575317,52.72589364,0.505622147,28.84422184
0.25,4.25,2.75,6,2.966184135,0.774596714,0.636383983,0.682385354,-13771.36961,1359.703652,3385,0.899548233,378,0.100451767,97,0.025777305,125,133,0.03534414,178,124,0.032952432,297,24,0.00637789,3157.555102,11765.11716,45.41192663,1105.890719,1151.302646,17.48395042,19.82256799,85.27381151,88.09278048,45.45006473,54.21799061,83.62505979,17.22451663,44.69112438,49.92638158,2.030432391,7.886262858,1434.110423,0.3057746,9.139592721,0.28924794,4.532687582,0.423666299,2585.413069,4487.369446,88,180,450,535.3785042,44.1687266,4690.090095,213.4988778,127.4645001,0.597026558,1532.748979,180.6810166,0.11788037,6436.337952,123.6023942,525.8152807,4946.047451,6387.63984,6.991277833,0.595811172,26.4642657
1.75,0.25,0.25,3,3.367127575,0.579201612,0.260112227,0.920003472,-8783.138697,2284.387903,3024,0.803614138,739,0.196385862,604,0.160510231,618,16,0.004251927,30,105,0.027903269,698,14,0.003720436,3157.555102,6128.795231,52.5,450.711636,503.211636,103.5018367,103.5018367,9.187837532,9.187837532,13.55422638,13.85353107,6.671714618,94.174802,9.935235515,6.211783079,2.025807973,3.589596574,1275.803201,0.3057746,0.729306854,1.75,0.793709205,0.421892593,1779.014837,4785.859593,1005,522.3084032,480,249.8504081,48.44321802,4172.364876,914.0827235,851.0681166,0.931062468,1532.748979,32.971188,0.021511147,6619.196579,120.7837929,198.0351723,2284.470657,4913.318849,53.41700749,0.619305296,28.97840893
3,2.75,1.75,4,1.391817526,0.131828816,0.890790811,0.335028469,-10162.41489,2031.697371,3374,0.896625033,389,0.103374967,224,0.059526973,233,13,0.00345469,22,144,0.03826734,259,8,0.002125963,3157.555102,7958.055849,61.05085409,892.1452104,953.1960645,140.7501931,147.4525832,30.32579673,30.45651137,39.8526074,41.47924443,23.67794553,122.3746887,31.39252434,13.63507117,2.020229203,4.954943405,1441.522045,0.3057746,3.845453493,2.907183528,3.890596182,0.427244234,2394.71811,4496.333131,236,264.4630952,450,570.9200858,41.07452839,4714.328938,518.215897,298.4173872,0.575855332,1532.748979,25.30346986,0.016508554,6765.293814,113.8291966,225.1840608,3656.94541,6231.596101,23.25505095,0.575734494,28.06246228
3.25,0.75,2.75,5,1.298095854,0.30532095,0.382350066,0.826293522,-12322.57978,2575.119792,3197,0.849588095,566,0.150411905,415,0.110284348,417,7,0.001860218,9,142,0.037735849,374,2,0.000531491,3157.555102,10023.86139,29.25,829.5867121,858.8367121,347.5894558,347.5894558,22.04862032,22.04862032,28.92624361,29.06268815,15.75572304,303.8151351,20.75038784,10.23968299,2.040976797,5.069653632,1361.504139,0.3057746,1.989416576,3.25,2.025558283,0.425869296,2220.340852,4730.176826,514,329.8735252,450,394.8548449,41.0210311,4452.639753,897.9061839,583.5514278,0.649902449,1532.748979,10.29673884,0.006717825,6883.294916,111.5422127,198.224524,2972.350052,6092.209522,32.59736211,0.656217968,27.84910341
2,3.75,1.25,4,3.834556042,0.983650535,0.77926418,0.428814705,-10010.70356,1295.905603,3466,0.921073611,297,0.078926389,91,0.024182833,120,27,0.007175126,50,156,0.041456285,220,23,0.006112145,3157.555102,7858.917932,96.58310604,909.1863694,1005.769475,61.21943992,61.21943992,57.91442969,60.96255757,58.88649152,70.99789758,62.11760812,54.15622391,59.44550047,35.97662122,1.99704716,5.800204471,1482.628701,0.3057746,7.97531903,1.931662121,7.133116847,0.427763618,2488.398176,4438.092161,93,188.0001051,450,752.9799994,46.01544441,4848.763439,193.1735479,111.8802184,0.579169455,1532.748979,56.5211489,0.036875672,6574.685966,128.7702757,463.1183462,4648.536513,6368.3956,9.37543938,0.567339501,27.14221534
1.25,2.5,2,5,2.873194706,0.663542951,0.152364966,0.159963274,-11949.3714,1881.382281,3337,0.886792453,426,0.113207547,201,0.053414829,320,23,0.006112145,105,123,0.032686686,263,79,0.020993888,3157.555102,9893.109002,84.49495099,1016.797754,1101.292705,29.26723953,30.12804069,27.73847265,31.7011116,28.116168,39.4368693,33.76496855,28.34600451,32.18272535,18.91757253,2.004933745,5.96883975,1421.105813,0.3057746,3.631420551,0.828381872,3.63462939,0.425863294,2522.398518,4561.273533,230,192.1728092,454.2857143,549.9450807,40.1765434,4647.560042,469.2098435,262.8852218,0.56027218,1532.748979,108.4124625,0.070730735,6649.518864,112.1479427,254.2610817,3841.619299,6262.540466,18.10144801,0.529446559,27.41768006
5,4.75,0.25,2,2.397884835,0.109938942,0.506302427,0.588660146,-6167.880415,1433.776073,3366,0.89449907,397,0.10550093,227,0.060324209,245,7,0.001860218,21,149,0.039596067,335,14,0.003720436,3157.555102,4017.425618,111.2062085,895.8940967,1007.100305,145.064233,145.064233,12.74094499,12.95241295,23.18752036,24.87048554,10.6630923,129.6064935,19.50340873,8.107831392,1.987506718,3.216205021,1440.841067,0.3057746,3.717402891,5.295533737,4.060888327,0.428057358,2447.941372,4513.012173,338,419.7121092,450,520.4855129,48.43406856,4712.101878,385.0020271,292.741677,0.760363989,1532.748979,23.50460082,0.015334932,6629.852884,130.9434378,210.5197323,2968.264929,5715.473614,34.55651024,0.571830549,28.61661895
4.75,0,2,4,3.218120348,0.216437896,0.473686397,0.79132019,-10732.58558,2508.46494,3059,0.812915227,704,0.187084773,585,0.155461068,586,4,0.001062982,5,114,0.030294977,623,1,0.000265745,3157.555102,8153.940933,23.75,555.1604574,578.9104574,626.7610204,626.7610204,12.96720218,12.96720218,18.16004328,18.19082301,8.094245599,694.9665148,11.37773417,6.548064465,2.044565121,3.985051807,1268.22982,0.3057746,0.947372794,4.75,0.981204165,0.414589676,1847.140277,4824.249233,990,522.6629289,450,251.1150902,43.45686144,4147.59702,1160.462075,938.78798,0.808977734,1532.748979,4.509289347,0.002941962,6840.808074,108.5482877,198.0875664,2287.601833,5042.713675,50.45197029,0.699616019,28.84289916
0.75,2.75,0.5,5,2.005902519,0.510032616,0.874510399,0.456340895,-11972.63382,1955.061634,3285,0.872973691,478,0.127026309,241,0.064044645,292,61,0.01621047,105,135,0.035875631,312,41,0.010895562,3157.555102,9908.699586,77.04729545,1016.573577,1093.620873,29.33816958,30.20105693,30.45248633,31.53236173,30.1577678,34.90563795,29.98845542,25.89960238,28.81787055,17.08951167,2.009792763,5.831560439,1401.103577,0.3057746,3.604870842,0.755365642,3.188399046,0.426515549,2494.72445,4641.770597,228,197.4083855,450,539.1906509,46.72985641,4582.145074,520.3265127,296.5183063,0.569869686,1532.748979,118.9403513,0.077599368,6635.220565,130.6632635,241.0859902,3858.191298,6283.703722,19.64084783,0.55431492,27.51494927
