trial_index,arm_name,trial_status,generation_method,is_feasible,Total mob. Logsum increase with micro,Total subsidy ($),Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Off-Peak fare factor,Fixed to micro factor,Micro to fixed factor
0,0_0,RUNNING,Sobol,True,1967.4612647874837,-6619.076665303475,4.0,1.25,1.0,2,1.9297237396240234,0.45194998383522034,0.017431575804948807,0.06619229912757874
0,0_2,RUNNING,Sobol,True,2284.3879031259803,-8783.138696506163,1.75,0.25,0.25,3,3.367127574980259,0.5792016116902232,0.26011222694069147,0.9200034718960524
0,0_1,RUNNING,Sobol,True,1359.7036518140005,-13771.369613695937,0.25,4.25,2.75,6,2.966184134595096,0.7745967144146562,0.6363839833065867,0.6823853543028235
0,0_10,RUNNING,Sobol,True,1878.579777637788,-6426.447604161581,2.25,1.5,3.0,2,1.702347667887807,0.8148809494450688,0.24858578015118837,0.19493623077869415
0,0_11,RUNNING,Sobol,True,1460.3203567218504,-13899.427062119363,3.5,4.0,1.5,6,3.478462397120893,0.39607332553714514,0.5986211020499468,0.5611326256766915
0,0_13,RUNNING,Sobol,True,1673.8076545316235,-8101.9666547364,1.25,5.0,1.75,3,1.0461608925834298,0.746246499940753,0.727664778009057,0.7173578338697553
0,0_14,RUNNING,Sobol,True,2249.2650090072443,-10341.561933528359,0.5,1.0,0.75,4,2.2865512650460005,0.9258949942886829,0.3523639217019081,0.9475301392376423
0,0_12,RUNNING,Sobol,True,2123.5506480038785,-14204.797941597259,2.5,2.0,0.0,6,3.7583789005875587,0.042770665138959885,0.11261510569602251,0.038665253669023514
0,0_3,RUNNING,Sobol,True,2031.6973710621094,-10162.414885895601,3.0,2.75,1.75,4,1.391817525960505,0.13182881567627192,0.8907908108085394,0.33502846863120794
0,0_4,RUNNING,Sobol,True,2575.119792419025,-12322.57977583541,3.25,0.75,2.75,5,1.298095853999257,0.3053209502249956,0.3823500657454133,0.8262935224920511
0,0_6,RUNNING,Sobol,True,1881.3822814148016,-11949.371398898344,1.25,2.5,2.0,5,2.873194705694914,0.6635429505258799,0.15236496552824974,0.15996327437460423
0,0_7,RUNNING,Sobol,True,1433.7760731017552,-6167.880414941303,5.0,4.75,0.25,2,2.3978848354890943,0.10993894189596176,0.5063024265691638,0.5886601461097598
0,0_8,RUNNING,Sobol,True,2508.464940403757,-10732.585577315947,4.75,0.0,2.0,4,3.2181203477084637,0.2164378957822919,0.4736863970756531,0.791320189833641
0,0_9,RUNNING,Sobol,True,1955.061633922579,-11972.633815411671,0.75,2.75,0.5,5,2.005902518518269,0.5100326156243682,0.8745103990659118,0.4563408950343728
0,0_5,RUNNING,Sobol,True,1295.9056030816462,-10010.703558530422,2.0,3.75,1.25,4,3.834556042216718,0.9836505353450775,0.7792641799896955,0.4288147045299411
1,1_0,RUNNING,BoTorch,True,1862.155096556764,-6460.1702133192975,0.0,0.0,3.0,2,1.0,0.0,1.0,1.0
1,1_1,RUNNING,BoTorch,True,2964.184802273029,-13353.551313958942,5.0,0.0,0.0,5,1.0,0.0,0.38507459101617386,1.0
2,2_0,RUNNING,BoTorch,True,2692.5807174987867,-7223.774384582333,5.0,0.0,0.0,2,1.0,1.0,0.5375466137462012,1.0
2,2_1,RUNNING,BoTorch,True,3097.3998308633963,-15385.091269763027,5.0,0.0,0.0,6,1.0,0.0,0.0,1.0
3,3_0,RUNNING,BoTorch,True,1874.440895386294,-6432.683907627985,4.5,5.0,0.0,2,1.0,0.06336995034339528,1.0,0.0
3,3_1,RUNNING,BoTorch,True,3076.495416723705,-15387.97022519543,5.0,0.0,0.0,6,1.0,1.0,0.23283307009715995,1.0
4,4_0,RUNNING,BoTorch,True,2031.7343273878696,-6575.326710643238,5.0,1.75,2.75,2,1.0,0.32037567226639135,0.0,1.0
4,4_1,RUNNING,BoTorch,True,2737.339028347719,-9274.21535492545,5.0,0.0,0.0,3,1.0,1.0,0.0,1.0
5,5_0,RUNNING,BoTorch,True,1765.3264618565902,-6895.678964364353,0.0,5.0,0.0,2,1.0,0.0,0.0,1.0
5,5_1,RUNNING,BoTorch,True,3052.5420444534725,-15387.780807994524,5.0,0.0,0.0,6,1.0,0.0,0.41263568389408106,0.0
6,6_0,RUNNING,BoTorch,True,1587.2393755173812,-6062.98487991439,4.75,5.0,3.0,2,1.0,0.0,1.0,0.0
6,6_1,RUNNING,BoTorch,True,2676.239886887841,-7231.023167451685,5.0,0.0,0.0,2,1.0,1.0,1.0,1.0
7,7_0,RUNNING,BoTorch,True,2064.539909320601,-6563.592211298877,5.0,0.0,3.0,2,4.0,1.0,0.6065465195017048,0.0
7,7_1,RUNNING,BoTorch,True,1452.9721097347308,-6087.676294838906,4.75,5.0,3.0,2,1.0,1.0,0.8361406794628807,0.0
8,8_0,RUNNING,BoTorch,True,2755.324234351063,-9276.281226702642,5.0,0.0,0.0,3,1.0,1.0,0.5472076959243797,1.0
8,8_1,RUNNING,BoTorch,True,1902.8955747121672,-6416.632366360349,3.5,0.5,3.0,2,1.0,1.0,0.6883855802926496,0.4816286720907732
9,9_0,RUNNING,BoTorch,True,2634.704963008867,-7229.194957997273,2.5,0.0,0.0,2,1.0,0.0,1.0,1.0
9,9_1,RUNNING,BoTorch,True,2878.564256337013,-15411.501808423087,0.0,0.0,0.0,6,1.0,0.0,0.0,1.0
