Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Off-Peak fare factor,Fixed to micro factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
5.0,0.0,0.0,7.0,1.0,0.0,0.0,0.5397592,-17394.771,3259.0234,2560.0,0.6803083,1203.0,0.31969175,1126.0,0.29922932,1129.0,3.0,0.0007972362,7.0,71.0,0.018867925,977.0,3.0,0.0007972362,3157.5552,14272.216,35.0,0.0,35.0,446.0793,520.42584,12.641467,12.641467,15.312299,15.3664055,8.02046,643.2753,9.748628,6.9960017,2.0372255,4.8686633,1034.4724,0.3057746,0.0,5.8333335,0.030918729,0.40409082,1069.4724,4240.6978,1682.0,488.79,450.0,150.56831,40.862568,3383.121,2040.0532,1779.4761,0.8722694,1532.749,4.8541503,0.003166957,6955.9233,93.64984,197.80681,2275.451,5047.2026,52.01016,0.7582943,28.618107
5.0,0.0,0.0,6.0,1.0,0.4681405,0.28347486,0.0,-15392.191,3131.0632,2592.0,0.68881214,1171.0,0.3111879,1085.0,0.28833377,1094.0,3.0,0.0007972362,12.0,74.0,0.019665161,998.0,9.0,0.0023917088,3157.5552,12264.636,30.0,0.0,30.0,260.62958,260.62958,11.210819,11.210819,13.91699,14.031168,7.2004538,305.45657,8.982615,6.6249986,2.0404875,4.5484996,1056.0381,0.3057746,0.0,2.5,0.027347311,0.40742213,1086.0381,4260.0347,1699.0,505.75674,712.5,152.8395,42.370506,3453.649,1851.2662,1703.3143,0.9200807,1532.749,10.238952,0.0066801226,6837.664,96.15322,197.92178,2275.8384,4917.815,54.404236,0.73059195,28.854454
4.5,0.0,0.0,6.0,1.0,0.0,0.5244813,0.0,-15391.39,3086.2651,2593.0,0.68907785,1170.0,0.31092215,1078.0,0.28647357,1088.0,3.0,0.0007972362,13.0,79.0,0.020993888,983.0,10.0,0.0026574542,3157.5552,12260.835,27.0,0.0,27.0,240.81194,240.81194,11.26915,11.26915,13.979464,14.107598,7.1551943,255.54865,8.91837,6.6678376,2.0424447,4.565077,1050.9174,0.3057746,0.0,2.0769231,0.024747938,0.40529016,1077.9174,4277.8833,1650.0,504.70352,588.46155,163.44441,44.629406,3436.902,1838.8022,1713.5571,0.9318877,1532.749,12.250329,0.0079923915,6808.453,104.6966,198.11456,2284.7942,4926.889,53.843998,0.7296248,28.994642
5.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,-15385.667,3070.4001,2619.0,0.6959872,1144.0,0.30401275,1061.0,0.2819559,1064.0,3.0,0.0007972362,6.0,77.0,0.020462397,989.0,3.0,0.0007972362,3157.5552,12258.112,30.0,0.0,30.0,521.25916,521.25916,11.520782,11.520782,14.379128,14.419557,7.276925,583.50494,9.104602,6.698877,2.0404875,4.5754933,1064.3955,0.3057746,0.0,5.0,0.028116213,0.40641296,1094.3955,4265.302,1614.0,501.31937,450.0,155.29497,42.66298,3480.981,1829.8757,1684.5181,0.92056423,1532.749,5.3599463,0.0034969498,6843.6055,97.02904,197.95576,2277.7988,4923.57,53.25919,0.7333354,29.14129
5.0,0.0,1.7,5.0,1.0,0.0,0.0,0.0,-13357.019,2990.5269,2651.0,0.7044911,1112.0,0.2955089,1018.0,0.27052882,1029.0,4.0,0.0010629817,15.0,79.0,0.020993888,985.0,11.0,0.0029231997,3157.5552,10244.464,45.0,0.0,45.0,207.50368,207.50368,9.955747,9.955747,12.794079,12.930318,6.29599,206.58942,8.133576,6.319095,2.0307012,4.2350254,1076.5759,0.3057746,0.0,3.0,0.04356244,0.4061018,1121.5759,4271.4585,1621.0,522.3841,630.0,170.3966,46.622406,3520.8152,1621.1915,1627.141,1.0036697,1532.749,15.066382,0.009829648,6674.756,108.18495,197.95744,2279.8606,4870.804,56.18534,0.7218312,29.291193
5.0,0.0,1.6,4.0,1.0,0.0,0.0,0.0,-11337.997,2854.881,2683.0,0.71299493,1080.0,0.28700504,989.0,0.2628222,1000.0,2.0,0.00053149083,13.0,78.0,0.020728143,1004.0,11.0,0.0029231997,3157.5552,8210.441,30.0,0.0,30.0,240.58116,240.58116,8.210442,8.210442,11.192494,11.315366,5.126329,306.1999,7.0342116,6.101193,2.0404875,3.938911,1086.3003,0.3057746,0.0,2.3076923,0.029940119,0.4048827,1116.3003,4291.5522,1555.0,526.1227,623.0769,168.49512,46.991413,3552.618,1345.7109,1601.6221,1.190168,1532.749,10.214096,0.006663907,6431.0776,109.408035,197.92984,2277.559,4854.9136,57.848995,0.7052703,29.493933
5.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,-11326.767,2850.8452,2710.0,0.7201701,1053.0,0.27982992,971.0,0.2580388,987.0,1.0,0.00026574542,17.0,65.0,0.017273452,983.0,16.0,0.0042519267,3157.5552,8214.212,45.0,0.0,45.0,183.09148,183.09148,8.322403,8.322403,11.28164,11.464339,5.230367,193.56133,7.1391754,6.048436,2.0307012,3.9181836,1095.6217,0.3057746,0.0,2.6470587,0.045546558,0.40428844,1140.6217,4283.5073,1594.0,534.3813,582.35297,157.27252,42.944138,3583.1025,1358.072,1570.4847,1.1564076,1532.749,16.08046,0.010491255,6473.9233,98.39522,197.99644,2282.553,4861.1436,58.214325,0.7071577,29.468369
5.0,0.0,0.0,3.0,1.0,0.0,0.3916974,0.0,-9274.966,2751.335,2685.0,0.7135264,1078.0,0.28647357,991.0,0.2633537,1006.0,2.0,0.00053149083,17.0,70.0,0.01860218,1001.0,15.0,0.003986181,3157.5552,6172.411,55.0,0.0,55.0,182.50323,182.50323,6.135597,6.135597,9.066438,9.201355,3.8762739,189.76436,5.7654815,5.8390856,2.0241768,3.5812972,1086.7994,0.3057746,0.0,3.235294,0.054563493,0.404767,1141.7994,4321.1465,1623.0,531.0487,608.82355,166.50394,46.297344,3554.25,1057.0852,1592.3568,1.5063655,1532.749,16.349514,0.010666791,6144.0845,107.35425,197.92836,2281.6555,4855.1577,60.141132,0.6877764,29.622719
5.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,-9267.328,2750.3467,2671.0,0.709806,1092.0,0.290194,988.0,0.26255646,1004.0,4.0,0.0010629817,20.0,84.0,0.022322616,1045.0,16.0,0.0042519267,3157.5552,6169.773,60.0,0.0,60.0,154.87776,154.87776,6.1451926,6.1451926,9.050125,9.193778,3.849377,183.39465,5.721675,5.8847365,2.0209148,3.5903378,1083.6075,0.3057746,0.0,3.0,0.05952381,0.4056936,1143.6075,4309.184,1678.0,538.21967,562.5,172.15944,49.97406,3543.8115,1048.4365,1602.7979,1.5287504,1532.749,16.890106,0.011019486,6124.997,116.579895,197.8001,2274.1726,4844.8003,60.116543,0.7061898,29.443096
5.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,-7217.4556,2704.4807,2715.0,0.7214988,1048.0,0.27850118,960.0,0.2551156,977.0,4.0,0.0010629817,21.0,67.0,0.017804943,1012.0,17.0,0.004517672,3157.5552,4119.901,60.0,0.0,60.0,147.50262,147.50262,4.216889,4.216889,7.23192,7.3572435,2.645502,159.65901,4.5775013,5.7142615,2.0209148,3.2024424,1099.0374,0.3057746,0.0,2.857143,0.06116208,0.404802,1159.0374,4311.403,1617.0,528.4725,578.5714,162.39987,45.65241,3594.273,720.9857,1557.3228,2.1599913,1532.749,19.401066,0.012657694,5848.008,105.54525,198.34863,2294.9805,4876.9614,61.171867,0.6973128,29.797932
