Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
1.75,0.0,0.0,8.0,-19429.66,3226.714,2509.0,0.66675526,1254.0,0.33324474,1170.0,0.31092215,1177.0,6.0,0.0015944724,13.0,71.0,0.018867925,1012.0,7.0,0.0018602179,3157.5552,16294.856,22.75,0.0,22.75,241.13885,241.13885,13.844398,13.844398,16.327446,16.424059,8.706841,222.07956,10.304146,7.1524625,2.0452175,5.0983567,1004.157,0.3057746,0.0,1.75,0.01923077,0.40022197,1026.907,4227.388,1688.0,471.2404,450.0,147.01753,41.32826,3283.9775,2278.2163,1871.5002,0.82147616,1532.749,14.115685,0.009209392,7094.943,92.87202,197.92827,2281.4949,5067.2344,50.320038,0.74804497,28.763126
5.0,0.0,0.0,7.0,-17414.191,3217.5613,2582.0,0.68615466,1181.0,0.31384534,1098.0,0.29178846,1100.0,2.0,0.00053149083,4.0,79.0,0.020993888,984.0,2.0,0.00053149083,3157.5552,14276.637,20.0,0.0,20.0,784.3888,784.3888,12.978761,12.978761,15.773725,15.802352,8.261491,775.1623,10.053558,6.9488,2.0470116,4.8544064,1050.2858,0.3057746,0.0,5.0,0.01814882,0.40677217,1070.2858,4259.0947,1601.0,496.5449,450.0,149.80981,40.948017,3434.8364,2054.547,1728.0945,0.8411073,1532.749,4.0476108,0.0026407526,7022.1323,93.97031,197.79819,2271.272,4981.223,52.180965,0.7372738,28.635857
2.0,0.0,0.0,7.0,-17411.682,3146.717,2571.0,0.6832315,1192.0,0.31676853,1113.0,0.29577464,1117.0,9.0,0.0023917088,13.0,66.0,0.017539198,975.0,4.0,0.0010629817,3157.5552,14280.126,26.0,0.0,26.0,240.88885,240.88885,12.784356,12.784356,15.408567,15.4633045,8.075923,260.10275,9.780336,6.9120097,2.0430973,4.838276,1035.1919,0.3057746,0.0,2.0,0.023090586,0.4026417,1061.1919,4245.6616,1636.0,489.36853,450.0,152.05582,41.181786,3385.4736,2065.9875,1768.2346,0.8558786,1532.749,12.039684,0.007854962,6984.2104,94.7764,197.95596,2276.7795,5016.5894,51.977814,0.7359751,28.88575
2.25,0.0,0.0,7.0,-17411.457,3126.0771,2520.0,0.66967845,1243.0,0.33032155,1154.0,0.30667022,1160.0,6.0,0.0015944724,12.0,77.0,0.020462397,1055.0,6.0,0.0015944724,3157.5552,14280.901,27.0,0.0,27.0,260.87958,260.87958,12.311122,12.311122,14.856192,14.932638,7.855514,272.2878,9.517352,6.903891,2.0424447,4.834799,1020.5318,0.3057746,0.0,2.25,0.02315609,0.40497294,1047.5317,4268.4087,1730.0,489.58502,450.0,147.7705,43.304962,3337.5295,2068.5293,1817.946,0.8788592,1532.749,11.497228,0.0075010504,6938.808,97.824524,197.86218,2275.796,4977.185,52.466694,0.7421248,28.775251
5.0,0.0,0.0,6.0,-15387.508,3079.1975,2604.0,0.69200104,1159.0,0.30799893,1080.0,0.28700504,1084.0,3.0,0.0007972362,7.0,72.0,0.01913367,1004.0,4.0,0.0010629817,3157.5552,12264.952,35.0,0.0,35.0,446.0793,446.0793,11.314531,11.314531,14.10404,14.155941,7.134024,575.4342,8.922126,6.621463,2.0372255,4.5457234,1051.9917,0.3057746,0.0,5.0,0.032198712,0.40399066,1086.9917,4262.5273,1647.0,502.14206,450.0,165.30896,46.102833,3440.4155,1852.3026,1719.2194,0.92815256,1532.749,5.426433,0.0035403273,6825.4673,106.537384,197.83932,2274.887,4896.7856,53.996815,0.74420047,29.0989
5.0,0.0,0.0,5.0,-13350.125,2950.7268,2623.0,0.6970502,1140.0,0.3029498,1063.0,0.28248736,1068.0,5.0,0.0013287271,10.0,67.0,0.017804943,1025.0,5.0,0.0013287271,3157.5552,10242.57,50.0,0.0,50.0,310.75552,310.75552,9.590422,9.590422,12.384161,12.441869,6.059822,295.87213,7.849571,6.342211,2.027439,4.241187,1062.7806,0.3057746,0.0,5.0,0.046598323,0.4051775,1112.7806,4285.231,1671.0,507.41605,450.0,152.92155,43.540165,3475.6995,1614.9843,1690.2428,1.0466002,1532.749,10.503034,0.0068524163,6623.4326,100.29091,197.96852,2280.7983,4860.099,56.077957,0.71706814,29.264797
2.0,0.0,0.0,4.0,-11327.909,2799.8572,2681.0,0.71246344,1082.0,0.28753653,979.0,0.26016477,990.0,9.0,0.0023917088,20.0,83.0,0.02205687,1034.0,11.0,0.0029231997,3157.5552,8210.354,40.0,0.0,40.0,155.87776,155.87776,8.293286,8.293286,11.215752,11.339248,5.2052794,157.40793,7.0927167,6.1024365,2.0339632,3.9358008,1088.4513,0.3057746,0.0,2.0,0.04004004,0.40598705,1128.4513,4309.105,1601.0,529.85736,450.0,165.01552,47.396126,3559.6523,1345.4222,1577.3129,1.1723553,1532.749,19.80558,0.012921606,6437.8237,109.01433,197.9735,2280.1194,4856.3423,58.4564,0.6969639,29.089281
2.0,0.0,0.0,3.0,-9290.62,2679.6035,2677.0,0.71140045,1086.0,0.28859952,984.0,0.2614935,997.0,7.0,0.0018602179,20.0,82.0,0.021791125,1095.0,13.0,0.0034546903,3157.5552,6173.0645,40.0,0.0,40.0,155.87776,155.87776,6.1916394,6.1916394,9.13532,9.253605,3.861395,159.55034,5.7413244,5.827888,2.0339632,3.5843751,1082.1072,0.3057746,0.0,2.0,0.03984064,0.4042238,1122.1072,4292.5566,1628.0,524.60297,472.5,169.79161,51.64495,3538.9045,1059.2285,1598.6619,1.5092702,1532.749,19.539633,0.012748097,6130.882,118.993256,198.08423,2282.8853,4855.5234,59.69905,0.71640706,29.781507
5.0,0.0,0.0,2.0,-7204.6567,2665.874,2702.0,0.7180441,1061.0,0.2819559,973.0,0.25857028,981.0,6.0,0.0015944724,15.0,74.0,0.019665161,1057.0,8.0,0.0021259633,3157.5552,4122.1016,75.0,0.0,75.0,205.50368,220.18251,4.201938,4.201938,7.233591,7.2995505,2.6272721,205.45404,4.5484805,5.66066,2.0111284,3.1865609,1096.3137,0.3057746,0.0,5.357143,0.075987846,0.40574154,1171.3137,4326.6025,1652.0,529.94336,450.0,169.62386,49.80345,3585.3655,728.2016,1568.9664,2.154577,1532.749,15.003624,0.009788703,5846.316,115.17758,197.80507,2277.46,4845.2754,61.308838,0.6677673,29.8914
4.75,0.5,0.0,2.0,-6794.754,2232.1106,3057.0,0.8123837,706.0,0.18761626,591.0,0.15705554,599.0,3.0,0.0007972362,11.0,104.0,0.027637523,693.0,8.0,0.0021259633,3157.5552,4107.24,52.25,417.79126,470.04126,282.30048,282.30048,6.159347,6.159347,11.138941,11.286967,4.4154215,290.33322,8.028984,5.429842,2.0259712,3.0714567,1287.0165,0.3057746,0.6974813,4.75,0.78079945,0.42100638,1757.0577,4841.806,1079.0,559.76373,450.0,262.85297,50.599197,4209.0366,679.4763,835.5825,1.2297449,1532.749,10.695659,0.006978089,6421.2617,126.50619,197.95596,2277.4153,4851.843,58.43116,0.6042631,29.365461
