trial_index,arm_name,trial_status,generation_method,is_feasible,Total mob. Logsum increase with micro,Total subsidy ($),Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size
0,0_0,RUNNING,Sobol,True,2383.5791277631374,-14077.84419850163,2.0,2.25,0.0,6
0,0_1,RUNNING,Sobol,True,1644.8874688772196,-7943.205970261501,4.75,4.75,1.75,3
0,0_10,RUNNING,Sobol,True,2166.5190493546756,-13924.558852944461,2.5,2.0,2.0,6
0,0_11,RUNNING,Sobol,True,1773.7092376719563,-9978.74465329749,0.5,5.0,0.5,4
0,0_12,RUNNING,Sobol,True,2211.2973098593657,-10206.819487490746,0.75,1.25,1.25,4
0,0_13,RUNNING,Sobol,True,1679.1908816985604,-13867.133569418746,3.5,4.25,2.75,6
0,0_14,RUNNING,Sobol,True,2232.110614848454,-6794.754107375046,4.75,0.5,0.0,2
0,0_2,RUNNING,Sobol,True,2648.72816789514,-18038.625857000963,3.5,0.5,1.5,8
0,0_3,RUNNING,Sobol,True,1597.9612979012747,-6121.117973973907,0.75,2.75,3.0,2
0,0_4,RUNNING,Sobol,True,2020.3024818010824,-8280.908322744788,0.0,1.0,2.25,3
0,0_5,RUNNING,Sobol,True,2142.0425698796084,-15930.320294553594,3.0,3.25,0.75,7
0,0_6,RUNNING,Sobol,True,2083.4987155823433,-11979.619307273562,4.5,1.5,2.5,5
0,0_7,RUNNING,Sobol,True,1867.323524160062,-11907.033571575199,1.25,4.0,0.75,5
0,0_8,RUNNING,Sobol,True,2504.926236755196,-16025.869865269215,1.75,0.0,2.75,7
0,0_9,RUNNING,Sobol,True,1879.7290140140449,-8006.095461493234,3.75,3.0,1.0,3
1,1_0,RUNNING,BoTorch,True,2737.9911624862234,-13399.277858234578,0.0,0.0,0.0,5
1,1_1,RUNNING,BoTorch,True,2976.660691101131,-17427.500140231645,0.0,0.0,0.0,7
2,2_0,RUNNING,BoTorch,True,2658.802591190556,-9299.42085087384,1.0,0.0,0.0,3
2,2_1,RUNNING,BoTorch,True,1588.3554786924255,-6098.424264095505,4.25,5.0,0.0,2
3,3_0,RUNNING,BoTorch,True,2625.4789319020665,-7234.0571524421875,2.25,0.0,0.0,2
3,3_1,RUNNING,BoTorch,True,3017.3294849117283,-15394.377670606296,2.0,0.0,0.0,6
4,4_0,RUNNING,BoTorch,True,2799.8572612275966,-11327.908896841465,2.0,0.0,0.0,4
4,4_1,RUNNING,BoTorch,True,1910.3854530752578,-6449.015049915036,2.5,2.0,0.5,2
5,5_0,RUNNING,BoTorch,True,3146.717069656062,-17411.681334653065,2.0,0.0,0.0,7
5,5_1,RUNNING,BoTorch,True,2877.6291039480834,-13370.243240286447,2.0,0.0,0.0,5
6,6_0,RUNNING,BoTorch,True,1719.6801875738934,-6129.86806762708,5.0,1.75,3.0,2
6,6_1,RUNNING,BoTorch,True,1552.1280699540362,-6085.745943387852,5.0,2.5,3.0,2
7,7_0,RUNNING,BoTorch,True,1824.961242277249,-6346.588832547037,3.5,0.75,3.0,2
7,7_1,RUNNING,BoTorch,True,1552.7333999640205,-6123.190959360949,5.0,4.75,0.5,2
8,8_0,RUNNING,BoTorch,True,3126.0770620553203,-17411.45656668003,2.25,0.0,0.0,7
