Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
3.9877477,0,0.70792055,7,3.2491703,0.09566541,17029.232,3054.4294,2754,0.7318629,1009,0.26813713,896,0.23810789,897,5,0.001328727,6,107,0.028434759,847,1,0.000265745,3157.5552,14213.106,23.926487,317.50238,341.42886,522.2714,522.2714,15.491198,15.491198,18.858507,18.879416,9.590914,637.0753,11.714013,7.526394,2.04445,5.039727,1123.8615,0.3057746,0.35396028,3.9877477,0.3785242,0.40808332,1465.2903,4725.904,1403,509.71304,450,189.20218,44.515068,3675.457,1846.2499,1448.8301,0.7847421,1532.749,4.9187727,0.003209118,7054.456,106.82667,198.14066,2326.5503,5276.954,46.475323,0.7436314,28.838549
4.15077,5.73E-13,0.9061125,7,3.2979598,0.06806869,16955.484,3047.0818,2796,0.7430242,967,0.25697583,845,0.22455488,846,1,0.000265745,2,120,0.03188945,783,1,0.000265745,3157.5552,14189.517,8.30154,383.28558,391.58713,1574.6268,1574.6268,16.319422,16.319422,19.994675,20.018282,10.25082,2921.1724,12.579001,7.8049517,2.054644,5.135449,1149.8988,0.3057746,0.45305625,4.15077,0.46232247,0.41126564,1541.4858,4785.5596,1314,490.1392,675,216.6095,47.112564,3760.6091,1768.9066,1346.8417,0.76139784,1532.749,1.0780786,0.000703363,7062.2646,116.08928,198.1597,2354.4849,5315.886,44.673077,0.7360281,28.738985
3.6364028,6.23E-14,1.1278502,7,3.5036871,0.07865623,16832.066,2970.4363,2852,0.7579059,911,0.24209407,790,0.20993888,792,9,0.002391709,13,110,0.029231995,768,2,0.000531491,3157.5552,14168.413,47.273235,446.62866,493.90192,239.25246,282.7529,17.325485,17.325485,20.909399,21.013815,10.718555,270.96384,13.0312605,8.072998,2.029218,5.207196,1167.0295,0.3057746,0.5639251,4.297567,0.61660665,0.4091969,1660.9315,4807.829,1258,488.9525,519.2308,207.81334,44.333515,3816.6335,1699.7135,1280.1897,0.7531797,1532.749,11.478586,0.007488889,7049.096,108.500854,198,2312.7122,5420.56,42.993076,0.73971784,28.593027
2.672688,0.045351475,0.48493043,6,3.0185738,0.20446846,15013.178,2831.4294,2852,0.7579059,911,0.24209407,808,0.21472229,812,4,0.001062982,8,95,0.025245814,846,4,0.001062982,3157.5552,12201.561,19.801777,326.13635,345.93814,392.21918,392.21918,14.624907,14.624907,18.308752,18.398502,9.477253,415.68375,11.909612,7.221473,2.047141,4.725272,1172.9768,0.3057746,0.40164575,2.475222,0.4239438,0.4112822,1518.915,4754.153,1404,558.5548,450,190.87283,44.855114,3836.0833,1644.4601,1253.0449,0.7619795,1532.749,7.5484147,0.004924756,7013.2925,105.959724,197.99493,2291.6458,5145.468,48.413784,0.7161391,28.69954
4.109852,0,0.8009642,6,3.4057505,0.058456186,14997.386,2757.591,2810,0.74674463,953,0.25325537,833,0.22136593,836,4,0.001062982,7,113,0.030029232,839,3,0.000797236,3157.5552,12203.402,28.768963,334.80304,363.572,446.96945,446.96945,14.196889,14.196889,17.790493,17.85403,8.934617,519.85284,11.239029,7.190916,2.0412905,4.711347,1155.3373,0.3057746,0.4004821,4.109852,0.4328238,0.41115203,1518.9093,4770.0366,1334,511.03192,578.5714,217.12029,50.60109,3778.395,1650.4989,1328.3835,0.8048376,1532.749,6.0185995,0.00392667,6961.643,123.85777,198.34662,2292.2183,4988.6846,47.908768,0.71720093,29.106611
2.791374,1.09E-16,0.703261,5,2.9324648,0.29346073,13055.1455,2655.571,2838,0.7541855,925,0.24581452,805,0.21392506,813,6,0.001594472,14,106,0.028169014,855,8,0.002125963,3157.5552,10222.545,39.079235,285.8756,324.95483,222.74828,222.74828,12.222225,12.222225,15.786149,15.940349,7.537433,243.18951,9.807547,6.4135365,2.034564,4.2358274,1158.5928,0.3057746,0.3516305,2.791374,0.39677027,0.4082427,1483.5476,4715.3853,1382,558.77576,450,208.3536,49.483982,3789.042,1549.3276,1318.3094,0.8508913,1532.749,12.823234,0.008366167,6871.1187,120.06591,198.4185,2299.8323,5020.199,53.698334,0.7039365,29.083704
2.791195,4.17E-17,0.56312835,4,2.9495397,0.2107287,11082.314,2473.359,2894,0.7690672,869,0.23093277,750,0.19930907,763,8,0.002125963,21,98,0.02604305,863,13,0.00345469,3157.5552,8198.208,58.615093,214.83347,273.44855,147.56857,147.56857,10.463138,10.463138,14.135605,14.373948,6.477026,164.50923,8.855895,6.114721,2.0218184,3.9044943,1185.0239,0.3057746,0.28156418,2.791195,0.3546674,0.40947613,1458.4724,4648.3745,1325,565.9881,450,208.10132,49.88651,3875.4817,1305.5991,1232.5679,0.94406307,1532.749,18.837482,0.012289999,6713.83,119.05496,197.77206,2272.0713,4865.339,56.1425,0.700963,29.29752
2.0575783,2.80E-13,0.5,3,3.6714275,0.0566553,9082.218,2315.4702,2882,0.76587826,881,0.23412171,760,0.20196651,774,11,0.0029232,25,96,0.02551156,906,14,0.003720436,3157.5552,6169.6025,51.439457,193.5,244.93945,124.24463,124.24463,7.7210627,7.7210627,11.3669815,11.569704,4.7106013,129.954,7.0265827,5.7030597,2.0265,3.5193863,1175.3281,0.3057746,0.25,2.0575783,0.3120248,0.40781686,1420.2676,4606.659,1342,496.1827,522,200.0358,50.342342,3843.773,1047.8766,1268.6495,1.2106861,1532.749,23.901657,0.01559398,6424.3984,119.917534,198.06374,2286.3215,4875.277,59.237724,0.688167,29.697931
2.1022763,0,0.49999967,3,3.6337414,0.05521477,9076.345,2304.0293,2878,0.76481533,885,0.2351847,765,0.20329525,780,11,0.0029232,26,94,0.024980068,908,15,0.003986181,3157.5552,6166.5786,52.789062,194.99988,247.78894,119.41408,119.41408,7.65587,7.65587,11.260974,11.47452,4.7218895,125.98049,7.039727,5.753173,2.0256193,3.530674,1175.9204,0.3057746,0.24999984,2.0303485,0.31326035,0.40858945,1423.7094,4604.295,1361,483.77994,484.6154,205.0635,51.721577,3845.7102,1037.9626,1264.6587,1.2184048,1532.749,24.644817,0.016078833,6416.422,124.97864,198.07458,2286.386,4876.171,58.845135,0.6931516,29.63336
4.097653,0,0.5,2,2.8234184,2.99E-13,7012.2295,2270.7363,2935,0.7799628,828,0.2200372,718,0.19080521,733,8,0.002125963,24,87,0.023119852,879,15,0.003986181,3157.5552,4119.8774,81.95306,183.25,265.20306,128.15009,133.72183,5.3705697,5.3705697,9.263183,9.463198,3.2838051,141.2103,5.7449937,5.4606395,2.006592,3.111487,1194.6561,0.3057746,0.25,3.5631764,0.35789886,0.40703785,1459.8591,4577.91,1355,470.325,506.25,218.29375,53.300056,3906.983,720.9096,1198.8005,1.6629,1532.749,21.780296,0.014209957,6160.6416,128.69135,197.9632,2281.4353,4856.388,60.210815,0.6924421,30.183126
2.765257,4.02E-16,1.7560186,2,2.841432,0.43761593,6770.9214,1948.0776,3139,0.8341749,624,0.16582514,483,0.12835504,496,11,0.0029232,24,117,0.031092213,636,13,0.00345469,3157.5552,4115.225,66.366165,435.4926,501.8588,128.79955,128.79955,7.418815,7.418815,13.021003,13.354875,4.6170616,145.83261,8.275562,5.21463,2.0167613,3.0248873,1306.2264,0.3057746,0.8780093,2.765257,0.9898595,0.41612822,1808.0852,4778.9087,920,470.93768,450,286.09183,50.54289,4271.8604,705.65546,796.9858,1.1294261,1532.749,21.196829,0.013829289,6510.265,129.82022,198.237,2293.6006,4888.19,58.336117,0.63761497,30.036835
4.130932,0,2.8902416,2,1.6918584,0.09693208,6639.7646,1941.7036,3224,0.85676324,539,0.14323679,378,0.10045177,386,8,0.002125963,16,145,0.038533084,491,8,0.002125963,3157.5552,4106.121,66.09491,557.81665,623.91156,193.21626,193.21626,9.192498,9.192498,16.516827,16.852194,5.8309927,208.63979,10.651878,5.2504735,2.0169384,3.0063834,1360.9508,0.3057746,1.4451208,4.130932,1.5835319,0.42213115,1984.8623,4752.587,679,486.6769,450,350.43857,47.79593,4450.83,675.8065,608.5249,0.9004425,1532.749,14.817213,0.009667084,6659.3857,125.461006,198.22789,2292.28,4961.2153,57.728207,0.6237018,29.254166
2.016657,0.5927457,1.1868023,2,2.9078984,0.13148205,6552.091,1843.1772,3300,0.87695986,463,0.123040125,277,0.07361148,311,12,0.003188945,43,145,0.038533084,422,29,0.007706617,3157.5552,4072.9026,54.016586,624.35046,678.36707,72.175316,75.69606,11.088593,11.269778,18.50873,20.60406,9.387309,60.098457,15.637294,6.083242,2.0248184,3.120574,1407.9323,0.3057746,2.040361,1.3174777,2.1332297,0.42664614,2086.2993,4650.413,482,490.66583,544.18604,412.4596,48.34943,4604.4775,566.8938,367.36322,0.6480283,1532.749,51.6409,0.03369169,6704.1206,128.90738,197.92651,2326.3667,5187.83,50.24484,0.55719185,28.58165
4.96448,1.9080207,2.0807896,2,1.8853356,0.3329453,6278.3677,1824.9386,3429,0.91124105,334,0.08875897,191,0.050757375,193,3,0.000797236,5,138,0.036672868,223,2,0.000531491,3157.5552,4030.196,24.8224,884.5613,909.38367,626.5466,626.5466,16.298626,16.298626,31.708927,32.032486,13.625323,506.29105,26.484922,7.3690314,2.0438654,3.203868,1469.8771,0.3057746,4.583219,4.96448,4.639713,0.42866057,2379.2607,4456.8076,218,335.73434,450,659.9341,40.87925,4807.0605,426.87222,230.86679,0.54083353,1532.749,6.1876125,0.004036938,6766.682,113.25348,197.9681,2882.3372,6020.5312,38.095284,0.53025115,28.249598
