Id,Origin,Destination,Type,Vol
1,4032,4080,Veh,4.224542
2,4032,4100,Veh,3.08920025
3,4032,4101,Veh,2.39438
4,4032,4102,Veh,1.529834
5,4032,4103,Veh,0.66992725
6,4032,4104,Veh,1.56982975
7,4032,4105,Veh,1.22874325
8,4032,4106,Veh,1.972614
9,4032,4107,Veh,1.59955925
10,4032,4108,Veh,1.8086335
11,4032,4165,Veh,1.4345965
12,4032,4166,Veh,0.1949085
13,4032,4167,Veh,0.9730265
14,4032,4168,Veh,0.99980175
15,4032,4186,Veh,0.499901
16,4032,4187,Veh,0.499901
17,4032,4188,Veh,0.44495175
18,4032,4189,Veh,0.499901
19,4032,4190,Veh,0.13998475
20,4032,4191,Veh,0.2499505
21,4032,4192,Veh,2.01478125
22,4032,4919,Veh,0.6399305
23,4032,4920,Veh,1.319857
24,4032,4926,Veh,0.37489675
25,4032,4928,Veh,0.249827
26,4032,4929,Veh,0.224938
27,4032,4947,Veh,0.88501625
28,4032,4949,Veh,0.92156225
29,4032,4950,Veh,1.04488675
30,4032,4951,Veh,0.24993125
31,4032,4952,Veh,0.4448775
32,4032,4954,Veh,0.26492
33,4032,4955,Veh,0.544768
34,4032,4956,Veh,0.19497875
35,4032,4957,Veh,0.1249865
36,4032,4979,Veh,0.2399355
37,4032,42618,Veh,0.2433545
38,4032,42620,Veh,0.72684075
39,4032,42826,Veh,0.0084555
40,4032,42928,Veh,0.01428825
41,4032,43348,Veh,3.76037375
42,4032,43404,Veh,0.9884335
43,4032,43405,Veh,0.0165735
44,4032,43407,Veh,0.005506
45,4032,43500,Veh,0.00797825
46,4032,43503,Veh,7.858793
47,4032,43511,Veh,1.26175025
48,4032,43513,Veh,0.002141
49,4032,51251,Veh,0.01447075
50,4032,51271,Veh,0.0510445
51,4032,52220,Veh,0.0032625
52,4032,52238,Veh,0.05983975
53,4032,52456,Veh,34.10984375
54,4032,52733,Veh,4.53772725
55,4032,65137,Veh,5.668357
56,4032,118515,Veh,0.00061375
57,4032,119417,Veh,1.90024875
58,4032,119547,Veh,5.820408
59,4032,126254,Veh,100.2178595
60,4032,126288,Veh,111.649149
61,4032,126823,Veh,11.54360125
62,4032,127217,Veh,0.00998975
63,4032,127589,Veh,2.2034945
64,4032,127644,Veh,0.0007525
65,4032,128022,Veh,0.002981
66,4032,128299,Veh,0.270604
67,4032,128768,Veh,0.0004
68,4032,128917,Veh,0.00008625
69,4032,129085,Veh,0.0004
70,4032,129233,Veh,0.00047575
71,4032,129456,Veh,0.00023225
72,4032,149939,Veh,9.53317875
73,4032,150019,Veh,0.0011845
74,4032,150026,Veh,0.0000325
75,4032,150033,Veh,0.00007275
76,4032,152075,Veh,0.00078275
77,4080,4032,Veh,10.3162585
78,4080,4100,Veh,11.59
79,4080,4101,Veh,10.545
80,4080,4102,Veh,10.45
81,4080,4103,Veh,1.14
82,4080,4104,Veh,4.42951925
83,4080,4105,Veh,6.012589
84,4080,4106,Veh,3.6
85,4080,4107,Veh,5.79903075
86,4080,4108,Veh,5.08901225
87,4080,4165,Veh,6.84347425
88,4080,4166,Veh,0.779351
89,4080,4167,Veh,2.551357
90,4080,4168,Veh,2.15251375
91,4080,4186,Veh,1.94446425
92,4080,4187,Veh,1.06970525
93,4080,4188,Veh,1.58470575
94,4080,4189,Veh,1.6395485
95,4080,4190,Veh,1.0697055
96,4080,4191,Veh,1.0362385
97,4080,4192,Veh,1.139598
98,4080,4919,Veh,2.645
99,4080,4920,Veh,3.615
100,4080,4926,Veh,0.958947
101,4080,4928,Veh,0.88955675
102,4080,4929,Veh,0.264927
103,4080,4947,Veh,1.421838
104,4080,4949,Veh,2.51184975
105,4080,4950,Veh,2.5595245
106,4080,4951,Veh,2.95760025
107,4080,4952,Veh,1.81852475
108,4080,4954,Veh,0.37493025
109,4080,4955,Veh,1.45449325
110,4080,4956,Veh,3.3493785
111,4080,4957,Veh,1.91964375
112,4080,4979,Veh,0.4862635
113,4080,4980,Veh,0.3166205
114,4080,42618,Veh,0.285099
