FID,TAZ,SUBRAD,RAD,RADNUM,SUBAREAS,PUMA,Shape_STAr,Shape_STLe
1,1347,422,Linda - Olivehurst,41,27,SutterYuba,7613369.25,15596.1046723
2,1349,421,Linda - Olivehurst,41,27,SutterYuba,48534578.8125,32423.6342239
3,1253,362,Yuba City,35,29,SutterYuba,2580998.75,7295.26131503
4,1252,362,Yuba City,35,29,SutterYuba,6831758.875,11087.2669593
5,1256,362,Yuba City,35,29,SutterYuba,5737217.0625,14804.6944959
6,1487,364,Yuba City,35,29,SutterYuba,4901800.8125,9038.78189495
7,1488,364,Yuba City,35,29,SutterYuba,9550751.25,14153.7583163
8,1257,362,Yuba City,35,29,SutterYuba,6353306.4375,11813.3555645
9,1350,421,Linda - Olivehurst,41,27,SutterYuba,12914059.5625,17560.2569631
10,1262,362,Yuba City,35,29,SutterYuba,5398641.5,9656.19858652
11,1255,362,Yuba City,35,29,SutterYuba,8145755.9375,13340.9400749
12,1344,422,Linda - Olivehurst,41,27,SutterYuba,27888571.25,21094.8309182
13,1345,422,Linda - Olivehurst,41,27,SutterYuba,30742730.8125,22844.4143409
14,1278,364,Yuba City,35,29,SutterYuba,13989937.0625,15883.0737269
15,1261,362,Yuba City,35,29,SutterYuba,7454868.6875,13370.6949557
16,1277,364,Yuba City,35,29,SutterYuba,24434525.8125,19806.2326572
17,1276,364,Yuba City,35,29,SutterYuba,17512716.5,17199.1154292
18,1275,364,Yuba City,35,29,SutterYuba,25976946.1875,20424.6922069
19,1057,800,Colfax,81,33,Placer_1,50430606.625,43292.7624812
20,1346,422,Linda - Olivehurst,41,27,SutterYuba,9554442.1875,16093.8616964
21,1351,421,Linda - Olivehurst,41,27,SutterYuba,9572037.875,14333.0928069
22,1258,362,Yuba City,35,29,SutterYuba,3269245.75,7813.54161713
23,1260,362,Yuba City,35,29,SutterYuba,8451115.75,12369.5209296
24,1239,365,Yuba City,35,29,SutterYuba,22973102.0625,21535.0170957
25,1259,362,Yuba City,35,29,SutterYuba,3202134.125,8118.85331392
26,1377,432,Beale,42,27,SutterYuba,300000406.875,95780.2929534
27,1352,421,Linda - Olivehurst,41,27,SutterYuba,48597956.125,29689.8132402
28,1484,433,Beale,42,27,SutterYuba,64975019.75,37279.456616
29,1355,410,Linda - Olivehurst,41,27,SutterYuba,8997500.375,13074.6049322
30,1354,421,Linda - Olivehurst,41,27,SutterYuba,33508677.0625,34517.1844238
31,1265,365,Yuba City,35,29,SutterYuba,7587925.375,13172.6596955
32,1263,365,Yuba City,35,29,SutterYuba,10224324.625,13124.6938629
33,1279,364,Yuba City,35,29,SutterYuba,13777247.5,15779.7892386
34,1280,364,Yuba City,35,29,SutterYuba,17550911.75,17241.4933251
35,1281,364,Yuba City,35,29,SutterYuba,24270254.5,19735.1038158
36,1376,432,Beale,42,27,SutterYuba,370466742.375,94690.7186732
37,1282,364,Yuba City,35,29,SutterYuba,26380221.1875,20581.0597238
38,1379,433,Beale,42,27,SutterYuba,66974646.0625,45779.8793313
39,1264,365,Yuba City,35,29,SutterYuba,7909227.75,11264.092518
40,1356,410,Linda - Olivehurst,41,27,SutterYuba,9550113.125,14859.5649167
41,1357,410,Linda - Olivehurst,41,27,SutterYuba,9156315.25,13856.5451427
42,1266,365,Yuba City,35,30,SutterYuba,65663825.0625,46301.1833916
43,1267,365,Yuba City,35,30,SutterYuba,28696067.8125,22694.5739886
44,1353,421,Linda - Olivehurst,41,25,SutterYuba,46772750.875,41365.0641701
45,1380,433,Beale,42,27,SutterYuba,56434512.4375,34292.6698538
46,1272,365,Yuba City,35,30,SutterYuba,10524753.1875,13330.5663633
47,1273,365,Yuba City,35,30,SutterYuba,21399291.125,18671.1789858
48,1274,365,Yuba City,35,30,SutterYuba,21634173.5,18784.7937246
49,1269,365,Yuba City,35,30,SutterYuba,52880163.5,31296.5752705
50,1358,410,Linda - Olivehurst,41,27,SutterYuba,15110504,18396.4272788
51,1359,410,Linda - Olivehurst,41,27,SutterYuba,15216273.4375,16331.3666323
52,1360,410,Linda - Olivehurst,41,27,SutterYuba,12876333.1875,17099.2838041
