network_node,transit_stop,stop_lat,stop_lon,route
92302,3580,32.73351391,-117.174793,1
95428,3581,32.72149387,-117.169898,1
96380,4451,32.71763712,-117.1698281,1
97857,4450,32.71192306,-117.1685971,1
177896,4392,32.70893214,-117.1634521,1
98834,4406,32.70684448,-117.1596809,1
99224,3601,32.70523403,-117.1538999,1
92302,35801,32.73351391,-117.174793,2
95428,35811,32.72149387,-117.169898,2
96380,44511,32.71763712,-117.1698281,2
96630,3585,32.71638588,-117.1688111,2
96633,3608,32.71671555,-117.1660236,2
96638,4389,32.71674108,-117.162468,2
96641,3590,32.716724,-117.1597201,2
96652,1010,32.71692554,-117.155677,2
96890,3783,32.71601546,-117.1538469,2
97867,3593,32.71105999,-117.153721,2
99024,4364,32.70600195,-117.1533779,2
96630,4345,32.71699254,-117.1681756,3
96866,508,32.71582801,-117.1659175,3
96873,1969,32.71577614,-117.1627938,3
96882,1968,32.71576782,-117.160051,3
96885,1967,32.71578215,-117.157323,3
96890,37831,32.71601546,-117.1538469,3
96406,1696,32.71804817,-117.1536337,3
96044,1892,32.7205293,-117.1538152,3
95193,1260,32.72538567,-117.1507695,3
96866,5081,32.71582801,-117.1659175,4
96873,19691,32.71577614,-117.1627938,4
96882,19681,32.71576782,-117.160051,4
96885,19671,32.71578215,-117.157323,4
96890,37832,32.71601546,-117.1538469,4
96893,523,32.71584694,-117.1502071,4
96905,65,32.71572127,-117.1459499,4
96632,36081,32.71671555,-117.1660236,5
96636,43891,32.71674108,-117.162468,5
96640,35901,32.716724,-117.1597201,5
96652,10101,32.71692554,-117.155677,5
96890,37833,32.71601546,-117.1538469,5
97867,35931,32.71105999,-117.153721,5
99026,43641,32.70600195,-117.1533779,5
